Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
0.0166667,0,21.2688,208,0.00591,44,101,0,1455.8
0.0333333,0,22.5036,193,0.01216,48,101,0,1455.6
0.05,0,23.5296,184,0.01869,51,101,0,1456.2
0.0666667,0,24.5772,182,0.02552,54,101,0,1456.6
0.0833333,0,25.7184,179,0.03266,57,102,0,1456.4
0.1,0,26.3304,147,0.03998,59,102,0,1456.2
0.116667,0,27.0684,149,0.0475,60,105,0,1456
0.133333,0,27.846,164,0.05523,62,108,0,1456.6
0.15,0,28.6704,150,0.0632,64,109,0,1456.4
0.166667,0,29.6604,184,0.07143,66,110,0,1456
0.183333,0,30.3588,162,0.07987,67,111,0,1455.8
0.2,0,31.0896,154,0.0885,69,112,0,1456.6
0.216667,0,31.9896,162,0.09739,71,113,0,1456.2
0.233333,0,32.526,163,0.10642,73,113,0,1456.2
0.25,0,33.084,151,0.11561,74,114,0,1456.4
0.266667,0,34.1028,174,0.12509,76,115,0,1456
0.283333,0,34.7148,162,0.13473,78,116,0,1456
0.3,0,35.5104,149,0.14459,80,117,0,1455.8
0.316667,0,36.1764,152,0.15465,81,118,0,1456
0.333333,0,36.864,154,0.16488,83,119,0,1455.8
0.35,0,37.5804,155,0.17532,84,120,0,1456.2
0.366667,0,38.1348,150,0.18592,86,121,0,1456
0.383333,0,38.7072,145,0.19667,87,122,0,1456
0.4,0,39.4956,157,0.20764,89,122,0,1455.8
0.416667,0,40.0068,153,0.21878,90,122,0,1455.8
0.433333,0,40.5324,151,0.23001,91,122,0,1455.8
0.45,0,40.9608,131,0.24139,92,123,0,1455.6
0.466667,0,41.508,122,0.25292,94,123,0,1455.4
0.483333,0,41.8464,118,0.26454,95,123,0,1455.4
0.5,0,42.3036,137,0.27629,96,122,0,1455.4
0.516667,0,42.6924,131,0.28816,97,123,0,1455.2
0.533333,0,43.2468,118,0.30016,97,122,0,1455.4
0.55,0,43.614,127,0.31229,99,123,0,1455.2
0.566667,0,44.2368,126,0.32457,100,123,0,1455.4
0.583333,0,44.4924,116,0.33693,100,123,0,1455
0.6,0,44.8776,136,0.34939,101,123,0,1455
0.616667,0,45.5364,211,0.36205,103,124,0,1455.2
0.633333,0,46.3572,176,0.37492,104,124,0,1455.2
0.65,0,46.9188,207,0.38795,105,125,0,1455.2
0.666667,0,47.4948,231,0.40114,107,125,0,1455.2
0.683333,0,47.7864,160,0.41442,102,126,0,1455.2
0.7,0,48.0852,176,0.42778,95,126,0,1454.8
0.716667,0,48.69,160,0.4413,96,127,0,1454.8
0.733333,0,48.996,121,0.45491,97,128,0,1455.2
0.75,0,49.3092,138,0.46861,97,129,0,1455
0.766667,0,49.7844,141,0.48244,98,130,0,1454.8
0.783333,0,50.2704,143,0.4964,99,130,0,1454.8
0.8,0,50.598,153,0.51046,99,131,0,1454.8
0.816667,0,50.9292,144,0.5246,100,131,0,1454.6
0.833333,0,51.2676,166,0.53884,101,131,0,1454.4
0.85,0,51.7824,151,0.55323,102,132,0,1454.6
0.866667,0,51.9552,141,0.56766,102,132,0,1454.6
0.883333,0,52.308,181,0.58219,103,132,0,1454.6
0.9,0,52.6644,166,0.59682,104,132,0,1454.4
0.916667,0,53.0244,141,0.61155,105,133,0,1454.8
0.933333,0,53.388,140,0.62641,105,133,0,1454.8
0.95,0,53.7588,158,0.64131,106,133,0,1454.8
0.966667,0,54.1368,178,0.65635,106,134,0,1454.8
0.983333,0,54.3276,153,0.67144,107,134,0,1454.4
1,0,54.9036,158,0.68669,108,134,0,1454.6
1.01667,0,55.296,156,0.70205,104,134,0,1454.4
1.03333,0,55.6956,196,0.71752,97,134,0,1454.6
1.05,0,56.0988,175,0.7331,98,134,0,1454.6
1.06667,0,56.5056,160,0.7488,99,134,0,1454.6
1.08333,0,56.9232,152,0.76461,99,135,0,1454.2
1.1,0,57.132,159,0.78048,100,135,0,1453.6
1.11667,0,57.5568,167,0.79647,101,135,0,1453.6
1.13333,0,57.9888,161,0.81258,101,135,0,1453.6
1.15,0,58.4244,143,0.82881,102,135,0,1454.2
1.16667,0,58.8708,130,0.84516,103,135,0,1453.8
1.18333,0,59.094,131,0.86158,103,135,0,1453.4
1.2,0,59.3208,141,0.87805,104,135,0,1453.4
1.21667,0,59.3208,150,0.89453,104,135,0,1453.4
1.23333,0,59.778,129,0.91114,105,135,0,1453.4
1.25,0,60.246,128,0.92787,106,135,0,1453.4
1.26667,0,60.48,142,0.94467,106,135,0,1453.4
1.28333,0,60.7176,136,0.96154,107,134,0,1453.2
1.3,0,60.9552,147,0.97847,107,135,0,1453.4
1.31667,0,61.4412,215,0.99554,108,135,0,1453.4
1.33333,0,61.686,154,1.01267,108,135,0,1453.2
1.35,0,62.1792,174,1.02994,102,135,0,1452.6
1.36667,0,62.4312,198,1.04729,95,135,0,1452.6
1.38333,0,62.7696,233,1.06472,96,136,0,1453
1.4,0,62.9388,198,1.0822,97,135,0,1453.2
1.41667,0,63.1944,175,1.09976,97,136,0,1453
1.43333,0,63.4536,186,1.11738,97,136,0,1453
1.45,0,63.7164,171,1.13508,98,136,0,1453
1.46667,0,63.7164,166,1.15278,98,137,0,1452.8
1.48333,0,64.2456,182,1.17063,99,137,0,1452.6
1.5,0,64.782,194,1.18862,99,138,0,1452.8
1.51667,0,64.782,184,1.20662,100,138,0,1452.6
1.53333,0,65.0556,184,1.22469,100,138,0,1452.8
1.55,0,65.3292,196,1.24285,100,138,0,1452.6
1.56667,0,65.6064,216,1.26106,101,138,0,1452.4
1.58333,0,65.8836,183,1.27938,101,138,0,1452.2
1.6,0,66.1644,161,1.29774,102,138,0,1452.2
1.61667,0,66.4488,174,1.3162,102,138,0,1452.6
1.63333,0,66.7368,161,1.33474,102,139,0,1452.4
1.65,0,67.0248,146,1.35335,103,140,0,1452.2
1.66667,0,67.3164,137,1.37205,103,140,0,1452
1.68333,0,67.6116,160,1.39083,104,140,0,1451.8
1.7,0,68.1048,167,1.40975,104,140,0,1451.8
1.71667,0,68.3064,173,1.42873,105,140,0,1451.8
1.73333,0,68.7096,204,1.44781,105,140,0,1451.6
1.75,0,69.12,224,1.46701,98,140,0,1451.4
1.76667,0,69.534,239,1.48633,96,140,0,1451.4
1.78333,0,69.7428,197,1.5057,97,140,0,1451.2
1.8,0,70.0596,214,1.52516,97,140,0,1451.6
1.81667,0,70.6536,267,1.54479,98,141,0,1451.2
1.83333,0,71.3484,217,1.56461,98,141,0,1451.4
1.85,0,71.46,216,1.58446,99,142,0,1451.2
1.86667,0,71.6796,206,1.60437,100,143,0,1451.6
1.88333,0,72.126,207,1.6244,100,143,0,1451.2
1.9,0,72.3492,198,1.6445,101,143,0,1450.8
1.91667,0,72.6912,184,1.66469,101,144,0,1450.6
1.93333,0,73.0332,164,1.68498,102,144,0,1450.2
1.95,0,73.494,182,1.70539,102,145,0,1450.6
1.96667,0,73.728,182,1.72587,102,145,0,1450.8
1.98333,0,74.0808,170,1.74645,103,145,0,1451.4
2,0,74.1996,170,1.76706,103,145,0,1450.2
2.01667,0,74.4372,188,1.78774,103,145,0,1450.4
2.03333,0,74.7972,163,1.80852,104,145,0,1449.4
2.05,0,74.7972,160,1.82929,104,145,0,1449.8
2.06667,0,75.1608,176,1.85017,104,145,0,1449.4
2.08333,0,75.402,176,1.87112,105,145,0,1449.8
2.1,0,75.6504,151,1.89213,105,145,0,1448.8
2.11667,0,75.8952,178,1.91321,105,145,0,1449.2
2.13333,0,75.8952,181,1.93429,105,146,0,1449.6
2.15,0,75.8952,190,1.95538,106,145,0,1449.4
2.16667,0,76.2696,164,1.97656,106,146,0,1449.6
2.6,0,83.5416,237,2.08681,104,149,0,1445.8
2.61667,0,83.844,209,2.11008,104,149,0,1445.8
