Minutes,"Torq (N-m)",Km/h,Watts,Km,Cadence,Hrate,ID,"Altitude (m)"
0,0,6.5952,9,0,34,117,0,1455.2
0.016666600000000004,0,15.0264,153,0.00417,20,118,0,1455.2
0.0333333,0,16.9272,228,0.00887,20,118,0,1455
0.049999999999999996,0,18.0108,228,0.013879999999999998,40,120,0,1455.2
0.06666659999999999,0,19.242,184,0.01922,45,122,0,1455.4
0.0833333,0,20.574,191,0.024939999999999997,49,123,0,1456
0.10000030000000001,0,21.654,201,0.03095,53,124,0,1455.8
0.1166663,0,22.7628,182,0.03728,56,125,0,1455.8
0.1333333,0,23.4612,164,0.04379,59,127,0,1455.8
0.1500003,0,24.426,152,0.05058,61,128,0,1455.6
0.1666663,0,25.5312,209,0.05767,63,128,0,1455.4
0.1833333,0,26.8776,239,0.06514,66,128,0,1455.4
0.2000003,0,27.8604,231,0.07287,68,129,0,1455.6
0.2166663,0,28.7568,212,0.08086,70,129,0,1455.8
0.2333333,0,29.3364,200,0.08901,73,129,0,1455.2
0.2500003,0,30.0492,207,0.09736,75,129,0,1455.6
0.2666663,0,31.2804,206,0.10605,78,129,0,1455.4
0.2833333,0,32.2884,199,0.11502,80,129,0,1456
0.3000003,0,33.2244,227,0.12425,82,130,0,1455.4
0.3166663,0,34.0704,226,0.13371,85,130,0,1455.6
0.3333333,0,34.9596,190,0.14342,87,130,0,1454.8
0.35000030000000004,0,35.658,189,0.15333,89,130,0,1455.6
0.3666663,0,36.6372,195,0.1635,91,132,0,1455.6
0.38333330000000004,0,37.1448,159,0.17382,88,133,0,1455.4
0.40000030000000003,0,37.9368,209,0.18436,83,134,0,1455
0.41666630000000004,0,38.6208,208,0.19509,85,135,0,1455
0.43333330000000003,0,39.33,171,0.20601,86,136,0,1455
0.4500003,0,40.068,195,0.21714,88,137,0,1455.2
0.46666630000000003,0,40.6764,163,0.22867,89,138,0,1455.2
0.4833333,0,41.1444,175,0.23988,90,138,0,1455
0.5000003,0,41.9544,157,0.25152,92,138,0,1455
0.5166662999999999,0,42.4512,179,0.26331,93,139,0,1455.2
0.5333333,0,42.9624,194,0.27525,95,139,0,1455.2
0.5500003,0,43.6644,165,0.28738,90,139,0,1455
0.5666663,0,44.388,252,0.29971,86,140,0,1455
0.5833332999999999,0,44.9496,221,0.31219,88,140,0,1455.2
0.6000002999999999,0,45.4572,180,0.32482,89,140,0,1455.4
0.6166663,0,45.9144,197,0.33757,90,141,0,1455.4
0.6333333,0,46.512,183,0.35049,91,143,0,1455.4
0.6500003,0,47.1276,175,0.36358,92,143,0,1455
0.6666662999999999,0,47.4768,185,0.37677,93,144,0,1455
0.6833332999999999,0,48.0456,176,0.39012,94,145,0,1455.4
0.7000003,0,48.4056,179,0.40356,95,145,0,1455.2
0.7166663,0,48.8484,161,0.41713,96,145,0,1454.8
0.7333333,0,49.0716,164,0.43076,96,145,0,1454.8
0.7500003,0,49.374,148,0.44448,97,145,0,1455.6
0.7666662999999999,0,49.9896,164,0.45836,98,145,0,1455.6
0.7833333,0,49.9896,156,0.47225,99,146,0,1455.8
0.8000003,0,50.4612,176,0.48627,99,146,0,1455.2
0.8166663,0,50.9436,184,0.50042,100,147,0,1455.4
0.8333332999999999,0,51.4332,200,0.51471,101,147,0,1455.4
0.8500002999999999,0,51.6816,167,0.52906,102,147,0,1455.4
0.8666663,0,52.1856,157,0.54356,102,147,0,1455.4
0.8833333,0,52.7004,171,0.5582,103,146,0,1455.4
0.9000003,0,52.7004,155,0.57284,104,146,0,1455.4
0.9166662999999999,0,53.2224,157,0.58762,104,146,0,1455
0.9333332999999999,0,53.4888,186,0.60248,105,146,0,1455
0.9500003,0,53.7588,238,0.61741,106,146,0,1455
0.9666663,0,54.2124,185,0.63247,106,146,0,1455
0.9833333,0,54.5796,170,0.64763,107,146,0,1454.8
1.0000033,0,54.5796,152,0.66279,108,146,0,1454.8
1.0166633,0,54.954,132,0.67806,108,147,0,1454.6
1.0333333,0,55.5264,225,0.69348,109,147,0,1454.8
1.0500033,0,55.9116,196,0.70901,110,147,0,1454.6
1.0666632999999999,0,56.0088,139,0.72457,110,147,0,1454.8
1.0833333,0,56.502,152,0.74026,99,147,0,1454.6
1.1000033,0,56.9052,188,0.75607,87,147,0,1454.6
1.1166633,0,57.312,189,0.77199,87,147,0,1454.6
1.1333332999999999,0,57.7224,225,0.78803,88,147,0,1454.4
