Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
13.9167,0,17.3016,70,0.08973,28,0,0,1457.8
13.9333,0,18.432,112,0.09485,28,0,0,1458
13.95,0,20.952,112,0.10067,42,0,0,1458
13.9667,0,22.6332,234,0.10696,48,0,0,1457.6
13.9833,0,24.2712,235,0.1137,52,0,0,1457.4
14,0,25.3008,217,0.12073,55,0,0,1457.6
14.0167,0,26.2944,223,0.12803,58,0,0,1458
14.0333,0,28.0836,249,0.13583,61,0,0,1457.4
14.05,0,29.1492,237,0.14393,64,0,0,1457.4
14.0667,0,30.132,222,0.1523,66,0,0,1457.8
14.0833,0,31.2768,228,0.16099,68,0,0,1458.2
14.1,0,32.4108,221,0.16999,70,0,0,1458
14.1167,0,33.3144,226,0.17925,72,0,0,1457.4
14.1333,0,34.3836,230,0.1888,75,0,0,1457.6
14.15,0,35.4024,232,0.19863,78,0,0,1457.8
14.1667,0,36.4896,243,0.20877,79,0,0,1457.6
14.1833,0,37.5084,254,0.21919,82,0,0,1457.6
14.2,0,38.5884,266,0.2299,85,0,0,1457.2
14.2167,0,39.7296,265,0.24094,87,0,0,1457.6
14.2333,0,40.3272,265,0.25214,90,0,0,1457.4
14.25,0,41.58,277,0.26369,92,0,0,1457.4
14.2667,0,42.9084,280,0.27561,94,0,0,1457.2
14.2833,0,43.9632,267,0.28782,97,0,0,1457.4
14.3,0,44.8848,269,0.30029,99,0,0,1457.2
14.3167,0,45.8424,272,0.31303,102,0,0,1457
14.3333,0,46.8432,267,0.32604,103,0,0,1457
14.35,0,47.8908,271,0.33934,106,0,0,1457
14.3667,0,48.762,205,0.3529,100,0,0,1457.2
14.3833,0,49.4352,275,0.36662,96,0,0,1457
14.4,0,50.4432,287,0.38063,98,0,0,1457
14.4167,0,51.3288,275,0.39489,99,0,0,1456.8
14.4333,0,52.074,297,0.40935,101,0,0,1457.2
14.45,0,53.1072,293,0.4241,103,0,0,1457
14.4667,0,53.9064,283,0.43908,104,0,0,1456.8
14.4833,0,54.5472,279,0.45423,106,0,0,1456.4
14.5,0,55.4868,286,0.46964,107,0,0,1456.2
14.5167,0,56.1636,271,0.48524,109,0,0,1456
14.5333,0,56.8584,276,0.50104,111,0,0,1456.2
14.55,0,57.6756,297,0.51706,112,0,0,1456.2
14.5667,0,58.5144,283,0.53331,113,0,0,1456.6
14.5833,0,58.9428,260,0.54969,104,0,0,1456.4
14.6,0,59.8176,283,0.5663,103,0,0,1456.2
14.6167,0,60.2676,262,0.58304,104,0,0,1456
14.6333,0,60.7212,271,0.59991,105,0,0,1456.2
14.65,0,61.6536,265,0.61704,106,0,0,1456.4
14.6667,0,62.1288,257,0.63429,107,0,0,1456.2
14.6833,0,62.856,279,0.65175,108,0,0,1456.2
14.7,0,63.6012,297,0.66942,109,0,0,1456
14.7167,0,64.1088,308,0.68723,110,0,0,1456.2
14.7333,0,64.6236,312,0.70518,112,0,0,1456
14.75,0,65.412,278,0.72335,113,0,0,1456.4
14.7667,0,65.9484,269,0.74167,114,0,0,1455.6
14.7833,0,66.492,295,0.76014,115,0,0,1455.4
14.8,0,66.7692,190,0.77869,93,0,0,1455.6
14.8167,0,67.3272,271,0.79739,101,0,0,1455.4
14.8333,0,67.896,294,0.81625,102,0,0,1455.8
14.85,0,68.472,298,0.83527,103,0,0,1455.4
14.8667,0,69.3576,278,0.85453,104,0,0,1456.2
14.8833,0,69.9624,258,0.87397,105,0,0,1455.8
14.9,0,70.1136,250,0.89344,106,0,0,1455.8
14.9167,0,70.8084,232,0.91311,107,0,0,1455.2
14.9333,0,71.2008,247,0.93289,107,0,0,1455.2
14.95,0,71.7552,262,0.95282,108,0,0,1455
14.9667,0,72.7272,246,0.97303,109,0,0,1454.6
14.9833,0,72.9756,294,0.9933,110,0,0,1454.8
15,0,73.476,254,1.01371,100,0,0,1455.4
15.0167,0,73.8108,270,1.03421,99,0,0,1455.4
15.0333,0,74.4948,190,1.0549,100,0,0,1455.2
15.05,0,74.844,201,1.07569,100,0,0,1454.6
15.0667,0,75.1932,237,1.09658,101,0,0,1454.6
15.0833,0,75.8124,243,1.11764,101,0,0,1453.6
15.1,0,76.0824,237,1.13877,102,0,0,1454.2
15.1167,0,76.2624,242,1.15996,102,0,0,1454.6
15.1333,0,76.626,239,1.18124,103,0,0,1454.2
15.15,0,76.9896,197,1.20263,103,0,0,1454.2
15.1667,0,77.454,191,1.22414,104,0,0,1454.4
15.1833,0,77.7348,212,1.24574,100,0,0,1454.4
15.2,0,77.7348,226,1.26733,91,0,0,1454
15.2167,0,78.0192,166,1.289,92,0,0,1454.2
15.2333,0,78.3036,246,1.31075,92,0,0,1454.4
15.25,0,78.8796,315,1.33266,92,0,0,1454.6
15.2667,0,79.2684,280,1.35468,93,0,0,1454.2
15.2833,0,79.4628,258,1.37675,93,0,0,1454
15.3,0,80.0568,285,1.39899,94,0,0,1453.6
15.3167,0,80.3556,289,1.42131,94,0,0,1453.6
15.3333,0,80.8596,264,1.44378,94,0,0,1453.6
15.35,0,81.27,260,1.46635,95,0,0,1453.2
15.3667,0,81.576,243,1.48901,96,0,0,1453.6
15.3833,0,82.098,266,1.51182,96,0,0,1453.6
15.4,0,82.5192,220,1.53474,97,0,0,1453.4
15.4167,0,83.16,245,1.55784,97,0,0,1453.4
15.4333,0,83.16,268,1.58094,98,0,0,1453
15.45,0,83.808,265,1.60422,98,0,0,1453.2
15.4667,0,83.808,179,1.6275,98,0,0,1452
15.4833,0,84.4668,211,1.65096,96,0,0,1452.8
15.5,0,84.4668,188,1.67442,90,0,0,1452.4
15.5167,0,84.69,150,1.69795,90,0,0,1453
15.5333,0,84.8016,139,1.7215,90,0,0,1452.8
15.55,0,85.14,135,1.74515,90,0,0,1452.8
15.5667,0,85.4784,209,1.7689,91,0,0,1452.6
15.5833,0,85.8204,196,1.79274,91,0,0,1452
15.6,0,86.1624,250,1.81667,91,0,0,1451.8
15.6167,0,86.8608,239,1.8408,92,0,0,1451.4
15.6333,0,87.2136,232,1.86503,92,0,0,1451.2
15.65,0,87.57,193,1.88935,93,0,0,1451.2
15.6667,0,87.57,262,1.91368,93,0,0,1451.4
15.6833,0,87.93,247,1.9381,93,0,0,1451.2
15.7,0,88.6572,234,1.96273,94,0,0,1451.6
15.7167,0,88.5096,235,1.98731,94,0,0,1451.6
15.7333,0,88.6572,216,2.01196,94,0,0,1452
15.75,0,89.0244,211,2.03667,94,0,0,1451.4
15.7667,0,89.3952,205,2.06192,95,0,0,1451.2
15.7833,0,89.3952,245,2.08633,95,0,0,1450.6
15.8,0,89.9964,198,2.11133,95,0,0,1450.4
15.8167,0,89.9964,239,2.13633,96,0,0,1450.2
15.8333,0,90.6048,259,2.1615,96,0,0,1450
15.85,0,90.6048,225,2.18667,96,0,0,1449.8
15.8667,0,90.9108,225,2.21192,97,0,0,1449.8
15.8833,0,90.9108,230,2.23717,97,0,0,1450.2
15.9,0,91.296,241,2.26253,97,0,0,1450.8
15.9167,0,92.16,285,2.28813,98,0,0,1450.4
15.9333,0,92.0808,251,2.31371,98,0,0,1449.2
15.95,0,92.7972,210,2.33949,98,0,0,1449
15.9667,0,92.8764,239,2.36529,90,0,0,1449.8
15.9833,0,93.4452,278,2.39124,88,0,0,1449.4
16,0,93.69,220,2.41727,89,0,0,1448.8
16.0167,0,94.1004,198,2.44341,89,0,0,1448.4
16.0333,0,94.4316,221,2.46964,89,0,0,1448
16.05,0,94.7664,244,2.49596,90,0,0,1448.4
16.0667,0,94.932,263,2.52233,90,0,0,1448
16.0833,0,95.3532,254,2.54882,91,0,0,1448
16.1,0,95.7816,257,2.57543,91,0,0,1447.4
16.1167,0,96.4692,274,2.60222,92,0,0,1447.6
16.1333,0,96.8184,310,2.62912,92,0,0,1447.6
16.15,0,97.0812,281,2.65608,92,0,0,1447.2
16.1667,0,97.5204,268,2.68317,93,0,0,1447.4
16.1833,0,97.8768,267,2.71036,93,0,0,1447.2
16.2,0,98.4168,248,2.7377,93,0,0,1446.8
16.2167,0,98.5968,258,2.76509,94,0,0,1446
16.2333,0,98.8704,265,2.79255,94,0,0,1446.6
16.25,0,98.9604,248,2.82004,94,0,0,1446
16.2667,0,99.6984,250,2.84773,95,0,0,1446
16.2833,0,99.7884,269,2.87545,95,0,0,1445.2
16.3,0,100.256,285,2.9033,95,0,0,1445.8
16.3167,0,100.822,311,2.93131,96,0,0,1444.8
16.3333,0,100.822,310,2.95931,96,0,0,1444.8
16.35,0,101.682,264,2.98756,96,0,0,1444.4
16.3667,0,101.844,264,3.01585,97,0,0,1444.2
16.3833,0,101.97,242,3.04417,97,0,0,1444
16.4,0,102.755,228,3.07272,97,0,0,1444.4
16.4167,0,103.147,236,3.10137,98,0,0,1444
16.4333,0,103.547,281,3.13013,98,0,0,1444
16.45,0,103.547,279,3.1589,99,0,0,1443.8
16.4667,0,103.946,256,3.18777,99,0,0,1444
16.4833,0,104.353,260,3.21676,99,0,0,1443.8
16.5,0,104.76,253,3.24586,99,0,0,1443.6
16.5167,0,105.17,234,3.27507,100,0,0,1443.2
16.5333,0,104.76,151,3.30417,93,0,0,1443
16.55,0,104.76,162,3.33327,88,0,0,1442.8
16.5667,0,105.17,145,3.36249,88,0,0,1442.6
16.5833,0,105.17,52,3.3917,72,0,0,1443
16.6,0,105.17,0,3.42091,72,0,0,1442.6
16.6167,0,104.659,0,3.44999,72,0,0,1442.4
16.6333,0,104.76,0,3.47909,0,0,0,1442.6
16.65,0,104.76,0,3.50819,0,0,0,1441.8
16.6667,0,105.17,0,3.5374,0,0,0,1441.8
16.6833,0,104.353,0,3.56639,0,0,0,1440.6
16.7,0,103.147,0,3.5951,0,0,0,1440.6
16.7167,0,102.164,0,3.62342,0,0,0,1440.6
16.7333,0,101.585,0,3.65164,0,0,0,1440.2
16.75,0,101.203,0,3.67975,0,0,0,1439.8
16.7667,0,99.3276,0,3.70734,0,0,0,1439
16.7833,0,97.5204,0,3.73443,0,0,0,1438.6
16.8,0,95.4396,0,3.76097,0,0,0,1438.8
16.8167,0,94.7664,0,3.78726,0,0,0,1438.8
16.8333,0,94.5144,0,3.81352,0,0,0,1439
16.85,0,94.1004,0,3.83966,0,0,0,1438.2
16.8667,0,94.1004,0,3.8658,0,0,0,1437.8
16.8833,0,93.2832,0,3.89173,0,0,0,1437.8
16.9,0,91.53,0,3.91713,0,0,0,1437
16.9167,0,89.694,0,3.94207,0,0,0,1437
16.9333,0,88.6572,0,3.96668,0,0,0,1436.6
16.95,0,88.29,0,3.9912,0,0,0,1437
16.9667,0,87.3576,0,4.01547,0,0,0,1436.6
16.9833,0,86.5116,0,4.0395,0,0,0,1436.2
17,0,86.8608,0,4.06363,0,0,0,1436.4
17.0167,0,85.9572,0,4.0875,0,0,0,1436
17.0333,0,84.8016,0,4.11106,0,0,0,1436
17.05,0,83.808,0,4.13434,0,0,0,1435.2
17.0667,0,83.808,0,4.15762,0,0,0,1435
17.0833,0,84.1356,152,4.18099,21,0,0,1434.8
17.1,0,84.4668,187,4.20445,71,0,0,1435
17.1167,0,84.4668,136,4.22792,71,0,0,1435.2
17.1333,0,84.4668,61,4.25138,71,0,0,1435.6
17.15,0,84.4668,48,4.27484,71,0,0,1434.8
17.1667,0,84.8016,52,4.2984,71,0,0,1434.8
17.1833,0,84.8016,58,4.32195,71,0,0,1434.2
17.2,0,84.4668,48,4.34542,67,0,0,1434.6
17.2167,0,85.14,58,4.36907,66,0,0,1434
17.2333,0,85.14,54,4.39272,67,0,0,1434.2
17.25,0,85.14,55,4.41637,67,0,0,1433.4
17.2667,0,85.14,61,4.44002,67,0,0,1433.2
17.2833,0,85.4784,57,4.46376,67,0,0,1433
17.3,0,85.14,42,4.48741,67,0,0,1432.8
