Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
11.2,0,21.1176,185,0.33475,42,0,0,1456.6
11.2167,0,22.2552,222,0.34093,47,0,0,1456.2
11.2333,0,23.7348,216,0.34752,50,0,0,1456.6
11.25,0,24.948,228,0.35445,54,0,0,1456.4
11.2667,0,26.2944,231,0.36176,57,0,0,1456.4
11.2833,0,27.3672,239,0.36936,60,0,0,1456.2
11.3,0,28.7604,252,0.37735,62,0,0,1457
11.3167,0,29.9664,266,0.38567,65,0,0,1456.8
11.3333,0,31.1832,258,0.39433,67,0,0,1456.6
11.35,0,32.31,246,0.40331,69,0,0,1456.4
11.3667,0,33.6276,246,0.41265,72,0,0,1456.6
11.3833,0,34.056,296,0.42211,75,0,0,1456.8
11.4,0,35.8776,296,0.43207,78,0,0,1456.6
11.4167,0,37.1196,293,0.44239,80,0,0,1456.8
11.4333,0,38.1744,301,0.45299,83,0,0,1456.2
11.45,0,39.294,292,0.4639,86,0,0,1456
11.4667,0,40.3272,291,0.47511,88,0,0,1456
11.4833,0,41.2596,276,0.48657,91,0,0,1456.2
11.5,0,42.2352,260,0.4983,93,0,0,1456.4
11.5167,0,43.254,271,0.51031,95,0,0,1455.8
11.5333,0,44.5104,286,0.52268,97,0,0,1456
11.55,0,45.4536,282,0.5353,97,0,0,1456.2
11.5667,0,46.44,303,0.5482,89,0,0,1456.4
11.5833,0,47.1888,281,0.56131,91,0,0,1456.4
11.6,0,48.0348,255,0.57466,93,0,0,1456
11.6167,0,49.0968,281,0.58829,95,0,0,1455.6
11.6333,0,50.1264,288,0.60222,96,0,0,1455.4
11.65,0,50.8392,279,0.61634,98,0,0,1455.6
11.6667,0,51.7392,298,0.63071,100,0,0,1456
11.6833,0,52.5852,280,0.64532,101,0,0,1455.6
11.7,0,53.2836,288,0.66012,103,0,0,1456
11.7167,0,53.9964,283,0.67512,105,0,0,1456
11.7333,0,54.8424,284,0.69035,106,0,0,1455.8
11.75,0,55.4868,283,0.70577,108,0,0,1455.6
11.7667,0,56.2644,271,0.72139,109,0,0,1455.4
11.7833,0,56.8584,280,0.73719,111,0,0,1455.4
11.8,0,57.6756,279,0.75321,112,0,0,1455.6
11.8167,0,58.5144,276,0.76946,113,0,0,1455.6
