Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
17.05,0,18.2412,122,0.17001,33,91,0,1324.4
17.0667,0,19.2456,155,0.17535,44,93,0,1324.4
17.0833,0,20.556,164,0.18107,44,95,0,1324.4
17.1,0,21.9672,164,0.18717,47,98,0,1324.4
17.1167,0,22.8096,166,0.1935,51,99,0,1324.4
17.1333,0,23.8824,155,0.20014,54,102,0,1324.4
17.15,0,24.858,148,0.20705,56,104,0,1324.4
17.1667,0,25.7976,166,0.21421,58,107,0,1324.4
17.1833,0,26.8056,187,0.22165,61,110,0,1324.4
17.2,0,27.6444,174,0.22933,63,112,0,1324.4
17.2167,0,28.6524,181,0.2373,65,114,0,1324.6
17.2333,0,29.8296,200,0.24558,67,116,0,1324.6
17.25,0,30.7368,196,0.25411,69,117,0,1324.6
17.2667,0,32.0112,191,0.26301,72,119,0,1324.6
17.2833,0,32.7492,186,0.2721,75,121,0,1324.6
17.3,0,33.5556,170,0.28142,76,122,0,1324.6
17.3167,0,34.4304,174,0.29099,77,124,0,1324.6
17.3333,0,35.406,183,0.30082,70,126,0,1324.6
17.35,0,36.2448,194,0.31089,73,127,0,1324.6
17.3667,0,37.0836,188,0.32119,74,128,0,1324.6
17.3833,0,37.7208,175,0.33167,76,130,0,1324.8
17.4,0,38.5272,163,0.34237,77,131,0,1324.8
17.4167,0,39.3696,178,0.35332,79,132,0,1324.8
17.4333,0,40.2408,176,0.36449,81,134,0,1324.8
17.45,0,41.148,176,0.37593,82,136,0,1324.8
17.4667,0,41.7852,175,0.38752,84,137,0,1324.8
17.4833,0,42.426,174,0.39931,86,138,0,1324.6
17.5,0,43.0956,173,0.41128,87,140,0,1324.8
17.5167,0,43.9704,162,0.42349,88,141,0,1324.8
17.5333,0,44.4744,169,0.43586,90,143,0,1324.8
17.55,0,45.0432,143,0.44837,82,144,0,1324.8
17.5667,0,45.7164,164,0.46107,82,145,0,1324.8
17.5833,0,46.5912,186,0.474,83,146,0,1324.8
17.6,0,47.3976,179,0.48716,84,147,0,1324.6
17.6167,0,47.8008,173,0.50044,85,147,0,1324.6
17.6333,0,48.2688,157,0.51385,86,148,0,1324.6
17.65,0,48.8736,164,0.52743,87,149,0,1324.6
17.6667,0,49.446,161,0.54116,89,149,0,1324.6
17.6833,0,49.7484,149,0.55498,89,149,0,1324.6
17.7,0,50.454,150,0.56899,90,150,0,1324.6
17.7167,0,50.8212,132,0.58311,91,150,0,1324.6
17.7333,0,51.3936,133,0.59739,92,151,0,1324.6
17.75,0,51.7968,146,0.61178,93,151,0,1324.4
17.7667,0,52.1316,146,0.62626,94,151,0,1324.4
17.7833,0,52.47,143,0.64083,94,151,0,1324.2
17.8,0,52.8048,127,0.6555,95,151,0,1324.2
17.8167,0,53.1396,147,0.67026,84,152,0,1324
17.8333,0,53.6436,169,0.68516,84,152,0,1324
17.85,0,54.0792,167,0.70018,85,152,0,1324
17.8667,0,54.72,164,0.71538,86,152,0,1324
17.8833,0,55.2888,184,0.73074,86,152,0,1324
17.9,0,55.8612,181,0.74626,87,152,0,1324
17.9167,0,56.232,164,0.76188,88,152,0,1324
17.9333,0,56.4336,169,0.77755,89,152,0,1324
17.95,0,57.204,170,0.79344,89,152,0,1324
17.9667,0,57.6072,158,0.80945,90,152,0,1323.8
17.9833,0,58.0104,168,0.82556,91,153,0,1323.8
18,0,58.212,166,0.84173,91,153,0,1323.8
18.0167,0,58.5468,153,0.85801,86,153,0,1323.6
18.0333,0,59.1516,177,0.87443,82,153,0,1323.6
18.05,0,59.1516,178,0.89086,83,153,0,1323.6
18.0667,0,59.6916,166,0.90744,83,152,0,1323.6
18.0833,0,60.1272,156,0.92414,84,152,0,1323.6
18.1,0,60.8004,163,0.94103,84,152,0,1323.6
18.1167,0,61.0344,160,0.958,85,152,0,1323.6
18.1333,0,61.2684,164,0.97502,85,152,0,1323.4
18.15,0,61.8408,148,0.9922,86,152,0,1323.4
18.1667,0,62.1756,169,1.00945,87,152,0,1323.4
18.1833,0,62.6796,144,1.02686,87,152,0,1323.4
18.2,0,62.9136,153,1.04435,88,152,0,1323.2
18.2167,0,63.3852,140,1.06194,88,152,0,1323.2
18.2333,0,63.6552,162,1.07964,89,152,0,1323.2
18.25,0,64.1232,146,1.09744,89,152,0,1323
18.2667,0,64.3932,144,1.11532,90,151,0,1323
18.2833,0,64.6272,146,1.13328,90,152,0,1322.8
18.3,0,64.8972,160,1.1513,91,152,0,1322.6
18.3167,0,65.4012,147,1.16947,91,151,0,1322.6
18.3333,0,65.6712,122,1.18771,92,151,0,1322.6
18.35,0,65.9376,122,1.20603,92,152,0,1322.6
18.3667,0,66.474,155,1.22449,92,152,0,1322.4
18.3833,0,66.744,138,1.24303,83,152,0,1322.2
18.4,0,66.744,142,1.26157,82,152,0,1322.2
18.4167,0,66.9456,154,1.28017,82,152,0,1322.2
18.4333,0,67.2804,140,1.29886,82,152,0,1322
18.45,0,67.5504,160,1.31762,83,151,0,1322
18.4667,0,67.8528,140,1.33647,83,151,0,1322
18.4833,0,67.986,152,1.35538,83,151,0,1322
18.5,0,68.1228,162,1.37428,83,151,0,1322
18.5167,0,68.6916,151,1.39336,84,151,0,1322
18.5333,0,68.6268,175,1.41242,84,151,0,1322
18.55,0,69.264,164,1.43166,84,151,0,1321.8
18.5667,0,69.264,167,1.4509,85,151,0,1321.8
18.5833,0,69.8688,178,1.47033,85,151,0,1321.8
18.6,0,69.8688,172,1.48972,85,152,0,1321.8
18.6167,0,69.9372,180,1.50915,86,151,0,1321.8
18.6333,0,70.1712,168,1.52866,86,152,0,1321.8
18.65,0,70.6068,140,1.54825,86,152,0,1321.8
18.6667,0,71.0784,158,1.56799,86,152,0,1321.8
18.6833,0,71.0784,140,1.58776,87,153,0,1321.8
18.7,0,71.3808,124,1.60757,87,153,0,1321.8
18.7167,0,71.6832,121,1.62748,88,153,0,1321.8
18.7333,0,72.018,145,1.64748,88,153,0,1321.8
18.75,0,72.018,123,1.66749,88,153,0,1321.6
18.7667,0,72.3204,84,1.68758,88,153,0,1321.6
18.7833,0,72.7236,98,1.70778,89,153,0,1321.6
18.8,0,72.9576,158,1.72804,89,153,0,1321.6
18.8167,0,73.2276,151,1.74838,89,153,0,1321.6
18.8333,0,73.296,118,1.76874,90,153,0,1321.4
18.85,0,73.6308,120,1.78922,90,153,0,1321.4
18.8667,0,73.9656,124,1.80974,79,153,0,1321.4
18.8833,0,74.3004,139,1.83038,78,153,0,1321.2
18.9,0,74.3004,133,1.85102,78,154,0,1321
18.9167,0,74.7036,132,1.87177,78,153,0,1321
18.9333,0,74.9736,139,1.89262,78,153,0,1320.8
18.95,0,75.2436,151,1.9135,79,153,0,1320.8
18.9667,0,75.4776,152,1.93449,79,153,0,1320.6
18.9833,0,76.014,164,1.95558,79,153,0,1320.6
19,0,76.014,149,1.9767,79,153,0,1320.6
19.0167,0,76.284,156,1.99789,80,153,0,1320.6
19.0333,0,76.554,136,2.01917,80,153,0,1320.4
19.05,0,76.8204,160,2.04049,80,153,0,1320.2
19.0667,0,76.7196,167,2.0618,81,153,0,1320.2
19.0833,0,77.0904,137,2.08322,81,153,0,1320
19.1,0,77.3604,128,2.1047,81,154,0,1320.2
19.1167,0,77.6268,128,2.12627,81,154,0,1320
19.1333,0,77.8284,152,2.14789,82,153,0,1319.8
19.15,0,78.1992,180,2.16961,82,153,0,1319.6
19.1667,0,78.1992,175,2.19133,82,153,0,1319.4
19.1833,0,78.5664,154,2.21318,82,153,0,1319.4
19.2,0,78.7356,168,2.23503,83,153,0,1319.2
19.2167,0,78.9372,157,2.25695,83,154,0,1319.2
19.2333,0,79.308,153,2.27898,83,154,0,1319.2
19.25,0,79.6104,111,2.3011,83,155,0,1319.2
19.2667,0,79.7112,156,2.32324,83,155,0,1319
19.2833,0,79.9128,164,2.34544,84,155,0,1318.8
19.3,0,80.1792,160,2.36771,84,156,0,1318.8
19.3167,0,80.4816,150,2.39007,84,155,0,1318.6
19.3333,0,80.784,177,2.41251,85,156,0,1318.4
19.35,0,81.0864,162,2.43503,85,155,0,1318.2
19.3667,0,80.8848,169,2.45752,85,155,0,1318.2
19.3833,0,81.3888,155,2.48011,85,155,0,1318.2
19.4,0,81.9936,171,2.50288,86,155,0,1318.2
19.4167,0,81.9936,113,2.52566,86,155,0,1318
19.4333,0,82.296,159,2.54852,86,155,0,1318
19.45,0,82.296,137,2.57138,86,155,0,1317.8
19.4667,0,82.9332,141,2.59444,87,155,0,1317.8
19.4833,0,83.2356,144,2.61754,87,155,0,1317.8
19.5,0,83.574,154,2.64075,87,155,0,1317.6
19.5167,0,83.7756,139,2.66402,87,155,0,1317.4
19.5333,0,84.2112,145,2.68744,78,155,0,1317.4
19.55,0,84.6468,182,2.71093,78,155,0,1317.2
19.5667,0,84.8484,195,2.73452,79,155,0,1317
19.5833,0,85.1868,184,2.75816,79,155,0,1316.8
19.6,0,85.1868,187,2.78182,79,156,0,1316.8
19.6167,0,85.5216,206,2.80558,80,156,0,1316.8
19.6333,0,86.1948,186,2.82952,80,156,0,1316.6
19.65,0,86.1948,170,2.85349,80,156,0,1316.4
19.6667,0,86.5296,148,2.8775,81,156,0,1316.2
19.6833,0,86.8644,160,2.90163,81,156,0,1316.2
19.7,0,86.8644,169,2.92578,81,156,0,1315.8
19.7167,0,87.2352,171,2.94999,81,157,0,1315.8
19.7333,0,87.57,142,2.97432,81,157,0,1315.6
19.75,0,87.57,152,2.99866,82,157,0,1315.4
19.7667,0,87.9408,188,3.02307,82,157,0,1315.4
19.7833,0,88.2756,151,3.04759,82,157,0,1315.2
19.8,0,88.2756,150,3.07211,82,157,0,1315.2
19.8167,0,88.6464,143,3.09673,83,158,0,1315.2
19.8333,0,88.9812,167,3.12145,83,158,0,1315
19.85,0,89.7192,151,3.14637,83,158,0,1315
19.8667,0,89.352,199,3.17119,83,158,0,1314.8
19.8833,0,89.7192,158,3.19614,84,159,0,1314.8
19.9,0,90.09,144,3.22114,84,159,0,1314.6
19.9167,0,90.4608,162,3.24627,84,160,0,1314.4
19.9333,0,90.828,154,3.2715,84,160,0,1314
19.95,0,90.828,150,3.29673,85,160,0,1314
19.9667,0,91.5336,161,3.32215,85,159,0,1313.6
19.9833,0,91.5336,149,3.34758,85,159,0,1313.4
20,0,91.602,154,3.37302,85,159,0,1313.2
20.0167,0,92.0052,168,3.39858,86,159,0,1313
20.0333,0,92.0052,178,3.42414,86,159,0,1312.8
20.05,0,92.3724,163,3.4498,86,159,0,1312.8
20.0667,0,92.4408,145,3.47548,86,159,0,1312.6
20.0833,0,92.7756,133,3.50127,86,160,0,1312.6
20.1,0,92.7756,119,3.52702,87,159,0,1312.6
20.1167,0,92.7756,122,3.55279,87,160,0,1312.4
20.1333,0,93.5496,127,3.57878,87,160,0,1312.2
20.15,0,93.7188,146,3.60483,87,160,0,1312
20.1667,0,93.9528,173,3.63091,87,160,0,1311.8
20.1833,0,94.356,178,3.65712,88,160,0,1311.6
20.2,0,94.6908,154,3.68342,88,160,0,1311.4
20.2167,0,94.7592,151,3.70974,88,160,0,1311.4
20.2333,0,94.6908,161,3.73604,88,160,0,1311.2
20.25,0,95.1948,170,3.76249,89,160,0,1311
20.2667,0,95.1948,155,3.78893,89,160,0,1310.6
20.2833,0,95.6988,161,3.81551,89,160,0,1310.4
20.3,0,96.0336,160,3.84222,89,161,0,1310.2
20.3167,0,96.0336,156,3.86887,89,161,0,1310
20.3333,0,96.372,156,3.89564,90,161,0,1309.8
20.35,0,96.372,150,3.92241,89,162,0,1309.8
20.3667,0,96.4368,178,3.94919,84,162,0,1309.6
20.3833,0,96.876,166,3.97613,85,162,0,1309.4
20.4,0,96.876,152,4.00304,85,162,0,1309.2
20.4167,0,97.3116,140,4.03005,85,162,0,1309
20.4333,0,97.38,139,4.05712,85,162,0,1309
20.45,0,97.38,177,4.08414,85,162,0,1308.8
20.4667,0,97.7472,189,4.1113,85,163,0,1308.6
20.4833,0,97.7472,188,4.13845,85,163,0,1308.4
20.5,0,98.0856,196,4.16569,86,163,0,1308.2
20.5167,0,98.4528,176,4.19304,86,163,0,1308.2
20.5333,0,98.4528,164,4.22039,86,163,0,1308
20.55,0,98.5212,145,4.24776,86,164,0,1308
20.5667,0,98.622,162,4.27515,86,164,0,1307.8
20.5833,0,98.7912,168,4.30259,86,163,0,1307.6
20.6,0,98.7912,162,4.33004,86,163,0,1307.4
20.6167,0,99.0576,179,4.35755,87,163,0,1307.2
20.6333,0,99.5292,164,4.3852,87,163,0,1307.2
20.65,0,99.5292,159,4.41285,87,163,0,1307
20.6667,0,99.5292,156,4.44049,87,162,0,1306.8
20.6833,0,99.864,137,4.46823,87,163,0,1306.6
20.7,0,99.864,116,4.49597,87,163,0,1306.4
20.7167,0,99.9648,112,4.52374,87,163,0,1306.2
20.7333,0,100.235,125,4.55158,87,163,0,1306
20.75,0,100.235,169,4.57943,85,163,0,1305.8
20.7667,0,100.602,156,4.60737,82,163,0,1305.6
20.7833,0,100.904,188,4.63543,82,163,0,1305.4
20.8,0,100.602,160,4.66337,82,164,0,1305.2
20.8167,0,100.904,131,4.69138,82,164,0,1305
20.8333,0,100.973,152,4.71942,82,164,0,1305
20.85,0,101.344,170,4.7476,83,164,0,1304.8
20.8667,0,101.344,159,4.77573,83,164,0,1304.8
20.8833,0,101.344,160,4.80388,83,164,0,1304.6
20.9,0,101.747,170,4.83214,83,164,0,1304.4
20.9167,0,101.747,165,4.8604,83,164,0,1304.4
20.9333,0,101.747,186,4.88866,83,164,0,1304.2
20.95,0,102.316,189,4.91709,83,164,0,1304
20.9667,0,102.114,186,4.94545,83,165,0,1303.8
20.9833,0,102.114,182,4.97384,84,165,0,1303.6
21,0,102.485,159,5.00228,84,165,0,1303.4
21.0167,0,102.485,151,5.03075,84,165,0,1303.2
21.0333,0,102.888,151,5.05933,84,166,0,1303
21.05,0,102.485,123,5.0878,84,166,0,1302.8
21.0667,0,102.888,124,5.11641,84,165,0,1302.6
21.0833,0,103.259,118,5.14506,84,165,0,1302.4
21.1,0,102.888,140,5.17364,84,165,0,1302.2
21.1167,0,103.259,153,5.20232,84,165,0,1302.2
21.1333,0,102.888,142,5.2309,84,164,0,1301.8
21.15,0,103.662,140,5.2597,84,164,0,1301.6
21.1667,0,103.259,141,5.28838,84,164,0,1301.6
21.1833,0,103.259,108,5.31706,84,164,0,1301.4
21.2,0,103.259,105,5.34575,85,164,0,1301.2
21.2167,0,103.662,144,5.37454,85,164,0,1301
21.2333,0,104.263,143,5.4035,85,163,0,1300.8
21.25,0,104.062,165,5.43241,85,163,0,1300.6
21.2667,0,104.465,167,5.46146,85,164,0,1300.6
21.2833,0,104.465,195,5.49045,85,163,0,1300.4
21.3,0,104.767,175,5.51955,85,164,0,1300
21.3167,0,104.868,188,5.54871,86,164,0,1299.8
21.3333,0,105.271,184,5.57792,86,164,0,1299.8
21.35,0,104.868,175,5.60705,86,164,0,1299.6
21.3667,0,105.271,183,5.63629,86,164,0,1299.4
21.3833,0,105.271,182,5.66554,86,164,0,1299.2
21.4,0,105.271,141,5.69478,86,164,0,1299
21.4167,0,105.271,152,5.72405,86,164,0,1298.8
21.4333,0,105.674,166,5.75338,86,164,0,1298.6
21.45,0,105.674,178,5.78273,86,164,0,1298.4
21.4667,0,105.674,182,5.81208,86,164,0,1298.2
21.4833,0,105.674,179,5.84144,86,165,0,1298.2
21.5,0,106.078,175,5.87091,86,165,0,1298
21.5167,0,106.078,186,5.9004,87,165,0,1298
21.5333,0,106.078,173,5.92984,87,165,0,1297.8
21.55,0,106.481,195,5.95942,87,166,0,1297.6
21.5667,0,106.481,165,5.98899,87,166,0,1297.4
21.5833,0,106.481,181,6.01857,87,166,0,1297.2
21.6,0,106.481,156,6.04815,83,166,0,1297
21.6167,0,106.481,209,6.07776,81,167,0,1296.8
21.6333,0,106.92,188,6.10746,81,167,0,1296.6
21.65,0,106.92,186,6.13716,81,167,0,1296.4
21.6667,0,106.92,224,6.16683,81,168,0,1296.4
21.6833,0,107.323,206,6.19664,81,168,0,1296.2
21.7,0,107.323,198,6.22645,81,168,0,1296.2
21.7167,0,107.323,191,6.25626,81,168,0,1296
21.7333,0,107.759,198,6.2862,82,168,0,1296
21.75,0,107.759,189,6.31613,82,169,0,1295.8
21.7667,0,108.162,165,6.34617,82,169,0,1295.6
21.7833,0,107.96,198,6.37619,82,169,0,1295.4
21.8,0,108.162,206,6.40621,82,169,0,1295.2
21.8167,0,108.162,188,6.43625,82,169,0,1295.2
21.8333,0,108.162,194,6.4663,82,170,0,1295
21.85,0,108.162,195,6.49634,82,169,0,1294.8
21.8667,0,108.162,195,6.52639,82,170,0,1294.6
21.8833,0,108.598,184,6.55658,82,170,0,1294.4
21.9,0,108.598,186,6.58672,82,170,0,1294.4
21.9167,0,108.598,180,6.61691,82,170,0,1294.4
21.9333,0,108.396,176,6.64699,82,170,0,1294.2
21.95,0,108.396,181,6.6771,82,170,0,1294.2
21.9667,0,108.598,192,6.70727,82,170,0,1294
21.9833,0,108.598,202,6.73747,82,170,0,1293.8
22,0,108.162,186,6.76748,82,169,0,1293.8
22.0167,0,108.598,182,6.79765,82,169,0,1293.6
22.0333,0,108.598,189,6.82781,82,169,0,1293.4
22.05,0,108.598,183,6.85801,82,170,0,1293.4
22.0667,0,108.598,218,6.88815,82,170,0,1293.4
22.0833,0,109.033,200,6.91843,82,170,0,1293.2
22.1,0,108.598,226,6.9486,82,170,0,1293.2
22.1167,0,109.033,194,6.97892,82,170,0,1293
22.1333,0,109.235,200,7.00926,83,169,0,1292.8
22.15,0,109.033,197,7.03952,83,169,0,1292.6
22.1667,0,109.102,200,7.06982,83,169,0,1292.6
22.1833,0,109.033,198,7.10014,83,170,0,1292.4
22.2,0,109.472,161,7.13052,83,169,0,1292.4
22.2167,0,109.472,199,7.16093,83,170,0,1292.2
22.2333,0,109.908,207,7.19146,83,170,0,1292.2
22.25,0,109.472,181,7.2219,83,170,0,1291.8
22.2667,0,109.908,179,7.2524,83,170,0,1291.8
22.2833,0,109.908,200,7.28293,83,170,0,1291.6
22.3,0,109.84,217,7.31344,83,170,0,1291.6
22.3167,0,109.908,208,7.34397,83,170,0,1291.2
22.3333,0,110.344,209,7.37462,84,171,0,1291.2
22.35,0,110.344,210,7.40527,84,170,0,1291
22.3667,0,110.815,179,7.43605,84,170,0,1290.8
22.3833,0,110.581,205,7.4668,84,171,0,1290.6
22.4,0,111.251,205,7.49767,84,171,0,1290.6
22.4167,0,111.319,174,7.52863,84,170,0,1290.4
22.4333,0,111.251,189,7.55953,84,171,0,1290
22.45,0,111.69,199,7.59055,84,171,0,1289.8
