GOTOES_CSV,timestamp,position_lat,position_long,altitude,heart_rate,cadence,distance,speed,power,compressed_speed_distance,grade,resistance,time_from_course,cycle_length,temperature,,,,speed_1s,cycles,total_cycles,,,,,,,,,compressed_accumulated_power,accumulated_power,left_right_balance,gps_accuracy,vertical_speed,calories,,,,,,vertical_oscillation,stance_time_percent,stance_time,activity_type,left_torque_effectiveness,right_torque_effectiveness,left_pedal_smoothness,right_pedal_smoothness,combined_pedal_smoothness,time128,stroke_type,zone,ball_speed,cadence256,fractional_cadence,total_hemoglobin_conc,total_hemoglobin_conc_min,total_hemoglobin_conc_max,saturated_hemoglobin_percent,saturated_hemoglobin_percent_min,saturated_hemoglobin_percent_max,,unknown61,device_index,,,,unknown66,left_pco,right_pco,left_power_phase,left_power_phase_peak,right_power_phase,right_power_phase_peak,enhanced_speed,,,,,enhanced_altitude,,,battery_soc,motor_power,vertical_ratio,stance_time_balance,step_length,,,,,,absolute_pressure,depth,next_stop_depth,next_stop_time,time_to_surface,ndl_time,cns_load,n2_load,,,,,,,,,,,,,,,,grit,flow,,ebike_travel_range,ebike_battery_level,ebike_assist_mode,ebike_assist_level_percent
,2023-09-15T17:50:48,40.3931499,-117.0426814,1447.2,255,63,11.64,41.886,95,,,,,,29,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,9613,,,,,-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-15T17:50:49,40.3931499,-117.0426814,1422.6,255,63,23.74,43.567,94,,,,,,29,,,,,,,,,,,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,9613,,,,,-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-15T17:50:50,40.3931499,-117.0426814,1422.8,255,65,35.31,41.652,93,,,,,,29,,,,,,,,,,,,,,,,282,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,9614,,,,,-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-15T17:50:51,40.3931496,-117.0426814,1422.2,255,63,46.84,41.483,90,,,,,,29,,,,,,,,,,,,,,,,372,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,9611,,,,,-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-15T17:50:52,40.3931491,-117.0426814,1421.8,255,64,58.76,42.962,95,,,,,,29,,,,,,,,,,,,,,,,467,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,9609,,,,,-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-15T17:50:53,40.3931489,-117.0426814,1422.8,255,64,70.06,40.676,88,,,,,,29,,,,,,,,,,,,,,,,555,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,9614,,,,,-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-15T17:50:54,40.3931484,-117.0426857,1423.0,255,64,81.39,40.777,94,,,,,,29,,,,,,,,,,,,,,,,555,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,9615,,,,,-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-15T17:50:55,40.3931482,-117.0426897,1423.4,255,64,93.07,42.055,94,,,,,,29,,,,,,,,,,,,,,,,743,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,9617,,,,,-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-15T17:50:56,40.3931474,-117.0426905,1423.4,255,63,104.37,40.612,85,,,,,,29,,,,,,,,,,,,,,,,828,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,9617,,,,,-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-15T17:50:57,40.3931470,-117.0426914,1423.2,255,62,115.34,39.434,86,,,,,,29,,,,,,,,,,,,,,,,914,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,9616,,,,,-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
