timestamp,altitude,heart_rate,cadence,distance,speed,power,temperature
2023-09-13T08:30:50,1432.2,132,51,20.9,20.189,156,16
2023-09-13T08:30:51,1432.2,132,51,27.36,21.532,169,16
2023-09-13T08:30:52,1432.2,135,51,34.26,22.842,169,16
2023-09-13T08:30:53,1432.4,137,53,41.54,24.318,169,16
2023-09-13T08:30:54,1432.4,140,55,49.5,26.201,200,16
2023-09-13T08:30:55,1432.4,140,56,57.53,27.41,171,16
2023-09-13T08:30:56,1432.4,141,56,65.68,28.148,172,16
2023-09-13T08:30:57,1432.6,143,58,73.17,28.483,172,16
2023-09-13T08:30:58,1432.6,144,59,81.67,29.693,161,17
2023-09-13T08:30:59,1432.6,144,59,90.22,30.668,200,17
2023-09-13T08:31:00,1432.6,145,63,99.18,31.943,200,17
2023-09-13T08:31:01,1432.6,146,63,107.71,32.515,201,17
2023-09-13T08:31:02,1432.6,147,66,116.73,33.152,201,17
2023-09-13T08:31:03,1432.6,147,67,125.81,33.624,240,17
2023-09-13T08:31:04,1432.8,148,68,134.19,34.128,209,17
2023-09-13T08:31:05,1432.8,148,69,143,34.801,190,17
2023-09-13T08:31:06,1432.6,148,70,151.98,35.37,192,17
2023-09-13T08:31:07,1432.8,149,72,161.11,35.507,211,17
2023-09-13T08:31:08,1432.8,150,73,170.85,35.942,194,17
2023-09-13T08:31:09,1432.8,151,74,180.83,36.547,216,17
2023-09-13T08:31:10,1432.8,152,76,191.14,36.648,195,17
2023-09-13T08:31:11,1433,153,77,201.47,36.781,220,17
2023-09-13T08:31:12,1433,153,78,211.7,36.814,212,17
2023-09-13T08:31:13,1433.2,154,79,222.51,37.318,190,17
2023-09-13T08:31:14,1433,154,81,233.11,37.991,225,17
2023-09-13T08:31:15,1433,155,81,243.9,38.729,188,17
2023-09-13T08:31:16,1433,156,83,254.24,38.999,192,17
2023-09-13T08:31:17,1433,156,83,264.95,39.535,187,17
2023-09-13T08:31:18,1433,157,84,275.76,39.402,190,17
2023-09-13T08:31:19,1433,158,85,286.72,39.402,196,17
2023-09-13T08:31:20,1433,158,86,297.92,39.737,185,17
2023-09-13T08:31:21,1433,158,87,309.37,40.208,174,17
2023-09-13T08:31:22,1433,158,87,320.97,41.08,184,17
2023-09-13T08:31:23,1433,159,88,332.53,41.72,185,17
2023-09-13T08:31:24,1433,159,89,344.19,41.987,191,17
2023-09-13T08:31:25,1433,159,90,355.97,42.156,187,17
2023-09-13T08:31:26,1433,159,91,367.92,42.628,170,17
2023-09-13T08:31:27,1432.8,160,91,380.37,43.132,209,17
2023-09-13T08:31:28,1432.8,160,91,392.5,43.265,166,17
2023-09-13T08:31:29,1432.8,160,80,405.05,43.87,170,17
2023-09-13T08:31:30,1432.8,160,80,417.65,44.104,171,17
2023-09-13T08:31:31,1432.8,160,80,430.07,44.442,183,17
2023-09-13T08:31:32,1432.8,161,81,442.65,44.507,167,17
2023-09-13T08:31:33,1432.8,161,82,455.28,44.608,188,17
2023-09-13T08:31:34,1432.6,161,82,467.85,44.608,176,17
2023-09-13T08:31:35,1432.6,161,82,480.55,45.011,165,17
2023-09-13T08:31:36,1432.6,161,83,493.39,45.245,176,17
2023-09-13T08:31:37,1432.6,162,83,506.3,45.414,181,17
2023-09-13T08:31:38,1432.6,162,84,519.6,45.986,167,17
2023-09-13T08:31:39,1432.4,162,84,533.01,46.253,183,17
2023-09-13T08:31:40,1432.4,162,85,546.3,46.724,173,17
2023-09-13T08:31:41,1432.4,162,85,559.56,46.894,188,17
2023-09-13T08:31:42,1432.4,162,86,572.86,46.958,192,17
2023-09-13T08:31:43,1432.4,163,78,586.37,47.362,173,17
2023-09-13T08:31:44,1432.4,163,75,599.51,47.664,217,17
2023-09-13T08:31:45,1432.4,163,76,612.9,47.966,189,17
2023-09-13T08:31:46,1432.2,163,76,626.8,48.672,166,17
2023-09-13T08:31:47,1432.2,163,76,654.91,49.176,173,17
2023-09-13T08:31:48,1432.2,163,76,654.91,49.176,185,17
2023-09-13T08:31:49,1432.2,164,77,668.39,48.269,180,17
2023-09-13T08:31:50,1432.2,164,77,682.18,47.966,198,17
2023-09-13T08:31:51,1432.2,164,77,696.01,48.067,177,17
2023-09-13T08:31:52,1432.2,164,78,710.21,48.874,194,17
2023-09-13T08:31:53,1432.2,164,79,724.68,49.712,190,17
2023-09-13T08:31:54,1432,164,79,738.36,49.108,184,17
2023-09-13T08:31:55,1432,164,79,752,49.108,184,17
2023-09-13T08:31:56,1432,165,80,765.98,50.152,182,17
2023-09-13T08:31:57,1432,165,80,780.23,51.394,174,17
2023-09-13T08:31:58,1431.8,165,81,795.58,51.865,185,17
2023-09-13T08:31:59,1431.8,165,81,810.69,52.603,167,17
2023-09-13T08:32:00,1431.8,165,81,824.85,52.502,165,17
2023-09-13T08:32:01,1431.8,165,81,839.83,53.712,166,17
2023-09-13T08:32:02,1431.8,165,82,854.4,54.047,166,17
2023-09-13T08:32:03,1431.6,165,82,883.92,53.273,172,17
2023-09-13T08:32:04,1431.6,166,83,883.92,53.273,163,17
2023-09-13T08:32:05,1431.6,166,83,898.79,53.543,167,17
2023-09-13T08:32:06,1431.6,166,83,913.27,53.41,189,17
2023-09-13T08:32:07,1431.4,166,83,927.56,53.611,189,17
2023-09-13T08:32:08,1431.4,166,84,941.72,53.676,180,17
2023-09-13T08:32:09,1431.2,166,84,956.72,54.72,168,17
2023-09-13T08:32:10,1431.2,166,85,971.29,53.845,172,17
2023-09-13T08:32:11,1431.2,166,85,985.6,52.772,161,17
2023-09-13T08:32:12,1431.2,166,85,1000.49,53.575,161,17
2023-09-13T08:32:13,1431,166,85,1015.26,54.248,148,17
2023-09-13T08:32:14,1431,167,85,1030.21,54.785,132,17
2023-09-13T08:32:15,1431,167,86,1045.31,55.022,156,17
2023-09-13T08:32:16,1431,167,85,1060.08,54.349,171,17
2023-09-13T08:32:17,1431,167,86,1074.52,53.51,161,17
2023-09-13T08:32:18,1430.8,167,86,1089.29,53.309,157,17
2023-09-13T08:32:19,1430.8,167,86,1104.46,53.712,145,17
2023-09-13T08:32:20,1430.6,167,86,1119.91,54.853,159,17
2023-09-13T08:32:21,1430.6,167,86,1134.98,55.123,184,17
2023-09-13T08:32:22,1430.6,167,86,1150.27,55.357,179,17
2023-09-13T08:32:23,1430.6,168,86,1165.16,54.652,181,17
2023-09-13T08:32:24,1430.4,168,86,1179.84,54.047,175,17
2023-09-13T08:32:25,1430.4,168,86,1194.79,54.216,177,17
2023-09-13T08:32:26,1430.4,168,87,1210.79,55.087,173,17
2023-09-13T08:32:27,1430.4,168,87,1226.58,55.022,169,17
2023-09-13T08:32:28,1430.4,168,87,1241.57,54.986,170,17
2023-09-13T08:32:29,1430.2,168,87,1256.76,55.325,171,17
2023-09-13T08:32:30,1430,168,87,1271.99,55.426,162,17
2023-09-13T08:32:31,1430,168,87,1287.57,55.93,155,17
2023-09-13T08:32:32,1430,168,87,1303.05,56.498,155,17
2023-09-13T08:32:33,1430,168,87,1319.39,56.768,174,17
2023-09-13T08:32:34,1430,168,88,1336.28,57.204,172,17
2023-09-13T08:32:35,1429.8,168,88,1351.88,56.736,179,17
2023-09-13T08:32:36,1429.8,168,88,1367.69,56.97,163,17
2023-09-13T08:32:37,1429.8,168,88,1383.5,57.172,156,17
2023-09-13T08:32:38,1429.8,168,89,1399.01,56.365,144,17
2023-09-13T08:32:39,1429.8,168,89,1413.57,55.793,160,17
2023-09-13T08:32:40,1429.6,168,89,1428.71,55.627,171,17
2023-09-13T08:32:41,1429.6,168,89,1443.56,55.289,183,17
2023-09-13T08:32:42,1429.6,168,90,1458.61,54.886,173,17
2023-09-13T08:32:43,1429.4,168,90,1473.98,55.357,139,17
2023-09-13T08:32:44,1429.4,169,90,1489.51,56.095,161,17
2023-09-13T08:32:45,1429.2,169,86,1505.06,56.164,153,17
2023-09-13T08:32:46,1429.2,169,77,1521.58,57.204,169,17
2023-09-13T08:32:47,1429,169,77,1537.54,57.071,175,17
2023-09-13T08:32:48,1429,169,77,1553.26,57.272,128,17
2023-09-13T08:32:49,1429,169,78,1569.5,58.144,144,17
2023-09-13T08:32:50,1429,169,78,1585.48,57.776,150,17
2023-09-13T08:32:51,1428.8,169,78,1601.36,57.438,150,17
2023-09-13T08:32:52,1428.8,169,78,1617.75,57.841,147,17
2023-09-13T08:32:53,1428.8,169,78,1634.16,58.313,152,17
2023-09-13T08:32:54,1428.8,170,78,1650.25,58.583,159,17
2023-09-13T08:32:55,1428.6,169,78,1666.58,57.978,172,17
2023-09-13T08:32:56,1428.6,170,79,1682.88,57.204,166,17
2023-09-13T08:32:57,1428.4,170,79,1699.2,58.414,162,17
2023-09-13T08:32:58,1428.2,170,79,1715.3,59.152,145,17
2023-09-13T08:32:59,1428.2,170,79,1732.05,59.857,146,17
2023-09-13T08:33:00,1428.2,170,80,1748.5,59.288,149,17
2023-09-13T08:33:01,1427.8,171,79,1765.28,58.684,159,17
2023-09-13T08:33:02,1427.8,170,80,1781.46,58.345,141,17
2023-09-13T08:33:03,1427.8,171,80,1797.99,58.18,142,17
2023-09-13T08:33:04,1427.8,171,80,1814.22,58.583,151,17
2023-09-13T08:33:05,1427.6,170,80,1830.22,58.212,155,17
2023-09-13T08:33:06,1427.6,170,80,1846.63,59.188,142,17
2023-09-13T08:33:07,1427.6,170,80,1861.86,57.539,150,17
2023-09-13T08:33:08,1427.4,170,80,1878.75,58.514,153,17
2023-09-13T08:33:09,1427.4,171,80,1893.99,57.506,142,17
2023-09-13T08:33:10,1427.2,171,80,1910.24,57.506,141,17
2023-09-13T08:33:11,1427.2,171,80,1926.26,57.942,142,17
2023-09-13T08:33:12,1427.2,171,80,1942.57,58.583,156,17
2023-09-13T08:33:13,1427,171,80,1959.09,59.119,147,17
2023-09-13T08:33:14,1427,171,80,1975.72,59.389,149,17
2023-09-13T08:33:15,1427,171,80,1992.39,59.792,150,17
2023-09-13T08:33:16,1426.8,171,81,2008.9,59.926,144,17
2023-09-13T08:33:17,1426.6,171,81,2025.74,60.16,159,17
2023-09-13T08:33:18,1426.6,171,80,2042.64,60.127,161,17
2023-09-13T08:33:19,1426.6,172,81,2059.55,60.026,156,17
2023-09-13T08:33:20,1426.4,171,81,2075.98,59.288,148,17
2023-09-13T08:33:21,1426.4,171,81,2092.9,59.422,143,17
2023-09-13T08:33:22,1426.4,171,81,2110.08,60.196,146,17
2023-09-13T08:33:23,1426.4,171,81,2126.63,59.893,150,17
2023-09-13T08:33:24,1426.2,171,81,2143.12,59.422,145,17
2023-09-13T08:33:25,1426,171,81,2160.51,60.026,140,17
2023-09-13T08:33:26,1426,172,82,2177.92,60.631,147,17
2023-09-13T08:33:27,1425.8,172,82,2195.34,61.268,135,17
2023-09-13T08:33:28,1425.8,172,82,2212.5,61.002,147,17
2023-09-13T08:33:29,1425.8,172,82,2229.46,60.8,153,17
