Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
17.1667,0,19.3464,153,0.05486,33,82,0,1343.4
17.1833,0,21.5316,180,0.06084,33,82,0,1343.4
17.2,0,22.8096,180,0.06717,50,83,0,1343.6
17.2167,0,24.354,187,0.07394,54,85,0,1343.8
17.2333,0,25.7652,212,0.08109,57,88,0,1343.8
17.25,0,26.9388,226,0.08858,60,90,0,1344
17.2667,0,28.08,235,0.09638,63,94,0,1344.2
17.2833,0,29.2896,235,0.10451,67,98,0,1344.2
17.3,0,30.2976,231,0.11293,70,102,0,1344.2
17.3167,0,31.3416,227,0.12163,73,105,0,1344.2
17.3333,0,32.2812,201,0.1306,75,109,0,1344.4
17.35,0,32.886,190,0.13974,76,112,0,1344.4
17.3667,0,34.0272,195,0.14919,71,114,0,1344.6
17.3833,0,35.0352,245,0.15892,72,116,0,1344.8
17.4,0,35.9748,242,0.16891,73,118,0,1344.8
17.4167,0,36.8496,217,0.17916,75,120,0,1344.8
17.4333,0,37.7568,215,0.18964,77,122,0,1344.8
17.45,0,38.8656,200,0.20043,79,123,0,1344.8
17.4667,0,39.7044,202,0.21146,81,125,0,1344.8
17.4833,0,40.4748,210,0.2227,83,126,0,1344.8
17.5,0,41.2488,203,0.23416,85,128,0,1344.8
17.5167,0,41.886,182,0.2458,86,129,0,1344.8
17.5333,0,42.894,174,0.25772,88,131,0,1344.8
17.55,0,43.7688,186,0.26987,90,132,0,1344.8
17.5667,0,44.3052,207,0.28218,91,134,0,1344.8
17.5833,0,45.0432,135,0.29469,90,135,0,1344.8
17.6,0,45.684,187,0.30738,83,136,0,1344.8
17.6167,0,46.422,189,0.32028,84,138,0,1344.8
17.6333,0,47.0268,182,0.33334,86,139,0,1344.6
17.65,0,47.664,185,0.34658,87,140,0,1344.6
17.6667,0,48.3048,192,0.36,88,141,0,1344.6
17.6833,0,48.9744,188,0.37361,89,141,0,1344.6
17.7,0,49.4784,189,0.38734,91,142,0,1344.6
17.7167,0,50.1156,191,0.40127,92,142,0,1344.8
17.7333,0,50.8896,197,0.4154,93,143,0,1344.8
17.75,0,51.3252,184,0.42966,94,144,0,1344.8
17.7667,0,51.7968,185,0.44405,95,144,0,1344.8
17.7833,0,52.4016,151,0.4586,94,145,0,1344.6
17.8,0,53.1072,186,0.47335,84,146,0,1344.6
17.8167,0,53.6112,187,0.48825,85,146,0,1344.4
17.8333,0,53.9784,186,0.50324,86,147,0,1344.2
17.85,0,54.72,187,0.51846,87,148,0,1344.2
17.8667,0,54.9864,204,0.53371,88,148,0,1344.2
17.8833,0,55.6596,192,0.54918,89,149,0,1344.2
17.9,0,56.1636,197,0.56478,90,149,0,1344.2
17.9167,0,56.6352,200,0.58051,90,150,0,1344.2
17.9333,0,57.0384,180,0.59635,91,150,0,1344.2
17.95,0,57.438,179,0.61232,92,151,0,1344.2
17.9667,0,57.978,187,0.62841,93,152,0,1344.2
17.9833,0,58.3812,182,0.64463,93,152,0,1344
18,0,58.6152,182,0.66093,88,152,0,1344
18.0167,0,59.3532,188,0.6774,84,153,0,1344
18.0333,0,59.7924,194,0.69401,85,153,0,1344
18.05,0,60.2604,177,0.71075,85,153,0,1344
18.0667,0,60.6996,190,0.72761,86,153,0,1344
18.0833,0,60.9336,182,0.74453,87,153,0,1343.8
18.1,0,61.1676,171,0.76152,87,153,0,1343.8
18.1167,0,61.8732,194,0.77871,88,153,0,1343.8
18.1333,0,62.3448,182,0.79603,89,153,0,1344
18.15,0,62.5788,155,0.81341,89,152,0,1344
18.1667,0,63.0828,161,0.83093,90,152,0,1344
18.1833,0,63.5868,179,0.8486,90,152,0,1344
18.2,0,63.8208,182,0.86634,91,151,0,1344
18.2167,0,64.0908,128,0.88413,88,151,0,1343.8
18.2333,0,64.8648,167,0.90215,80,151,0,1343.8
18.25,0,65.1312,156,0.92026,81,151,0,1343.6
18.2667,0,65.6028,160,0.93846,82,151,0,1343.6
18.2833,0,65.9376,156,0.95678,82,151,0,1343.6
