Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
0.0166667,0,22.6368,199,0.00634,48,0,0,1455.4
0.0333333,0,23.6016,209,0.01284,51,0,0,1455.2
0.05,0,25.0524,226,0.0198,54,0,0,1455.2
0.0666667,0,26.064,232,0.02704,57,0,0,1455.8
0.0833333,0,27.0684,220,0.03456,60,0,0,1455.8
0.1,0,28.3572,229,0.04244,62,0,0,1455.8
0.116667,0,29.5488,234,0.05065,65,0,0,1456.2
0.133333,0,30.4776,226,0.05911,67,0,0,1455.8
0.15,0,31.3416,209,0.06782,69,0,0,1455.6
0.166667,0,32.1228,209,0.07674,71,0,0,1455.6
0.183333,0,32.9436,189,0.08589,73,0,0,1455.8
0.2,0,34.1028,253,0.09536,76,0,0,1455.8
0.216667,0,35.028,240,0.10509,78,0,0,1455.4
0.233333,0,36.0072,210,0.1151,80,0,0,1455.4
0.25,0,36.6876,225,0.12529,82,0,0,1455.6
0.266667,0,37.3968,200,0.13568,83,0,0,1455.6
0.283333,0,38.1348,172,0.14627,85,0,0,1455.8
0.3,0,38.9988,178,0.1571,87,0,0,1455.8
0.316667,0,39.906,186,0.16819,89,0,0,1455.4
0.333333,0,40.32,162,0.17939,90,0,0,1455.2
0.35,0,41.0688,187,0.19079,92,0,0,1455.4
0.366667,0,41.6196,169,0.20236,93,0,0,1455.4
0.383333,0,42.4188,161,0.21414,95,0,0,1455.2
0.4,0,43.0092,157,0.22609,97,0,0,1454.4
0.416667,0,43.3692,134,0.23813,98,0,0,1454.6
0.433333,0,43.9848,162,0.25035,99,0,0,1454.6
0.45,0,44.748,169,0.26278,100,0,0,1454.8
0.466667,0,45.27,172,0.27541,89,0,0,1454.8
0.483333,0,45.8064,174,0.28808,89,0,0,1454.8
0.5,0,46.3572,179,0.30096,90,0,0,1454.6
0.516667,0,46.9188,160,0.31399,92,0,0,1454.6
0.533333,0,47.4948,192,0.32718,93,0,0,1454
0.55,0,47.934,206,0.3405,94,0,0,1454.4
0.566667,0,48.2328,148,0.3539,95,0,0,1454.4
0.583333,0,48.69,144,0.36742,96,0,0,1454.6
0.6,0,49.4676,171,0.38116,97,0,0,1454.4
0.616667,0,49.9464,184,0.39504,98,0,0,1454.6
0.633333,0,50.598,169,0.40909,99,0,0,1454.4
0.65,0,50.7636,159,0.42319,100,0,0,1454.6
0.666667,0,51.0984,147,0.43739,100,0,0,1454.4
0.683333,0,51.6096,144,0.45172,101,0,0,1454.4
0.7,0,51.7824,142,0.46611,102,0,0,1454.2
0.716667,0,52.1892,141,0.4806,103,0,0,1454
0.733333,0,52.4844,148,0.49518,103,0,0,1454
0.75,0,52.8408,148,0.50986,104,0,0,1454
0.766667,0,53.388,141,0.52469,105,0,0,1454
0.783333,0,53.946,193,0.53967,106,0,0,1453.8
0.8,0,54.3276,202,0.55477,107,0,0,1453.6
0.816667,0,54.9036,215,0.57002,108,0,0,1453.8
0.833333,0,55.296,204,0.58538,107,0,0,1453.6
0.85,0,55.8936,231,0.6009,97,0,0,1453.6
0.866667,0,56.0988,219,0.61648,98,0,0,1454
0.883333,0,56.7144,222,0.63224,99,0,0,1454
0.9,0,57.3444,224,0.64817,100,0,0,1454.2
0.916667,0,57.7728,219,0.66422,101,0,0,1453.6
0.933333,0,58.2048,230,0.68038,102,0,0,1453.8
0.95,0,58.6476,228,0.69668,103,0,0,1454
0.966667,0,59.3208,205,0.71315,104,0,0,1454
0.983333,0,59.5512,165,0.7297,104,0,0,1453.8
1,0,59.778,167,0.7463,105,0,0,1453.4
1.01667,0,60.48,178,0.7631,106,0,0,1453.6
1.03333,0,60.7176,151,0.77997,106,0,0,1453.4
1.05,0,61.1964,176,0.79697,107,0,0,1453.4
1.06667,0,61.4412,198,0.81403,108,0,0,1453.2
1.08333,0,62.1792,213,0.8313,109,0,0,1453.2
1.1,0,62.4312,189,0.84865,110,0,0,1453.2
1.11667,0,62.9388,196,0.86613,110,0,0,1453.2
1.13333,0,63.1944,187,0.88368,111,0,0,1453.2
1.15,0,63.7164,177,0.90138,111,0,0,1452.8
1.16667,0,63.9792,174,0.91915,112,0,0,1452.6
1.18333,0,64.2456,160,0.937,113,0,0,1452.4
1.2,0,64.782,148,0.95499,114,0,0,1452.6
1.21667,0,64.782,140,0.97299,114,0,0,1452.4
1.23333,0,65.0556,147,0.99106,115,0,0,1452.6
1.25,0,65.8836,199,1.00936,115,0,0,1452.4
1.26667,0,65.9772,184,1.02769,109,0,0,1452.8
1.28333,0,66.4488,213,1.04615,102,0,0,1452.4
1.3,0,66.7368,209,1.06469,102,0,0,1452.6
1.31667,0,67.122,208,1.0834,103,0,0,1452.4
1.33333,0,67.3164,188,1.10203,103,0,0,1452.4
1.35,0,67.6116,197,1.12081,104,0,0,1452
1.36667,0,67.9068,190,1.13967,104,0,0,1452
1.38333,0,67.9068,199,1.15854,105,0,0,1451.6
1.4,0,68.2056,208,1.17748,105,0,0,1451.8
1.41667,0,68.508,245,1.19651,105,0,0,1451.8
1.43333,0,69.12,218,1.21575,106,0,0,1452
1.45,0,69.4296,185,1.235,106,0,0,1452
1.46667,0,69.4296,188,1.25428,107,0,0,1451.6
1.48333,0,70.0596,228,1.27374,107,0,0,1451.8
1.5,0,70.3764,221,1.29329,108,0,0,1452.2
1.51667,0,70.3764,188,1.31284,108,0,0,1452
1.53333,0,70.8048,158,1.33251,109,0,0,1451.6
1.55,0,71.0208,155,1.35224,109,0,0,1451.6
1.56667,0,71.46,163,1.37209,109,0,0,1451.4
1.58333,0,71.6796,150,1.392,110,0,0,1451.6
1.6,0,72.0144,158,1.412,111,0,0,1451.4
1.61667,0,72.3492,155,1.4321,111,0,0,1451.6
1.63333,0,72.6912,153,1.45229,112,0,0,1451.2
1.65,0,72.8028,159,1.47252,112,0,0,1451
1.66667,0,73.0332,153,1.4928,112,0,0,1450.6
1.68333,0,73.494,174,1.51322,107,0,0,1450.6
1.7,0,73.728,177,1.5337,102,0,0,1450.4
1.71667,0,74.0808,215,1.55428,103,0,0,1450.6
1.73333,0,74.6748,218,1.57502,103,0,0,1450.6
1.75,0,74.916,213,1.59583,104,0,0,1450.6
1.76667,0,75.1608,222,1.61671,105,0,0,1450.4
1.78333,0,75.528,225,1.63769,105,0,0,1450
1.8,0,76.2696,199,1.65887,105,0,0,1450.6
1.81667,0,76.2696,216,1.68006,106,0,0,1450.4
1.83333,0,77.0292,248,1.70146,107,0,0,1450.6
1.85,0,77.0292,205,1.72285,107,0,0,1449.6
1.86667,0,77.6736,212,1.74443,108,0,0,1449.4
1.88333,0,77.9328,229,1.76608,108,0,0,1449
1.9,0,78.1956,215,1.7878,109,0,0,1449.2
1.91667,0,78.5916,183,1.80963,109,0,0,1449
1.93333,0,78.462,170,1.83142,109,0,0,1449.2
1.95,0,78.9948,176,1.85337,110,0,0,1449.4
1.96667,0,78.9948,177,1.87531,110,0,0,1449
1.98333,0,79.2648,160,1.89733,110,0,0,1449
2,0,79.5348,159,1.91942,110,0,0,1449
2.01667,0,79.398,183,1.94148,111,0,0,1449
2.03333,0,79.8084,183,1.96365,111,0,0,1449
2.05,0,79.8084,186,1.98581,111,0,0,1448.6
2.06667,0,80.3592,182,2.0084,102,0,0,1448.4
2.08333,0,80.64,223,2.03053,100,0,0,1448.2
2.1,0,80.9208,196,2.05301,101,0,0,1448
2.11667,0,81.4896,201,2.07565,101,0,0,1448
2.13333,0,81.4896,213,2.09828,101,0,0,1448
2.15,0,81.774,219,2.121,102,0,0,1448
2.16667,0,82.0656,221,2.1438,102,0,0,1447.8
2.18333,0,82.6488,196,2.16675,102,0,0,1447.6
2.2,0,82.7964,232,2.18975,103,0,0,1447.4
2.21667,0,83.2428,223,2.21288,103,0,0,1447.6
2.23333,0,83.2428,223,2.236,103,0,0,1447.4
2.25,0,83.844,217,2.25945,104,0,0,1447.8
2.26667,0,83.844,212,2.28265,104,0,0,1447.2
2.28333,0,84.1464,206,2.30595,105,0,0,1447
2.3,0,84.762,194,2.3295,105,0,0,1446.8
2.31667,0,84.762,201,2.35304,106,0,0,1446.6
