Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
0.0166667,0,24.9768,215,0.0069,60,105,0,1483.6
0.0333333,0,26.0748,189,0.01414,62,108,0,1483.6
0.05,0,27.1332,194,0.02168,65,111,0,1483.6
0.0666667,0,28.134,223,0.0295,68,113,0,1483.6
0.0833333,0,29.1312,198,0.03759,70,115,0,1483.6
0.1,0,30.0312,194,0.04593,72,116,0,1483.6
0.116667,0,30.8988,207,0.05451,75,118,0,1483.6
0.133333,0,31.8168,207,0.06335,77,119,0,1483.6
0.15,0,32.7924,200,0.07246,79,120,0,1483.6
0.166667,0,33.7248,200,0.08183,81,121,0,1483.6
0.183333,0,34.4844,222,0.09141,84,121,0,1483.6
0.2,0,35.6364,225,0.10131,85,123,0,1483.6
0.216667,0,36.612,208,0.11148,88,124,0,1483.6
0.233333,0,37.3788,193,0.12186,89,125,0,1483.6
0.25,0,38.4552,193,0.13254,92,125,0,1483.6
0.266667,0,39.1608,195,0.14342,94,127,0,1483.6
0.283333,0,40.0392,195,0.15454,96,128,0,1483.6
0.3,0,40.8024,194,0.16587,97,129,0,1484
0.316667,0,41.436,189,0.17742,100,130,0,1484.4
0.333333,0,42.4224,187,0.18917,101,130,0,1484.8
0.35,0,43.1064,196,0.20114,103,131,0,1485.2
0.366667,0,43.812,183,0.21331,105,132,0,1485.6
0.383333,0,44.3592,190,0.22563,107,133,0,1485.6
0.4,0,45.108,153,0.23816,108,133,0,1485.6
0.416667,0,45.4932,190,0.2508,101,134,0,1485.6
0.433333,0,46.3464,202,0.26367,97,134,0,1485.6
0.45,0,46.89,215,0.2767,98,135,0,1485.6
0.466667,0,47.7252,221,0.28996,100,136,0,1485.6
0.483333,0,48.1572,244,0.30333,102,136,0,1485.6
0.5,0,49.0392,228,0.31695,103,137,0,1485.6
0.516667,0,49.4928,203,0.3307,104,138,0,1485.6
0.533333,0,50.2704,198,0.34467,106,138,0,1485.6
0.55,0,50.9076,221,0.35881,107,139,0,1485.6
0.566667,0,51.5628,210,0.37313,108,139,0,1485.6
