timestamp,altitude,avg_heartrate,cadence,distance,speed,instant_power
2023-09-16T10:41:49,1461.8,100,46,32.95,20.794,138
2023-09-16T10:41:50,1461.8,104,46,39.09,21.802,114
2023-09-16T10:41:51,1461.8,104,49,45.42,22.874,114
2023-09-16T10:41:52,1461.8,111,50,52.66,24.052,129
2023-09-16T10:41:53,1461.8,116,50,60.23,24.923,112
2023-09-16T10:41:54,1461.8,120,52,67.36,25.294,112
2023-09-16T10:41:55,1462,120,53,74.73,26.068,134
2023-09-16T10:41:56,1462,123,53,82.07,26.1,123
2023-09-16T10:41:57,1462.2,126,56,89.67,27.04,123
2023-09-16T10:41:58,1462.2,128,57,97.69,28.048,135
2023-09-16T10:41:59,1462.4,128,58,106.28,28.519,123
2023-09-16T10:42:00,1462.6,129,58,114.77,28.753,127
2023-09-16T10:42:01,1462.6,131,59,122.87,29.39,127
2023-09-16T10:42:02,1462.6,131,61,131.52,30.233,119
2023-09-16T10:42:03,1462.6,132,62,139.92,30.467,151
2023-09-16T10:42:04,1462.6,134,63,148.3,30.902,144
2023-09-16T10:42:05,1462.6,135,64,156.74,31.241,133
2023-09-16T10:42:06,1462.6,135,65,166.02,32.112,121
2023-09-16T10:42:07,1462.6,136,66,175.6,32.414,132
2023-09-16T10:42:08,1462.6,137,68,184.97,32.346,117
2023-09-16T10:42:09,1462.6,137,69,193.95,32.414,131
2023-09-16T10:42:10,1462.6,138,69,203.84,33.725,121
2023-09-16T10:42:11,1462.6,138,70,213.42,33.757,121
2023-09-16T10:42:12,1462.6,138,71,223.19,34.128,110
2023-09-16T10:42:13,1462.6,138,73,232.88,34.297,130
2023-09-16T10:42:14,1462.6,139,74,243.68,35.608,125
2023-09-16T10:42:15,1462.6,139,74,253.79,35.608,116
2023-09-16T10:42:16,1462.6,139,76,264.64,36.882,130
2023-09-16T10:42:17,1462.6,139,76,274.92,36.648,130
2023-09-16T10:42:18,1462.6,140,77,285.39,36.85,81
2023-09-16T10:42:19,1462.6,140,78,296.35,37.519,144
2023-09-16T10:42:20,1462.4,140,79,306.49,36.648,135
2023-09-16T10:42:21,1462.4,140,80,316.98,36.914,108
2023-09-16T10:42:22,1462.4,140,69,328.13,37.519,120
2023-09-16T10:42:23,1462.4,140,69,338.8,37.757,108
2023-09-16T10:42:24,1462.2,140,70,349.49,38.16,108
2023-09-16T10:42:25,1462,141,71,360.28,38.462,117
2023-09-16T10:42:26,1462,141,71,371.49,38.866,122
2023-09-16T10:42:27,1462,141,72,382.41,39.773,126
2023-09-16T10:42:28,1462,142,72,393.43,39.535,134
2023-09-16T10:42:29,1462,142,73,404.66,40.208,134
2023-09-16T10:42:30,1462,142,74,416.14,41.08,132
2023-09-16T10:42:31,1461.8,142,75,427.15,40.108,127
2023-09-16T10:42:32,1461.8,143,75,438.76,40.374,144
2023-09-16T10:42:33,1461.8,143,76,449.9,40.208,141
2023-09-16T10:42:34,1461.8,143,76,461.18,39.938,123
2023-09-16T10:42:35,1461.8,143,77,472.24,40.208,137
2023-09-16T10:42:36,1461.8,143,77,484.23,40.878,141
2023-09-16T10:42:37,1461.8,144,78,496.2,40.846,138
2023-09-16T10:42:38,1461.8,144,78,508.3,41.922,129
2023-09-16T10:42:39,1461.8,144,79,520.88,42.761,131
2023-09-16T10:42:40,1461.8,144,79,533.44,43.434,108
2023-09-16T10:42:41,1461.8,144,80,546.27,43.668,119
2023-09-16T10:42:42,1461.8,144,80,558.68,43.938,118
2023-09-16T10:42:43,1461.8,145,81,570.89,43.398,126
2023-09-16T10:42:44,1461.6,145,81,583.42,43.7,142
2023-09-16T10:42:45,1461.6,145,81,596.23,44.676,147
2023-09-16T10:42:46,1461.6,145,82,608.78,44.039,111
2023-09-16T10:42:47,1461.6,146,83,621.15,44.14,121
2023-09-16T10:42:48,1461.6,146,83,634.11,44.64,143
2023-09-16T10:42:49,1461.4,147,83,646.94,45.079,138
2023-09-16T10:42:50,1461.4,147,84,659.81,45.346,124
