Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
0.01666,0,20.9232,197,0.00581,43,98,0,1455
0.03333,0,22.1832,223,0.01197,48,102,0,1455.2
0.05,0,23.3172,216,0.01845,51,105,0,1455.2
0.06666,0,24.5772,193,0.02528,54,108,0,1454.8
0.08333,0,25.6356,203,0.0324,56,110,0,1454.8
0.1,0,26.4204,179,0.03974,59,113,0,1454.8
0.11666,0,27.648,200,0.04742,61,115,0,1455.6
0.13333,0,28.3572,185,0.05529,63,116,0,1455.2
0.15,0,29.322,189,0.06344,65,117,0,1455.6
0.16666,0,30.1212,196,0.0718,67,118,0,1454.8
0.18333,0,30.8412,188,0.08037,68,119,0,1455.6
0.2,0,31.5972,168,0.08915,70,119,0,1455.6
0.21666,0,32.3892,171,0.09815,72,118,0,1455.6
0.23333,0,33.2244,177,0.10737,74,118,0,1455.8
0.25,0,33.9552,176,0.11681,76,118,0,1455.4
0.26666,0,34.8696,172,0.12649,77,119,0,1456
0.28333,0,35.3484,173,0.13631,79,119,0,1455.6
0.3,0,36.0072,163,0.14631,81,121,0,1455.2
0.31666,0,36.864,154,0.15655,82,121,0,1455.4
0.33333,0,37.4904,156,0.16697,84,122,0,1455.4
0.35,0,38.1348,163,0.17756,85,122,0,1455.4
0.36666,0,38.9016,154,0.18837,87,122,0,1455.2
0.38333,0,39.4956,159,0.19934,88,123,0,1455.2
0.4,0,40.1112,183,0.21048,90,123,0,1455.2
0.41666,0,40.9608,177,0.22186,91,124,0,1455
0.43333,0,41.8464,177,0.23348,93,125,0,1455
0.45,0,42.3036,188,0.24523,95,126,0,1455.2
0.46666,0,42.7716,161,0.25711,96,127,0,1455.2
0.48333,0,43.3692,156,0.26938,97,127,0,1454.8
0.5,0,43.9848,144,0.28138,99,128,0,1454.6
0.51666,0,44.2368,149,0.29366,100,128,0,1455
0.53333,0,44.748,146,0.30609,101,129,0,1455.2
0.55,0,45.27,186,0.31867,102,129,0,1454.8
0.56666,0,45.9432,170,0.33143,101,129,0,1454.8
0.58333,0,46.6344,214,0.34438,91,129,0,1455
0.6,0,47.2032,200,0.3575,93,129,0,1455.2
0.61666,0,47.7864,194,0.37077,94,130,0,1455.2
0.63333,0,48.384,194,0.38421,95,130,0,1454.6
0.65,0,48.8412,190,0.39778,96,130,0,1455
0.66666,0,49.626,177,0.41156,97,131,0,1454.4
0.68333,0,50.2704,168,0.42553,98,131,0,1455.2
0.7,0,50.2704,163,0.43949,99,131,0,1454.8
0.71666,0,50.7636,169,0.45359,100,131,0,1454.8
0.73333,0,51.6096,198,0.46817,101,132,0,1455.2
0.75,0,51.7824,231,0.48231,102,132,0,1455
0.76666,0,52.4844,219,0.49689,103,133,0,1455.2
0.78333,0,52.8408,212,0.51157,104,133,0,1455
0.8,0,53.388,191,0.5264,105,134,0,1454.8
0.81666,0,53.946,168,0.54165,106,134,0,1454.4
0.83333,0,54.3276,180,0.55647,107,135,0,1454.4
0.85,0,54.7092,206,0.57167,108,136,0,1454.6
0.86666,0,55.296,185,0.58703,108,136,0,1454.6
0.88333,0,55.6956,202,0.6025,109,136,0,1454.4
0.9,0,56.0988,222,0.61808,99,136,0,1454.8
0.91666,0,56.5056,198,0.63397,99,136,0,1455
0.93333,0,57.3444,208,0.65001,99,136,0,1454.8
0.95,0,57.3444,209,0.66563,100,136,0,1454.6
0.96666,0,57.3444,209,0.68156,101,137,0,1454.6
0.98333,0,58.4244,199,0.69779,102,137,0,1454.6
1,0,58.8708,232,0.71415,103,137,0,1454.4
1.01666,0,59.3208,198,0.73062,104,137,0,1454
1.03333,0,59.778,210,0.74723,105,138,0,1453.8
1.05,0,60.246,197,0.76396,105,139,0,1454
1.06666,0,60.7176,194,0.78108,106,139,0,1454
1.08333,0,61.1964,197,0.79786,107,140,0,1454.4
1.1,0,61.4412,201,0.81489,108,140,0,1454.2
1.11666,0,62.0568,202,0.83232,108,140,0,1454
1.13333,0,62.4312,213,0.84975,110,140,0,1454.4
1.15,0,62.9388,198,0.86695,110,141,0,1453.8
1.16666,0,63.4536,191,0.88458,111,142,0,1453.8
1.18333,0,63.7164,192,0.90228,112,142,0,1454
1.2,0,64.2456,203,0.92012,106,142,0,1453.6
1.21666,0,64.782,229,0.93846,99,142,0,1453.2
1.23333,0,65.0556,225,0.95619,100,142,0,1453.2
1.25,0,65.8836,220,0.97449,101,142,0,1453
1.26666,0,66.1644,241,0.99303,101,142,0,1453
