Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
11.15,0,7.1352,0,0.16292,0,81,0,1444.2
11.1667,0,7.1352,0,0.16491,0,82,0,1444.4
11.1833,0,17.8776,103,0.16985,26,83,0,1444.2
11.2,0,19.5084,168,0.17527,43,84,0,1444.2
11.2167,0,20.88,207,0.18107,48,86,0,1444.2
11.2333,0,21.906,213,0.18715,48,89,0,1444.6
11.25,0,23.3424,213,0.19364,51,94,0,1444.4
11.2667,0,24.7464,224,0.20051,55,95,0,1445
11.2833,0,25.884,218,0.2077,58,99,0,1444.4
11.3,0,26.9064,206,0.21517,61,103,0,1445.2
11.3167,0,28.2816,220,0.22303,65,107,0,1444.4
11.3333,0,29.2104,219,0.23119,69,110,0,1445
11.35,0,30.3696,198,0.23958,71,113,0,1444.8
11.3667,0,31.2588,209,0.24826,73,115,0,1445
11.3833,0,32.3964,215,0.25726,75,117,0,1444.8
11.4,0,33.408,218,0.26654,78,118,0,1445
11.4167,0,34.7112,221,0.27618,81,119,0,1445
11.4333,0,35.6364,237,0.28608,83,120,0,1445.2
11.45,0,36.2376,217,0.29615,85,121,0,1445
11.4667,0,37.1196,205,0.30646,87,122,0,1444.6
11.4833,0,38.2896,219,0.31709,90,122,0,1444.6
11.5,0,39.3048,217,0.32807,92,123,0,1445
11.5167,0,40.1904,217,0.33917,94,124,0,1445.2
11.5333,0,41.2776,241,0.35064,97,125,0,1445.4
11.55,0,42.2568,215,0.36238,99,126,0,1445
11.5667,0,43.1064,233,0.37435,101,127,0,1444.8
11.5833,0,43.9956,224,0.38657,103,129,0,1444.4
11.6,0,44.73,233,0.399,106,130,0,1444.6
11.6167,0,45.4932,244,0.41164,107,132,0,1444.4
11.6333,0,46.278,217,0.42449,100,133,0,1444.6
11.65,0,46.6848,247,0.43746,97,134,0,1444.2
11.6667,0,48.0132,254,0.45081,99,136,0,1443.8
11.6833,0,48.5928,246,0.46429,101,137,0,1443.6
11.7,0,49.266,229,0.47798,102,138,0,1443.6
11.7167,0,50.2704,205,0.49208,104,139,0,1443.6
11.7333,0,50.9076,202,0.50608,105,140,0,1443.4
11.75,0,51.3972,218,0.52036,107,141,0,1444
11.7667,0,52.2324,220,0.53487,108,141,0,1443.4
11.7833,0,52.9236,215,0.54957,110,142,0,1444
11.8,0,53.4528,234,0.56443,111,142,0,1444
11.8167,0,54.2664,234,0.57949,112,143,0,1443.8
11.8333,0,54.5436,244,0.59464,113,143,0,1443.6
11.85,0,55.296,262,0.61,115,143,0,1443.6
11.8667,0,55.9728,232,0.62555,106,144,0,1443.8
11.8833,0,56.664,251,0.64129,104,144,0,1444.2
11.9,0,57.2724,265,0.6572,105,144,0,1444.2
11.9167,0,58.1004,264,0.67335,106,145,0,1444.4
11.9333,0,58.7376,283,0.68965,108,145,0,1444
11.95,0,59.3928,235,0.70617,109,146,0,1444.2
11.9667,0,59.3928,232,0.72265,110,146,0,1444
11.9833,0,60.2856,234,0.73939,111,146,0,1444
