Minutes,"Torq (N-m)",Km/h,Watts,Km,Cadence,Hrate,ID,"Altitude (m)"
0,0,12.798,114,0,22,87,0,1455
0.016659999999999897,0,14.94,183,0.004139999999999998,22,90,0,1455.2
0.033329999999999416,0,16.6104,183,0.00875,33,92,0,1455
0.04999999999999982,0,18.3168,266,0.013839999999999998,40,96,0,1455
0.06665999999999972,0,20.34,243,0.01949,46,99,0,1455.2
0.08333000000000013,0,21.5676,214,0.025479999999999996,46,102,0,1455.2
0.09999999999999964,0,22.86,214,0.031830000000000004,50,105,0,1454.8
0.11665999999999954,0,23.9868,222,0.03849,54,107,0,1454.8
0.13332999999999995,0,24.9948,207,0.04542999999999999,57,110,0,1454.8
0.14999999999999947,0,25.9668,204,0.052649999999999995,59,111,0,1455.6
0.16665999999999936,0,26.8776,199,0.060110000000000004,61,112,0,1455.2
0.18332999999999977,0,27.8604,205,0.06786999999999999,64,112,0,1455.6
0.20000000000000018,0,28.7568,217,0.07583999999999999,67,112,0,1454.8
0.21666000000000007,0,29.8008,213,0.08412,70,111,0,1455.6
0.2333299999999996,0,30.564,214,0.09261,72,111,0,1455.6
0.25,0,31.464,199,0.10135,73,110,0,1455.6
0.2666599999999999,0,32.616,219,0.11040999999999998,75,111,0,1455.8
0.2833299999999994,0,33.4296,244,0.11968999999999999,78,111,0,1455.4
0.2999999999999998,0,34.29,225,0.12922,80,113,0,1456
0.3166599999999997,0,35.19,229,0.13899,82,114,0,1455.6
0.3333300000000001,0,36.1404,234,0.14903,84,115,0,1455.2
0.34999999999999964,0,36.8892,226,0.15927999999999998,86,117,0,1455.4
0.36665999999999954,0,37.9368,221,0.16982,89,118,0,1455.4
0.38332999999999995,0,38.4804,214,0.18051,90,119,0,1455.4
0.39999999999999947,0,39.186,179,0.19138999999999998,92,120,0,1455.2
0.41665999999999936,0,39.474,154,0.20235999999999998,93,120,0,1455.2
0.43332999999999977,0,40.3704,177,0.21356999999999998,86,121,0,1455.2
0.4500000000000002,0,41.1444,216,0.225,84,121,0,1455
0.4666600000000001,0,41.7888,239,0.23661000000000001,86,122,0,1455
0.4833299999999996,0,42.7932,263,0.24849000000000002,88,122,0,1455.2
0.5,0,43.3692,256,0.26054,89,123,0,1455.2
0.5166599999999999,0,44.0244,250,0.27277,91,124,0,1454.8
0.5333299999999994,0,44.7624,251,0.2852,92,125,0,1454.6
0.5499999999999998,0,45.522,259,0.29785,94,127,0,1455
0.5666599999999997,0,46.1124,251,0.31067,95,128,0,1455.2
0.5833300000000001,0,46.7172,255,0.32363000000000003,97,129,0,1454.8
0.5999999999999996,0,47.3364,235,0.33678,98,130,0,1454.8
0.6166599999999995,0,47.7576,241,0.35005000000000003,99,131,0,1455
0.63333,0,48.6252,225,0.36356,100,132,0,1455.2
