Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
7.85,0,18.954,123,0.05759,28,89,0,1362.8
7.86667,0,20.3256,214,0.06323,45,91,0,1363
7.88333,0,21.7296,241,0.06927,50,93,0,1363.6
7.9,0,23.5476,246,0.07581,54,96,0,1363.8
7.91667,0,24.6312,237,0.08265,58,98,0,1363.4
7.93333,0,25.9488,239,0.08986,61,101,0,1363.6
7.95,0,27.1332,229,0.0974,64,104,0,1363.4
7.96667,0,28.2816,228,0.10525,66,107,0,1364.2
7.98333,0,29.5308,215,0.11346,68,108,0,1364.2
8,0,30.546,246,0.12194,71,111,0,1364.2
8.01667,0,31.6296,221,0.13073,73,114,0,1363.6
8.03333,0,32.994,255,0.13989,76,115,0,1363.4
8.05,0,34.0452,280,0.14935,79,116,0,1363.8
8.06667,0,34.938,241,0.15905,81,117,0,1364
8.08333,0,35.9964,245,0.16905,84,118,0,1364.4
8.1,0,36.99,247,0.17933,87,119,0,1364.6
8.11667,0,38.0448,242,0.1899,89,120,0,1364.6
8.13333,0,38.4552,231,0.20058,91,122,0,1364.4
8.15,0,39.8916,251,0.21166,94,123,0,1364.2
8.16667,0,40.5972,223,0.22294,96,124,0,1364
8.18333,0,41.598,215,0.23449,98,125,0,1364.6
8.2,0,42.5916,222,0.24632,100,127,0,1364.4
8.21667,0,43.2828,216,0.25834,102,128,0,1364.4
8.23333,0,44.3592,244,0.27067,91,129,0,1363.8
8.25,0,45.108,275,0.2832,93,130,0,1363.6
8.26667,0,46.08,290,0.296,95,132,0,1364
8.28333,0,47.0952,265,0.30908,97,133,0,1364.4
8.3,0,48.1572,259,0.32246,99,134,0,1364.2
8.31667,0,49.0392,251,0.33608,101,135,0,1364.2
8.33333,0,49.6476,250,0.34987,102,137,0,1363.6
8.35,0,50.6664,249,0.36394,104,138,0,1364.4
8.36667,0,51.2316,247,0.37817,106,139,0,1363.8
8.38333,0,51.8976,274,0.39259,108,140,0,1363.8
8.4,0,52.6644,283,0.40722,109,141,0,1363.8
8.41667,0,53.6328,262,0.42212,102,143,0,1363.2
8.43333,0,54.36,283,0.43722,99,143,0,1363.8
8.45,0,54.918,267,0.45247,101,144,0,1363.8
8.46667,0,55.6812,268,0.46794,102,145,0,1364.4
8.48333,0,56.3832,272,0.4836,104,146,0,1363.8
8.5,0,57.0672,285,0.49945,105,146,0,1363.8
8.51667,0,57.6828,263,0.51548,106,147,0,1363.8
8.53333,0,58.3128,277,0.53167,107,147,0,1364
8.55,0,58.9536,247,0.54805,109,148,0,1363.8
8.56667,0,59.6124,261,0.56486,110,149,0,1363.8
8.58333,0,60.2856,275,0.58135,111,149,0,1363.6
8.6,0,60.9732,268,0.59831,112,149,0,1363.6
8.61667,0,61.4412,284,0.61536,99,149,0,1363.2
8.63333,0,62.154,282,0.63262,99,150,0,1363
8.65,0,62.8848,261,0.65009,100,150,0,1363
8.66667,0,63.3816,254,0.66769,101,150,0,1363.4
8.68333,0,63.8892,266,0.68544,102,150,0,1363.2
8.7,0,64.4004,271,0.70333,103,150,0,1363
8.71667,0,64.7928,266,0.72133,104,150,0,1362.8
8.73333,0,65.7216,284,0.73958,105,150,0,1362.6
8.75,0,65.9916,268,0.75793,106,150,0,1362.6
8.76667,0,66.5388,278,0.7764,107,150,0,1363
8.78333,0,67.3776,276,0.79511,107,150,0,1363.4
8.8,0,67.662,282,0.81391,109,150,0,1363.6
8.81667,0,68.238,280,0.83286,109,150,0,1363.4
8.83333,0,68.8248,256,0.85198,111,151,0,1363.4
8.85,0,69.4188,284,0.87127,112,151,0,1362.8
8.86667,0,70.0272,284,0.89072,112,151,0,1362.4
8.88333,0,70.7976,302,0.91038,113,152,0,1362
8.9,0,71.2692,260,0.93018,103,152,0,1362.6
8.91667,0,71.91,304,0.95016,102,152,0,1362
8.93333,0,72.4788,318,0.97029,103,152,0,1362.8
8.95,0,73.224,288,0.99065,104,153,0,1362.4
8.96667,0,73.5588,286,1.01106,105,153,0,1362.4
8.98333,0,74.2392,279,1.03168,106,153,0,1362
9,0,74.7576,287,1.05245,106,154,0,1362.4
9.01667,0,75.2868,273,1.07336,107,154,0,1362.4
9.03333,0,75.8196,279,1.09442,108,154,0,1362.6
9.05,0,75.9996,276,1.11556,109,155,0,1362.6
9.06667,0,76.6332,301,1.13682,109,155,0,1362.6
9.08333,0,77.094,301,1.15824,110,155,0,1362
9.1,0,77.4684,271,1.17976,110,157,0,1362
9.11667,0,77.7492,261,1.20135,111,157,0,1361.6
9.13333,0,77.8428,277,1.22298,112,157,0,1362
9.15,0,78.606,286,1.24481,112,157,0,1362
9.16667,0,78.606,286,1.26665,113,158,0,1361.6
9.18333,0,79.1892,278,1.28864,107,158,0,1362.2
9.2,0,79.4844,296,1.31072,99,158,0,1361.8
9.21667,0,80.0784,273,1.33299,100,156,0,1361.8
9.23333,0,80.3808,266,1.35529,101,156,0,1361.4
9.25,0,80.532,255,1.37766,101,156,0,1361.4
9.26667,0,81.6084,274,1.40033,101,156,0,1361.8
9.28333,0,81.6084,274,1.423,102,156,0,1361.4
9.3,0,82.5516,283,1.44593,103,156,0,1361.2
9.31667,0,82.872,286,1.46895,103,156,0,1360.8
9.33333,0,83.196,298,1.49206,104,156,0,1360.8
9.35,0,84.1788,299,1.51545,105,155,0,1360.8
9.36667,0,84.1788,296,1.53883,105,156,0,1360.6
9.38333,0,84.8448,297,1.56242,106,156,0,1360.6
9.4,0,85.1832,294,1.58606,106,157,0,1360.4
9.41667,0,85.8672,254,1.60993,107,157,0,1360.2
9.43333,0,86.2128,260,1.63391,108,157,0,1360
9.45,0,86.9148,305,1.658,108,157,0,1360.2
9.46667,0,87.2712,295,1.68224,109,157,0,1360.2
9.48333,0,87.6276,280,1.70658,109,158,0,1360.6
9.5,0,87.9876,268,1.73102,110,157,0,1360.4
9.51667,0,87.9876,255,1.75547,110,157,0,1360.2
9.53333,0,88.7184,283,1.78011,111,157,0,1359.4
9.55,0,89.0892,260,1.80486,111,157,0,1359.8
9.56667,0,89.6868,278,1.82977,112,157,0,1359.8
9.58333,0,89.838,269,1.85472,112,157,0,1360.2
9.6,0,90.2916,277,1.87981,104,157,0,1359.6
9.61667,0,90.5976,300,1.90497,102,157,0,1359.6
9.63333,0,90.9828,301,1.93024,103,157,0,1359
9.65,0,91.3716,277,1.95563,103,157,0,1359.8
9.66667,0,91.53,268,1.98105,104,157,0,1359.4
9.68333,0,92.16,252,2.00665,104,157,0,1359.8
9.7,0,92.5596,292,2.03236,104,157,0,1359
9.71667,0,92.9628,276,2.05818,105,157,0,1359.6
9.73333,0,93.366,271,2.08415,105,157,0,1359.6
9.75,0,93.366,269,2.11006,106,157,0,1359.4
9.76667,0,93.7764,272,2.1361,106,157,0,1359.8
9.78333,0,94.1076,264,2.16225,106,157,0,1359.2
9.8,0,94.1904,246,2.18841,107,158,0,1359
9.81667,0,94.608,259,2.21469,107,158,0,1358.8
9.83333,0,95.0256,310,2.24111,108,158,0,1358.8
9.85,0,95.4504,289,2.2676,108,158,0,1358.6
9.86667,0,96.138,291,2.2943,108,158,0,1358.4
9.88333,0,96.3108,296,2.32106,109,159,0,1358.6
9.9,0,96.7464,282,2.34793,109,159,0,1358.4
9.91667,0,97.1856,276,2.37493,109,159,0,1358.2
9.93333,0,97.542,280,2.40202,104,159,0,1357.6
9.95,0,97.8984,301,2.42922,99,159,0,1357.4
9.96667,0,98.532,286,2.45659,100,159,0,1357.4
9.98333,0,98.622,280,2.48398,100,159,0,1357.4
10,0,99.3564,280,2.51158,100,159,0,1357.2
10.0167,0,99.9108,285,2.53933,100,159,0,1357.2
10.0333,0,100.382,282,2.56722,101,159,0,1357.2
10.05,0,100.476,314,2.59513,102,160,0,1357.4
10.0667,0,100.854,316,2.62334,102,160,0,1357
10.0833,0,101.333,314,2.65129,103,160,0,1356.8
10.1,0,101.621,311,2.67952,103,160,0,1356.4
10.1167,0,102.01,296,2.70785,103,160,0,1356.2
10.1333,0,102.398,273,2.7363,104,160,0,1356
10.15,0,102.301,310,2.76471,104,161,0,1355.6
10.1667,0,103.19,300,2.79338,104,161,0,1356
10.1833,0,103.792,317,2.82221,105,161,0,1355.8
10.2,0,103.993,310,2.8511,105,162,0,1355.6
10.2167,0,104.4,292,2.8801,105,162,0,1355
10.2333,0,104.81,282,2.90921,106,162,0,1355.4
10.25,0,105.221,301,2.93856,106,162,0,1354.8
10.2667,0,105.638,297,2.96778,102,163,0,1355
10.2833,0,106.056,308,2.99724,95,163,0,1354.2
10.3,0,106.481,310,3.02682,95,163,0,1354.6
10.3167,0,106.906,325,3.05652,95,163,0,1354
10.3333,0,107.334,332,3.08633,96,163,0,1354.2
10.35,0,107.334,309,3.11615,96,164,0,1353.8
10.3667,0,107.986,331,3.14614,96,164,0,1352.8
10.3833,0,108.205,298,3.1762,97,164,0,1352.8
10.4,0,108.349,305,3.2063,97,164,0,1352.6
10.4167,0,108.644,295,3.23648,97,164,0,1353
10.4333,0,109.087,290,3.26678,97,165,0,1352.6
10.45,0,109.534,353,3.2972,98,165,0,1352.6
10.4667,0,109.984,310,3.32775,98,165,0,1352
10.4833,0,110.441,312,3.35843,99,166,0,1352.6
10.5,0,110.898,310,3.38942,99,166,0,1352
10.5167,0,111.359,297,3.42017,99,166,0,1352
10.5333,0,111.827,297,3.45123,100,166,0,1351.6
10.55,0,111.827,298,3.4823,100,166,0,1351.6
10.5667,0,112.532,309,3.51355,100,166,0,1351.4
10.5833,0,112.77,300,3.54488,101,166,0,1351.2
10.6,0,113.008,303,3.57627,101,166,0,1351.2
10.6167,0,113.328,295,3.60775,101,167,0,1350.6
10.6333,0,114.214,303,3.63948,102,167,0,1350
10.65,0,114.134,307,3.67118,102,167,0,1349.8
10.6667,0,114.214,298,3.70291,102,167,0,1350
10.6833,0,114.707,301,3.73477,103,167,0,1350
10.7,0,114.952,291,3.7667,103,167,0,1349.6
10.7167,0,115.2,294,3.7987,103,167,0,1349
10.7333,0,115.2,282,3.8307,103,168,0,1349
10.75,0,115.2,283,3.8627,103,168,0,1348.6
10.7667,0,116.201,289,3.89501,104,168,0,1349
10.7833,0,116.201,312,3.92726,104,168,0,1348.6
10.8,0,116.708,322,3.95968,104,168,0,1348.6
10.8167,0,117.05,328,3.99219,104,168,0,1348.2
10.8333,0,117.05,334,4.0247,105,168,0,1348.2
10.85,0,117.479,306,4.05734,105,168,0,1348.2
10.8667,0,117.479,301,4.08997,105,169,0,1348
10.8833,0,117.738,293,4.12267,105,169,0,1347.8
10.9,0,118.346,301,4.15555,106,169,0,1347.4
10.9167,0,118.786,327,4.18854,106,170,0,1347.2
10.9333,0,118.786,334,4.22154,106,170,0,1347
10.95,0,138.582,303,4.26004,106,170,0,1346.6
10.9667,0,119.315,283,4.29318,102,170,0,1346.4
10.9833,0,119.671,313,4.32642,100,170,0,1346.4
11,0,119.671,323,4.35966,100,170,0,1346.6
11.0167,0,120.388,332,4.3931,100,170,0,1346.6
11.0333,0,120.571,314,4.4266,100,170,0,1346.6
11.05,0,120.571,295,4.46009,101,170,0,1346.4
11.0667,0,121.025,312,4.49371,101,170,0,1346.2
11.0833,0,120.935,289,4.5273,101,170,0,1346
11.1,0,121.025,291,4.56092,101,170,0,1345.8
11.1167,0,121.482,293,4.59466,101,170,0,1345.6
11.1333,0,121.482,260,4.62841,101,170,0,1345.4
11.15,0,121.482,316,4.66215,102,170,0,1345.8
11.1667,0,121.946,301,4.69603,102,170,0,1345.4
11.1833,0,121.946,306,4.7299,102,170,0,1345
11.2,0,122.04,321,4.7638,102,170,0,1345
11.2167,0,122.598,331,4.79786,102,170,0,1345
11.2333,0,122.411,287,4.83186,102,170,0,1345.4
11.25,0,122.753,315,4.86596,103,170,0,1344.8
11.2667,0,122.962,349,4.90011,103,170,0,1345.6
11.2833,0,123.732,331,4.93448,103,170,0,1345.4
11.3,0,123.354,317,4.96875,103,170,0,1344.8
11.3167,0,123.829,286,5.00314,103,171,0,1344.2
11.3333,0,124.308,298,5.03767,104,171,0,1343.8
11.35,0,123.829,354,5.07207,104,171,0,1343.4
11.3667,0,124.794,310,5.10674,104,172,0,1343.4
11.3833,0,124.794,320,5.1414,104,172,0,1343.2
11.4,0,124.794,337,5.17607,104,172,0,1342.6
11.4167,0,125.474,310,5.21092,105,172,0,1341.8
11.4333,0,125.77,321,5.24586,105,172,0,1341.8
11.45,0,125.77,346,5.28079,105,172,0,1341.6
11.4667,0,125.77,296,5.31573,105,172,0,1342
11.4833,0,126.266,299,5.3508,105,172,0,1342.2
11.5,0,126.266,292,5.38588,106,172,0,1341.8
11.5167,0,126.266,291,5.42113,106,172,0,1341.4
11.5333,0,126.266,309,5.45603,106,173,0,1341.2
11.55,0,126.767,344,5.49124,106,173,0,1341
11.5667,0,126.767,329,5.52645,106,173,0,1340.8
11.5833,0,127.267,322,5.5618,106,173,0,1340.2
11.6,0,126.767,307,5.59702,106,173,0,1340
11.6167,0,127.775,300,5.63251,107,173,0,1340
11.6333,0,127.775,323,5.66804,107,173,0,1339.8
11.65,0,127.775,332,5.70349,107,173,0,1339.8
11.6667,0,128.286,310,5.73913,107,173,0,1339.6
11.6833,0,128.286,305,5.77509,107,173,0,1339.8
11.7,0,128.581,288,5.81048,107,173,0,1339.2
11.7167,0,128.801,309,5.84626,107,173,0,1339.2
11.7333,0,128.286,337,5.88189,107,173,0,1338.8
11.75,0,128.581,315,5.91761,108,173,0,1338.8
11.7667,0,129.323,342,5.95353,108,173,0,1338.6
11.7833,0,129.323,301,5.98946,102,173,0,1338.2
11.8,0,129.323,306,6.02538,100,173,0,1338
11.8167,0,129.845,326,6.06145,101,173,0,1337.6
11.8333,0,129.323,324,6.09737,101,173,0,1337.4
11.85,0,129.845,326,6.13344,101,173,0,1337.4
11.8667,0,130.374,368,6.16965,101,173,0,1337.6
11.8833,0,129.92,353,6.20574,101,173,0,1337.6
