timestamp,altitude,cadence,distance,speed,power
2023-09-15T09:12:48,1449,0,431.42,20.455,0
2023-09-15T09:12:49,1449,39,437.48,21.834,128
2023-09-15T09:12:50,1449,44,443.91,23.144,184
2023-09-15T09:12:51,1449,44,450.76,24.689,226
2023-09-15T09:12:52,1449.2,48,457.88,25.628,226
2023-09-15T09:12:53,1449.2,50,465.21,26.37,184
2023-09-15T09:12:54,1449.4,53,472.83,27.41,172
2023-09-15T09:12:55,1449.4,54,480.72,28.418,170
2023-09-15T09:12:56,1449.4,57,489,29.794,222
2023-09-15T09:12:57,1449.6,59,497.45,30.467,187
2023-09-15T09:12:58,1449.6,61,506.36,32.044,213
2023-09-15T09:12:59,1449.6,63,515.56,33.12,227
2023-09-15T09:13:00,1449.8,65,525.13,34.463,235
2023-09-15T09:13:01,1449.8,67,534.97,35.438,213
2023-09-15T09:13:02,1449.8,69,545.05,36.277,193
2023-09-15T09:13:03,1450,71,555.44,37.354,199
2023-09-15T09:13:04,1450.2,73,566.05,38.261,190
2023-09-15T09:13:05,1450.2,74,576.92,39.067,183
2023-09-15T09:13:06,1450.2,76,587.95,39.773,184
2023-09-15T09:13:07,1450.2,78,599.15,40.273,195
2023-09-15T09:13:08,1450.4,80,610.58,41.18,217
2023-09-15T09:13:09,1450.4,81,622.28,42.124,229
2023-09-15T09:13:10,1450.4,83,634.21,42.962,198
2023-09-15T09:13:11,1450.6,85,646.33,43.636,197
2023-09-15T09:13:12,1450.6,86,658.7,44.507,193
2023-09-15T09:13:13,1450.6,88,671.28,45.245,196
2023-09-15T09:13:14,1450.6,89,684.24,46.724,158
2023-09-15T09:13:15,1450.6,90,697.35,47.196,172
2023-09-15T09:13:16,1450.6,90,710.67,47.934,135
2023-09-15T09:13:17,1450.6,81,724.09,48.337,173
2023-09-15T09:13:18,1450.6,82,737.7,48.974,171
2023-09-15T09:13:19,1450.6,83,751.55,49.849,191
2023-09-15T09:13:20,1450.6,84,765.46,50.083,183
2023-09-15T09:13:21,1450.6,85,779.4,50.184,197
2023-09-15T09:13:22,1450.6,86,793.53,50.89,207
2023-09-15T09:13:23,1450.6,87,807.75,51.124,155
2023-09-15T09:13:24,1450.6,78,822.19,51.998,179
2023-09-15T09:13:25,1450.6,79,836.82,52.672,207
2023-09-15T09:13:26,1450.6,80,851.51,52.906,197
2023-09-15T09:13:27,1450.6,81,866.41,53.611,189
2023-09-15T09:13:28,1450.6,82,881.44,54.148,199
2023-09-15T09:13:29,1450.6,83,896.63,54.684,185
2023-09-15T09:13:30,1450.8,83,911.92,55.055,195
2023-09-15T09:13:31,1450.8,84,927.37,55.627,195
2023-09-15T09:13:32,1450.8,85,942.95,56.03,187
2023-09-15T09:13:33,1450.8,85,958.63,56.498,180
2023-09-15T09:13:34,1450.8,86,974.52,57.204,178
2023-09-15T09:13:35,1450.8,82,990.52,57.607,157
2023-09-15T09:13:36,1450.8,76,1006.64,58.01,184
2023-09-15T09:13:37,1450.8,77,1022.88,58.482,177
2023-09-15T09:13:38,1450.8,78,1039.13,58.482,181
2023-09-15T09:13:39,1450.8,78,1055.58,59.22,190
2023-09-15T09:13:40,1450.8,79,1072.09,59.454,167
2023-09-15T09:13:41,1450.8,79,1088.69,59.756,172
2023-09-15T09:13:42,1450.8,80,1105.46,60.361,177
2023-09-15T09:13:43,1450.8,80,1122.25,60.462,166
2023-09-15T09:13:44,1450.8,80,1139.14,60.8,182
2023-09-15T09:13:45,1450.8,81,1156.12,61.135,174
2023-09-15T09:13:46,1450.8,82,1173.3,61.841,167
2023-09-15T09:13:47,1450.8,82,1190.54,62.075,171
2023-09-15T09:13:48,1450.6,83,1207.92,62.546,177
2023-09-15T09:13:49,1450.6,83,1225.42,63.014,165
2023-09-15T09:13:50,1450.6,84,1242.99,63.252,164
2023-09-15T09:13:51,1450.6,84,1260.7,63.756,181
2023-09-15T09:13:52,1450.6,85,1278.49,63.857,163
2023-09-15T09:13:53,1450.6,85,1296.32,64.361,167
2023-09-15T09:13:54,1450.6,83,1314.27,64.627,153
2023-09-15T09:13:55,1450.6,77,1332.36,65.131,155
2023-09-15T09:13:56,1450.6,77,1350.37,64.829,184
2023-09-15T09:13:57,1450.6,76,1368.45,65.099,180
2023-09-15T09:13:58,1450.6,69,1386.69,65.603,178
2023-09-15T09:13:59,1450.6,69,1405.03,66.071,180
2023-09-15T09:14:00,1450.6,69,1423.45,66.308,179
2023-09-15T09:14:01,1450.6,70,1442.1,67.147,191
2023-09-15T09:14:02,1450.6,70,1460.87,67.583,184
2023-09-15T09:14:03,1450.6,71,1479.65,67.583,185
2023-09-15T09:14:04,1450.6,71,1498.49,67.853,184
2023-09-15T09:14:05,1450.6,71,1517.5,68.425,189
2023-09-15T09:14:06,1450.6,71,1536.35,67.853,195
2023-09-15T09:14:07,1450.6,72,1555.27,68.123,183
2023-09-15T09:14:08,1450.4,72,1574.28,68.425,198
2023-09-15T09:14:09,1450.4,72,1593.37,68.728,194
2023-09-15T09:14:10,1450.4,73,1612.6,69.232,186
2023-09-15T09:14:11,1450.4,73,1631.86,69.332,202
2023-09-15T09:14:12,1450.4,73,1651.17,69.534,187
