Minutes,"Torq (N-m)",Km/h,Watts,Km,Cadence,Hrate,ID,"Altitude (m)"
0,0,15.966,131,0,21,105,0,1425.2
0.0166667,0,17.4816,174,0.0048600000000000015,38,108,0,1425
0.033333700000000015,0,18.9684,195,0.010119999999999999,44,111,0,1425.2
0.0499997,0,20.1852,169,0.01573,49,114,0,1424.8
0.0666667,0,21.3948,196,0.021670000000000002,53,116,0,1425
0.08333370000000001,0,22.6656,185,0.027970000000000002,56,118,0,1425.4
0.0999997,0,23.8248,239,0.03459,59,120,0,1426
0.11666670000000001,0,25.29,264,0.04161,63,123,0,1425.8
0.1333337,0,26.6796,276,0.04902,66,125,0,1425.6
0.1499997,0,27.8604,264,0.05676,69,126,0,1425.2
0.1666667,0,28.9116,248,0.06479,71,129,0,1425
0.1833337,0,30.3912,255,0.07324,74,130,0,1425.2
0.1999997,0,31.374,253,0.08195,78,132,0,1425.2
0.2166667,0,32.814,264,0.09107,81,133,0,1425.4
0.23333369999999998,0,33.8544,261,0.10046999999999999,84,134,0,1425.6
0.2499997,0,34.9596,249,0.11018,87,135,0,1425.2
0.2666667,0,35.7804,257,0.12011999999999999,89,136,0,1425.6
0.2833337,0,36.3888,225,0.13023,92,137,0,1425.2
0.2999997,0,37.1448,185,0.14055,93,139,0,1425.6
0.3166667,0,37.8036,166,0.15105000000000002,95,140,0,1425.4
0.3333337,0,38.6208,201,0.16195,97,140,0,1425.2
0.3499997,0,39.042,171,0.17262,99,142,0,1425
0.3666667,0,39.6216,157,0.18362,100,142,0,1425
0.3833337,0,40.3704,183,0.19484,102,143,0,1425
0.3999997,0,40.9896,185,0.20622000000000001,103,144,0,1425.2
0.4166667,0,41.6268,194,0.21779,105,145,0,1425.6
0.4333337,0,42.2856,198,0.22953,106,145,0,1425.4
0.44999969999999995,0,42.7932,204,0.24142,108,146,0,1425.4
0.46666670000000005,0,43.3116,193,0.25344999999999995,110,147,0,1424.8
0.48333370000000003,0,44.0244,196,0.26567999999999997,105,147,0,1424.8
0.4999997,0,44.5752,201,0.27806,99,148,0,1424.8
0.5166666999999999,0,45.522,208,0.29070999999999997,100,148,0,1425
0.5333336999999999,0,46.1124,200,0.30351999999999996,102,149,0,1424.6
0.5499997,0,46.512,176,0.31644,103,149,0,1424.6
0.5666667,0,47.3364,214,0.32959,104,150,0,1424.8
0.5833337,0,47.5452,227,0.34279,105,150,0,1424.8
0.5999996999999999,0,48.1896,215,0.35618,107,150,0,1424.8
0.6166666999999999,0,48.8484,204,0.36974999999999997,108,151,0,1424.4
0.6333337,0,49.374,208,0.38345999999999997,109,151,0,1424.6
0.6499997,0,49.7592,225,0.39727999999999997,110,151,0,1424.4
0.6666667,0,50.4612,221,0.4113,111,152,0,1424.6
0.6833336999999999,0,50.9436,207,0.42545,113,152,0,1424.4
0.6999996999999999,0,51.4332,214,0.43973999999999996,114,153,0,1424.6
0.7166667,0,51.93,213,0.45416,115,153,0,1424.8
0.7333337,0,52.4412,201,0.46873,116,154,0,1424.8
0.7499996999999999,0,52.9596,214,0.48344,118,154,0,1424.8
0.7666666999999999,0,53.4888,203,0.4983000000000001,116,154,0,1424.6
0.7833336999999999,0,54.0288,222,0.5133500000000001,106,155,0,1424.8
0.7999997,0,54.396,260,0.52842,107,155,0,1424.4
0.8166667,0,55.1448,258,0.54374,108,155,0,1424.2
0.8333337,0,56.0088,243,0.55929,110,156,0,1424.2
0.8499996999999999,0,56.502,242,0.57499,110,156,0,1424.2
0.8666666999999999,0,56.9052,245,0.5907999999999999,111,157,0,1424.2
0.8833337,0,57.312,235,0.60672,112,157,0,1424
0.8999997,0,57.9312,244,0.62281,114,158,0,1423.8
0.9166667,0,58.3524,235,0.63902,114,158,0,1424
0.9333366999999999,0,58.9968,253,0.6554099999999999,116,159,0,1424.2
0.9499967,0,59.6556,212,0.6719799999999999,117,159,0,1424.4
0.9666667,0,60.3252,196,0.6985899999999999,118,159,0,1423.8
0.9833367,0,60.3252,196,0.7054900000000001,118,160,0,1423.6
0.9999966999999998,0,60.7824,209,0.7223700000000001,119,160,0,1423.4
1.0166667,0,61.2468,218,0.7393899999999999,120,160,0,1423.4
1.0333367,0,61.7184,207,0.75653,122,160,0,1423.6
1.0499967,0,62.1972,200,0.77381,122,160,0,1423.4
1.0666666999999999,0,62.4384,150,0.7911499999999999,123,160,0,1423.6
1.0833367,0,63.1764,183,0.8087000000000001,108,160,0,1423
1.0999967,0,63.1764,245,0.82625,108,160,0,1423
1.1166667,0,63.9324,223,0.84401,109,161,0,1422.8
