Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
0.0166667,0,0,0,0,0,96,0,1459.4
0.0333333,0,0,0,0,0,97,0,1459.4
0.05,0,0,0,0,0,95,0,1459.4
0.0666667,0,0,0,0,0,95,0,1459.4
0.0833333,0,0,0,0,0,94,0,1459.4
0.1,0,0,0,0,0,93,0,1459.4
0.116667,0,0,0,0,0,91,0,1459.4
0.133333,0,0,36,0,41,90,0,1459.4
0.15,0,0,36,0,41,89,0,1459.4
0.166667,0,6.9336,125,0.0019,35,90,0,1459.4
0.183333,0,17.0784,243,0.0066,33,92,0,1459.4
0.2,0,21.1284,218,0.0125,48,93,0,1459.4
0.216667,0,22.842,218,0.0188,54,96,0,1459.4
0.233333,0,23.9688,187,0.0255,57,98,0,1459.4
0.25,0,24.8616,213,0.0324,59,101,0,1459.4
0.266667,0,26.0748,215,0.0396,62,103,0,1459.4
0.283333,0,27.1332,225,0.0472,65,106,0,1459.4
0.3,0,28.5084,215,0.0551,69,108,0,1459.4
0.316667,0,29.3688,211,0.0633,71,109,0,1459.4
0.333333,0,30.456,193,0.0718,72,110,0,1459.4
0.35,0,31.2588,188,0.0804,74,111,0,1459.4
0.366667,0,32.2992,193,0.0894,78,112,0,1459.4
0.383333,0,33.408,193,0.0987,80,112,0,1459.4
0.4,0,34.1568,201,0.1082,82,113,0,1459.4
0.416667,0,35.1648,205,0.1179,84,113,0,1459.4
0.433333,0,36.1152,207,0.1279,86,114,0,1459.4
0.45,0,37.1196,196,0.1383,88,114,0,1459.4
0.466667,0,37.908,186,0.1488,90,115,0,1459.4
0.483333,0,38.5956,187,0.1595,92,116,0,1459.4
0.5,0,39.3048,182,0.1704,94,117,0,1459.4
0.516667,0,40.0392,163,0.1816,96,118,0,1459.4
0.533333,0,40.6476,163,0.1928,97,119,0,1459.4
0.55,0,40.6476,183,0.2041,99,120,0,1459.4
0.566667,0,41.436,157,0.2156,101,121,0,1459.4
0.583333,0,42.7608,174,0.2275,102,122,0,1459.4
0.6,0,43.4592,160,0.2396,104,122,0,1459.4
0.616667,0,43.9956,149,0.2518,103,123,0,1459.4
0.633333,0,44.3592,175,0.2641,98,124,0,1459.4
0.65,0,45.108,188,0.2767,95,125,0,1459.4
0.666667,0,45.882,188,0.2894,96,126,0,1459.4
0.683333,0,46.4796,211,0.3023,97,127,0,1459.4
0.7,0,46.89,192,0.3154,99,127,0,1459.4
0.716667,0,47.7252,190,0.3286,100,128,0,1459.4
0.733333,0,48.5928,210,0.3421,101,129,0,1459.4
0.75,0,49.266,189,0.3558,103,130,0,1459.4
0.766667,0,49.8024,195,0.3696,104,131,0,1459.4
0.783333,0,50.4288,184,0.3836,105,131,0,1459.4
0.8,0,50.9076,196,0.3978,106,132,0,1459.4
0.816667,0,51.3972,173,0.412,107,132,0,1459.4
0.833333,0,51.8976,193,0.4264,99,133,0,1459.4
0.85,0,52.4052,204,0.441,97,133,0,1459.4
0.866667,0,52.9236,192,0.4557,98,135,0,1459.4
0.883333,0,53.4528,192,0.4706,99,135,0,1459.4
0.9,0,53.9928,184,0.4856,100,135,0,1459.4
0.916667,0,54.5436,200,0.5007,100,135,0,1459.4
0.933333,0,54.7308,195,0.5159,102,135,0,1459.4
0.95,0,55.3932,205,0.5313,103,136,0,1459.4
0.966667,0,55.8756,189,0.5469,104,136,0,1459.4
0.983333,0,56.5632,187,0.5625,104,137,0,1459.4
1,0,56.664,184,0.5783,105,137,0,1459.4
1.01667,0,57.2724,182,0.5942,106,137,0,1459.4
1.03333,0,57.4776,181,0.6101,107,137,0,1459.4
1.05,0,58.4172,173,0.6264,108,137,0,1459.4
1.06667,0,58.4172,183,0.6427,108,138,0,1459.4
1.08333,0,58.9536,192,0.659,109,137,0,1459.4
1.1,0,59.3928,212,0.6755,110,138,0,1459.4
1.11667,0,59.6124,219,0.692,111,138,0,1459.4
1.13333,0,60.0588,207,0.7091,112,138,0,1459.4
1.15,0,60.7428,225,0.7256,113,138,0,1459.4
1.16667,0,61.2072,199,0.7426,103,139,0,1459.4
1.18333,0,61.6752,237,0.7597,99,139,0,1459.4
1.2,0,62.154,232,0.777,100,140,0,1459.4
1.21667,0,62.64,233,0.7944,101,140,0,1459.4
1.23333,0,63.3816,224,0.812,102,141,0,1459.4
1.25,0,63.8892,212,0.8297,103,141,0,1459.4
1.26667,0,64.4004,207,0.8476,104,141,0,1459.4
1.28333,0,64.6596,222,0.8656,105,142,0,1459.4
1.3,0,65.1852,231,0.8837,105,142,0,1459.4
1.31667,0,65.5848,241,0.9019,106,142,0,1459.4
1.33333,0,66.2652,217,0.9203,107,142,0,1459.4
1.35,0,66.816,204,0.9389,108,143,0,1459.4
1.36667,0,67.0968,204,0.9575,108,143,0,1459.4
1.38333,0,67.662,189,0.9763,108,143,0,1459.4
1.4,0,67.662,182,0.9951,109,144,0,1459.4
1.41667,0,68.238,186,1.0141,110,144,0,1459.4
1.43333,0,68.8248,180,1.0332,111,144,0,1459.4
1.45,0,68.8248,196,1.0523,111,144,0,1459.4
1.46667,0,69.12,188,1.0715,112,144,0,1459.4
1.48333,0,69.4188,158,1.0908,112,144,0,1459.4
1.5,0,69.7212,213,1.1101,104,145,0,1459.4
1.51667,0,70.0272,209,1.1296,100,145,0,1459.4
1.53333,0,70.3332,199,1.1491,101,145,0,1459.4
1.55,0,70.6428,208,1.1688,101,145,0,1459.4
