Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
17.9167,0,20.6244,168,0.0801,35,85,0,1377.2
17.9333,0,21.8016,201,0.08616,49,87,0,1377.2
17.95,0,22.9104,162,0.09253,53,88,0,1377.2
17.9667,0,23.9832,179,0.09918,56,90,0,1377.4
17.9833,0,25.0596,182,0.10615,58,93,0,1377.4
18,0,25.6284,215,0.11326,61,96,0,1377.6
18.0167,0,27.2088,172,0.12082,64,100,0,1377.6
18.0333,0,28.7532,279,0.12881,66,103,0,1377.6
18.05,0,29.9628,250,0.13713,69,106,0,1377.6
18.0667,0,30.9708,231,0.14574,72,109,0,1377.6
18.0833,0,32.0112,230,0.15463,74,112,0,1377.6
18.1,0,32.9868,226,0.1638,77,115,0,1377.6
18.1167,0,33.858,191,0.1732,80,118,0,1377.6
18.1333,0,35.2692,236,0.18299,81,120,0,1377.8
18.15,0,35.9748,192,0.19299,82,122,0,1377.8
18.1667,0,37.2168,250,0.20332,76,124,0,1378
18.1833,0,38.4264,271,0.214,77,125,0,1378
18.2,0,39.5712,268,0.22499,80,127,0,1378
18.2167,0,40.6116,230,0.23627,83,128,0,1377.8
18.2333,0,41.5512,246,0.24782,84,130,0,1378
18.25,0,42.5592,249,0.25963,86,132,0,1378
18.2667,0,43.398,254,0.27169,89,133,0,1378
18.2833,0,44.5068,242,0.28405,91,136,0,1378
18.3,0,45.2448,257,0.29662,93,137,0,1378
18.3167,0,46.2204,235,0.30946,86,139,0,1378
18.3333,0,47.2284,259,0.32258,86,142,0,1378
18.35,0,48.1032,270,0.33594,87,143,0,1378.2
18.3667,0,49.176,272,0.3496,89,146,0,1378.2
18.3833,0,50.1156,253,0.36354,91,148,0,1378.2
18.4,0,50.7564,238,0.37762,92,150,0,1378.2
18.4167,0,51.5628,226,0.39194,94,152,0,1378.2
18.4333,0,52.0668,257,0.40641,96,154,0,1378
18.45,0,53.1072,260,0.42116,97,155,0,1378
18.4667,0,53.712,222,0.43608,91,156,0,1378
18.4833,0,54.72,242,0.45128,87,157,0,1378
18.5,0,55.458,232,0.46668,88,159,0,1378
18.5167,0,56.0628,241,0.48226,89,159,0,1378
18.5333,0,56.6352,245,0.49799,90,160,0,1378
18.55,0,57.3372,248,0.51391,92,160,0,1378
18.5667,0,57.978,241,0.53002,93,161,0,1378
18.5833,0,58.6152,235,0.5463,83,161,0,1378
18.6,0,59.2524,247,0.56276,84,161,0,1378
18.6167,0,59.7924,263,0.57937,85,161,0,1378
18.6333,0,60.462,249,0.59616,86,162,0,1377.8
18.65,0,60.9336,229,0.61309,86,162,0,1377.8
18.6667,0,61.6392,240,0.63021,87,162,0,1377.8
18.6833,0,62.1072,231,0.64746,88,162,0,1377.8
18.7,0,62.8488,241,0.66492,89,161,0,1378
18.7167,0,63.3168,243,0.68251,90,161,0,1378
18.7333,0,63.8208,253,0.70024,90,161,0,1378
