Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
0.0166667,0,22.6512,242,0.0063,55,110,0,1433.6
0.0333333,0,23.9688,243,0.0129,57,112,0,1433.6
0.05,0,25.452,265,0.02,61,115,0,1433.6
0.0666667,0,26.8596,265,0.0274,65,117,0,1433.6
0.0833333,0,27.9864,278,0.0352,68,118,0,1433.6
0.1,0,29.6964,280,0.0435,71,120,0,1433.6
0.116667,0,30.9888,277,0.0521,74,121,0,1433.6
0.133333,0,32.202,266,0.061,77,122,0,1433.6
0.15,0,33.3036,259,0.0703,79,123,0,1433.6
0.166667,0,34.2648,258,0.0798,82,124,0,1433.6
0.183333,0,35.5176,243,0.0897,85,124,0,1433.6
0.2,0,36.486,253,0.0998,88,125,0,1433.6
0.216667,0,37.512,242,0.1102,90,126,0,1433.6
0.233333,0,38.3184,246,0.1209,92,126,0,1433.6
0.25,0,39.4488,237,0.1318,93,127,0,1433.6
0.266667,0,40.3416,246,0.143,97,127,0,1433.6
0.283333,0,41.2776,154,0.1545,99,127,0,1433.6
0.3,0,42.0876,240,0.1662,94,128,0,1433.6
0.316667,0,42.7608,244,0.1781,90,129,0,1433.6
0.333333,0,43.6356,239,0.1902,92,129,0,1433.6
0.35,0,44.3592,236,0.2025,93,130,0,1433.6
0.366667,0,45.2988,247,0.2151,95,131,0,1433.6
0.383333,0,46.278,267,0.2279,96,132,0,1433.6
0.4,0,46.89,238,0.241,99,133,0,1433.6
0.416667,0,47.8692,240,0.2543,101,134,0,1433.6
0.433333,0,48.5928,251,0.2678,102,135,0,1433.6
0.45,0,49.266,229,0.2814,103,136,0,1433.6
0.466667,0,49.9572,233,0.2954,105,137,0,1433.6
0.483333,0,50.6664,211,0.3094,106,138,0,1433.6
0.5,0,51.2316,220,0.3236,107,139,0,1433.6
0.516667,0,52.0632,228,0.3381,108,140,0,1433.6
0.533333,0,52.6644,214,0.3527,110,141,0,1433.6
0.55,0,53.4528,235,0.3676,112,142,0,1433.6
0.566667,0,53.7768,248,0.3825,107,142,0,1433.6
0.583333,0,54.5436,271,0.3976,101,143,0,1433.6
0.6,0,55.1052,259,0.413,102,143,0,1433.6
0.616667,0,55.9728,269,0.4285,103,144,0,1433.6
0.633333,0,56.466,282,0.4442,104,145,0,1433.6
0.65,0,56.8656,253,0.46,106,145,0,1433.6
0.666667,0,57.6828,242,0.476,107,146,0,1433.6
0.683333,0,58.1004,279,0.4921,108,147,0,1433.6
0.7,0,58.7376,298,0.5085,109,148,0,1433.6
0.716667,0,59.3928,279,0.525,110,148,0,1433.6
0.733333,0,60.0588,201,0.5416,112,149,0,1433.6
0.75,0,60.7428,268,0.5585,105,150,0,1433.6
0.766667,0,61.2072,287,0.5755,99,150,0,1433.6
0.783333,0,61.9128,295,0.5927,100,151,0,1433.6
0.8,0,62.3952,288,0.6101,101,151,0,1433.6
0.816667,0,62.8848,292,0.6275,102,152,0,1433.6
0.833333,0,63.6336,278,0.6452,102,152,0,1433.6
0.85,0,64.1448,272,0.663,103,153,0,1433.6
0.866667,0,64.6596,274,0.681,104,153,0,1433.6
0.883333,0,65.1852,286,0.6991,105,153,0,1433.6
0.9,0,65.7216,278,0.7173,106,154,0,1433.6
0.916667,0,66.5388,301,0.7358,107,154,0,1433.2
0.933333,0,67.0968,279,0.7545,108,154,0,1432.6
0.95,0,67.4496,273,0.7732,109,155,0,1432.2
0.966667,0,68.31,287,0.7922,110,155,0,1431.8
0.983333,0,68.8248,279,0.8113,111,155,0,1431.4
1,0,69.12,294,0.8305,107,155,0,1431.4
1.01667,0,69.8724,294,0.85,100,155,0,1431.4
1.03333,0,70.6428,295,0.8695,101,156,0,1431.4
1.05,0,71.0352,301,0.8892,101,156,0,1431.4
1.06667,0,71.5428,308,0.9091,102,156,0,1431.4
1.08333,0,72.234,288,0.9293,103,156,0,1431.4
1.1,0,72.8892,267,0.9496,104,156,0,1431.4
1.11667,0,73.224,304,0.9698,105,157,0,1431.4
1.13333,0,73.8972,276,0.9903,105,157,0,1431.4
1.15,0,74.2392,288,1.0109,106,157,0,1431.4
1.16667,0,74.5848,294,1.0316,107,157,0,1431.4
1.18333,0,75.2868,264,1.0526,108,158,0,1431.4
1.2,0,75.2868,267,1.0735,108,158,0,1431.4
1.21667,0,75.5532,278,1.0945,108,158,0,1431.4
1.23333,0,75.9996,267,1.1156,109,158,0,1431.4
1.25,0,76.7268,272,1.1369,109,158,0,1431.4
1.26667,0,76.7268,283,1.1582,110,159,0,1431.4
1.28333,0,77.4684,270,1.1797,110,159,0,1431.4
1.3,0,77.4684,268,1.2013,111,159,0,1431.4
1.31667,0,77.7744,272,1.2228,111,159,0,1431.4
1.33333,0,78.2244,279,1.2446,112,159,0,1431.4
1.35,0,78.606,285,1.2664,113,160,0,1431.4
1.36667,0,78.8976,308,1.2883,113,160,0,1431.4
1.38333,0,79.4844,263,1.3104,113,160,0,1431.4
1.4,0,80.1792,281,1.3327,110,160,0,1431.4
1.41667,0,80.1792,308,1.3549,101,160,0,1431.4
1.43333,0,80.9892,288,1.3774,101,160,0,1431.4
1.45,0,81.2988,269,1.4,102,160,0,1431.4
1.46667,0,81.2988,276,1.4226,102,160,0,1431.4
1.48333,0,82.2348,295,1.4454,103,160,0,1431.4
1.5,0,82.5516,286,1.4684,104,160,0,1431.4
1.51667,0,83.196,311,1.4915,104,160,0,1431.4
1.53333,0,83.52,288,1.5147,105,160,0,1431.4
1.55,0,84.1788,273,1.5381,105,160,0,1431.4
1.56667,0,84.51,294,1.5616,106,161,0,1431
1.58333,0,84.8448,286,1.5851,106,161,0,1430.6
1.6,0,85.1832,279,1.6088,107,161,0,1430
1.61667,0,85.5252,281,1.6325,107,161,0,1429.6
1.63333,0,85.8672,284,1.6564,108,161,0,1429.2
1.65,0,86.562,286,1.6804,108,161,0,1429.2
1.66667,0,86.9148,293,1.7046,109,161,0,1429.2
1.68333,0,87.3396,268,1.7288,109,161,0,1429.2
1.7,0,87.6276,290,1.7532,110,162,0,1429.2
1.71667,0,87.9876,317,1.7776,110,162,0,1429.2
1.73333,0,88.3512,269,1.8021,111,162,0,1429.2
1.75,0,88.7184,297,1.8268,111,162,0,1429.2
1.76667,0,88.7184,276,1.8514,112,162,0,1429.2
1.78333,0,89.0892,265,1.8762,112,163,0,1429.2
1.8,0,89.46,273,1.901,112,163,0,1429.2
1.81667,0,89.838,294,1.926,113,163,0,1429.2
1.83333,0,90.216,285,1.951,113,163,0,1429.2
1.85,0,90.5976,265,1.9762,114,163,0,1429.2
1.86667,0,90.9828,288,2.0015,114,164,0,1429.2
1.88333,0,90.9828,262,2.0268,115,163,0,1429.2
1.9,0,91.8432,264,2.0523,115,163,0,1429.2
1.91667,0,91.764,309,2.0778,115,163,0,1429.2
1.93333,0,92.16,305,2.1034,116,164,0,1429.2
1.95,0,92.4804,297,2.1291,116,164,0,1429.2
1.96667,0,92.9628,283,2.1549,117,164,0,1429.2
1.98333,0,93.366,255,2.1808,117,164,0,1429.2
2,0,93.7764,263,2.2069,95,164,0,1428.8
2.01667,0,93.7764,304,2.2329,104,165,0,1428.4
2.03333,0,94.4388,258,2.2591,117,165,0,1427.8
2.05,0,94.7736,321,2.2855,108,165,0,1427.4
2.06667,0,95.112,321,2.3119,108,165,0,1427
2.08333,0,95.7924,287,2.3385,109,165,0,1427
2.1,0,95.7924,267,2.3651,109,165,0,1427
2.11667,0,96.138,256,2.3919,109,166,0,1427
2.13333,0,96.7464,277,2.4187,110,165,0,1427
2.15,0,97.1856,266,2.4457,110,166,0,1427
2.16667,0,97.542,274,2.4728,111,166,0,1426.6
2.18333,0,97.632,282,2.4999,111,166,0,1426.2
2.2,0,97.8984,289,2.5271,111,166,0,1425.8
2.21667,0,98.532,301,2.5545,112,165,0,1425.4
2.23333,0,98.622,317,2.5819,112,165,0,1425
2.25,0,98.9856,325,2.6093,113,166,0,1425
2.26667,0,99.3564,325,2.6369,113,166,0,1425
2.28333,0,100.098,318,2.6648,113,166,0,1425
2.3,0,99.9108,295,2.6925,114,166,0,1425
2.31667,0,100.476,287,2.7204,114,167,0,1425
2.33333,0,100.854,311,2.7484,115,167,0,1425
2.35,0,101.333,304,2.7766,115,167,0,1425
2.36667,0,101.621,329,2.8048,115,167,0,1424.6
2.38333,0,102.01,314,2.8331,115,168,0,1424.2
2.4,0,102.01,305,2.8615,116,168,0,1423.8
2.41667,0,102.398,307,2.8899,116,168,0,1423.2
2.43333,0,103.19,301,2.9186,117,168,0,1422.8
2.45,0,103.291,305,2.9473,117,169,0,1422.8
2.46667,0,103.993,315,2.9995,115,169,0,1422.8
2.48333,0,104.4,285,3.0273,106,169,0,1422.8
2.5,0,104.4,272,3.0565,106,169,0,1422.8
2.51667,0,104.81,272,3.0856,107,170,0,1422.8
2.53333,0,105.221,256,3.1152,107,169,0,1422.8
2.55,0,105.221,318,3.1434,107,169,0,1422.8
2.56667,0,105.221,320,3.1726,107,170,0,1422.8
2.58333,0,106.056,338,3.2028,108,170,0,1422.4
2.6,0,106.056,313,3.2315,108,170,0,1421.8
2.61667,0,106.481,339,3.262,108,170,0,1421.4
2.63333,0,106.906,293,3.2908,109,170,0,1421
2.65,0,106.906,242,3.3205,109,170,0,1420.4
2.66667,0,107.766,275,3.3513,109,170,0,1420.4
2.68333,0,107.766,270,3.3804,110,170,0,1420.4
2.7,0,108.205,280,3.4104,110,170,0,1420.4
2.71667,0,108.644,324,3.4416,110,170,0,1420.4
2.73333,0,109.087,303,3.4716,111,170,0,1420
2.75,0,109.534,289,3.5024,111,170,0,1419.6
2.76667,0,109.534,269,3.5322,111,170,0,1419.2
2.78333,0,109.984,298,3.5629,112,170,0,1418.8
2.8,0,109.984,267,3.5934,112,171,0,1418.4
2.81667,0,110.441,257,3.6242,112,171,0,1418.4
2.83333,0,110.898,269,3.6551,112,171,0,1418.4
2.85,0,110.592,263,3.6861,112,171,0,1418.4
2.86667,0,110.974,275,3.7167,113,171,0,1418.4
2.88333,0,110.974,295,3.7474,113,170,0,1418.4
2.9,0,111.359,309,3.7788,113,170,0,1418.4
2.91667,0,111.359,310,3.8095,113,171,0,1418.4
2.93333,0,111.827,328,3.8409,114,171,0,1418
2.95,0,111.827,313,3.8707,114,171,0,1417.6
2.96667,0,112.14,309,3.9028,114,171,0,1417.2
2.98333,0,112.532,347,3.9345,114,172,0,1416.8
3,0,112.77,300,3.9651,115,172,0,1416.4
3.01667,0,112.77,293,3.9958,115,172,0,1416.4
3.03333,0,113.328,297,4.0272,115,172,0,1416.4
3.05,0,113.249,302,4.0587,115,173,0,1416.4
3.06667,0,113.728,306,4.091,115,173,0,1416.4
3.08333,0,113.728,311,4.1226,116,173,0,1416.4
3.1,0,113.728,320,4.1535,116,174,0,1416.4
3.11667,0,114.707,351,4.1865,116,174,0,1416.4
3.13333,0,114.707,320,4.218,116,174,0,1415.8
3.15,0,114.707,308,4.2501,117,174,0,1415.4
3.16667,0,114.952,318,4.2817,117,174,0,1415
3.18333,0,115.366,258,4.3139,117,175,0,1414.4
3.2,0,115.2,279,4.3456,108,175,0,1414
3.21667,0,115.7,280,4.3777,104,174,0,1414
3.23333,0,115.7,289,4.4098,104,174,0,1414
3.25,0,116.201,312,4.4421,104,174,0,1414
3.26667,0,116.201,279,4.4746,104,174,0,1414
3.28333,0,116.626,281,4.5075,104,174,0,1414
3.3,0,117.05,307,4.5395,105,174,0,1414
3.31667,0,117.05,275,4.5722,105,174,0,1413.6
3.33333,0,117.05,274,4.6045,105,173,0,1413.2
3.35,0,117.05,272,4.6363,105,173,0,1412.8
3.36667,0,117.22,317,4.6695,105,173,0,1412.4
3.38333,0,117.22,276,4.7014,105,174,0,1412
3.4,0,117.738,261,4.7341,105,173,0,1412
3.41667,0,117.911,277,4.7669,105,173,0,1412
3.43333,0,117.911,332,4.8004,106,173,0,1412
3.45,0,117.911,319,4.8324,106,174,0,1412
3.46667,0,118.346,343,4.8662,106,173,0,1412
3.48333,0,118.786,329,4.8987,106,173,0,1412
3.5,0,118.786,298,4.9317,107,174,0,1412
3.51667,0,119.315,335,4.965,107,174,0,1411.6
3.53333,0,118.786,356,4.998,107,174,0,1411
3.55,0,119.671,363,5.032,107,174,0,1410.6
3.56667,0,120.118,309,5.0651,108,174,0,1410
3.58333,0,120.571,358,5.098,108,174,0,1409.6
3.6,0,120.388,355,5.1315,108,175,0,1409.6
3.61667,0,120.935,357,5.165,108,175,0,1409.6
3.63333,0,121.025,332,5.1986,108,175,0,1409.6
3.65,0,121.025,313,5.2322,108,176,0,1409.6
3.66667,0,121.025,333,5.2663,109,176,0,1409.6
3.68333,0,121.482,355,5.2995,109,176,0,1409.6
3.7,0,121.946,355,5.3339,109,177,0,1409
3.71667,0,121.946,362,5.3673,109,177,0,1408.6
3.73333,0,122.411,344,5.4019,109,177,0,1408
3.75,0,121.946,336,5.4361,109,178,0,1407.6
3.76667,0,122.242,342,5.4697,109,178,0,1407
3.78333,0,122.598,341,5.5044,110,178,0,1407
3.8,0,123.163,367,5.5378,110,178,0,1407
3.81667,0,122.879,334,5.5723,110,178,0,1407
3.83333,0,122.879,334,5.6057,110,178,0,1407
3.85,0,122.879,342,5.6406,110,178,0,1407
3.86667,0,123.354,346,5.674,110,179,0,1407
3.88333,0,123.354,352,5.7083,110,179,0,1407
3.9,0,123.354,332,5.7426,111,178,0,1407
3.91667,0,123.732,334,5.7769,111,179,0,1407
3.93333,0,123.829,370,5.8114,111,179,0,1407
3.95,0,124.308,355,5.8466,111,178,0,1406.6
3.96667,0,124.308,358,5.8803,111,178,0,1406.2
3.98333,0,124.308,343,5.9149,111,178,0,1405.8
4,0,124.308,340,5.9494,111,178,0,1405.4
4.01667,0,124.794,345,5.9847,112,179,0,1405
4.03333,0,124.794,336,6.019,112,179,0,1405
4.05,0,124.794,370,6.054,112,179,0,1405
4.06667,0,124.794,325,6.0883,112,179,0,1405
4.08333,0,124.794,315,6.1235,112,179,0,1405
4.1,0,125.474,324,6.1582,112,179,0,1405
4.11667,0,125.28,334,6.1929,112,179,0,1405
4.13333,0,125.28,321,6.2283,112,179,0,1405
4.15,0,125.28,367,6.2624,112,179,0,1404.4
4.16667,0,125.28,350,6.2964,112,179,0,1404
4.18333,0,125.28,312,6.3318,112,179,0,1403.6
4.2,0,125.77,355,6.3667,112,179,0,1403.2
4.21667,0,125.77,334,6.4016,112,179,0,1402.8
4.23333,0,125.77,329,6.4365,112,179,0,1402.8
4.25,0,125.77,338,6.4715,113,180,0,1402.8
4.26667,0,125.77,368,6.5063,113,180,0,1402.8
4.28333,0,125.77,219,6.5414,109,180,0,1402.8
4.3,0,125.77,299,6.5763,105,180,0,1402.8
4.31667,0,125.77,306,6.6111,105,179,0,1402.8
4.33333,0,126.266,316,6.6464,105,179,0,1402.8
4.35,0,126.266,309,6.6818,105,179,0,1402.8
4.36667,0,126.266,325,6.7166,105,179,0,1402.4
4.38333,0,125.77,266,6.7512,105,179,0,1402
4.4,0,125.77,290,6.7868,105,179,0,1401.4
4.41667,0,126.266,300,6.8214,106,179,0,1401
4.43333,0,126.266,339,6.8568,106,178,0,1400.6
4.45,0,126.266,312,6.891,106,179,0,1400.6
4.46667,0,126.515,303,6.9274,106,178,0,1400.6
4.48333,0,126.266,237,6.9619,106,178,0,1400.6
4.5,0,126.266,287,6.9971,106,178,0,1400.6
4.51667,0,126.767,327,7.0324,106,178,0,1400.6
4.53333,0,126.767,352,7.067,106,179,0,1400.2
4.55,0,127.267,334,7.1036,106,178,0,1399.8
4.56667,0,127.267,356,7.1379,106,178,0,1399.4
4.58333,0,127.775,362,7.1736,107,178,0,1399
4.6,0,127.267,344,7.2086,107,179,0,1398.6
4.61667,0,127.775,399,7.2441,107,179,0,1398.6
4.63333,0,127.775,348,7.2796,107,179,0,1398.6
4.65,0,128.286,328,7.3152,107,179,0,1398.6
4.66667,0,127.775,365,7.3508,107,179,0,1398.6
4.68333,0,127.775,328,7.3869,107,179,0,1398.6
4.7,0,128.286,331,7.4218,107,179,0,1398.2
4.71667,0,127.775,320,7.4582,107,179,0,1397.6
4.73333,0,127.775,295,7.493,107,179,0,1397.2
4.75,0,127.775,272,7.528,107,179,0,1396.8
4.76667,0,128.142,294,7.5646,107,180,0,1396.4
4.78333,0,127.775,299,7.6,107,180,0,1396.4
4.8,0,127.775,307,7.6354,107,179,0,1396.4
4.81667,0,127.775,305,7.6709,107,179,0,1396.4
4.83333,0,128.286,310,7.7065,107,179,0,1396.4
4.85,0,128.286,330,7.7426,107,179,0,1396.4
4.86667,0,128.286,311,7.7778,107,179,0,1396.4
4.88333,0,127.775,347,7.8133,107,179,0,1396.4
4.9,0,128.286,290,7.8491,100,179,0,1396.4
4.91667,0,128.142,303,7.884,100,179,0,1396.4
4.93333,0,128.286,310,7.9196,100,179,0,1396
4.95,0,128.286,268,7.9559,100,179,0,1395.4
4.96667,0,128.286,290,7.9909,100,179,0,1395
4.98333,0,128.581,307,8.0273,100,179,0,1394
5,0,128.286,302,8.0622,100,178,0,1394
