Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
15.6,0,19.2132,146,0.04915,33,99,0,1436.6
15.6167,0,20.7936,138,0.05493,50,101,0,1436.6
15.6333,0,21.7008,161,0.06096,54,103,0,1436.6
15.65,0,23.2776,162,0.06742,57,105,0,1436.6
15.6667,0,24.2172,179,0.07415,60,108,0,1436.8
15.6833,0,25.0236,152,0.0811,63,110,0,1436.8
15.7,0,25.362,165,0.08815,65,114,0,1436.8
15.7167,0,26.1324,165,0.0954,67,116,0,1436.8
15.7333,0,27.7128,145,0.1031,70,118,0,1436.8
15.75,0,28.4508,172,0.11101,73,121,0,1436.8
15.7667,0,29.358,177,0.11916,75,123,0,1436.8
15.7833,0,30.0312,165,0.1275,77,125,0,1436.8
15.8,0,30.7008,149,0.13603,75,127,0,1436.8
15.8167,0,31.4424,146,0.14476,71,128,0,1436.8
15.8333,0,32.2812,174,0.15373,72,129,0,1436.8
15.85,0,33.1524,184,0.16294,74,130,0,1436.8
15.8667,0,33.7932,166,0.17233,76,132,0,1436.8
15.8833,0,34.5312,161,0.18193,78,133,0,1436.8
15.9,0,35.1036,99,0.19167,79,134,0,1436.8
15.9167,0,35.6724,130,0.20158,81,136,0,1436.8
15.9333,0,36.4104,149,0.2117,82,138,0,1436.8
15.95,0,36.882,115,0.22194,84,140,0,1436.8
15.9667,0,37.5552,109,0.23237,85,141,0,1436.8
15.9833,0,38.3256,149,0.24302,80,142,0,1436.8
16,0,39.168,172,0.2539,78,144,0,1436.8
16.0167,0,39.6036,141,0.2649,79,145,0,1436.8
16.0333,0,40.3416,101,0.2761,81,147,0,1436.6
16.05,0,40.9464,131,0.28749,82,148,0,1436.6
16.0667,0,41.418,130,0.29898,83,149,0,1436.6
16.0833,0,41.922,130,0.31063,84,149,0,1436.4
16.1,0,42.5592,132,0.32245,85,150,0,1436.4
16.1167,0,43.0632,141,0.33441,87,151,0,1436.4
16.1333,0,43.5996,103,0.34652,87,151,0,1436.4
16.15,0,44.3052,145,0.35883,89,151,0,1436.2
16.1667,0,44.8776,148,0.37129,90,151,0,1436.2
16.1833,0,45.2448,130,0.38386,91,151,0,1436
16.2,0,45.8172,126,0.39659,92,152,0,1436
16.2167,0,46.188,124,0.40942,93,152,0,1435.8
16.2333,0,46.7244,118,0.4224,94,152,0,1435.8
16.25,0,47.2284,104,0.43553,91,152,0,1435.8
16.2667,0,47.8332,169,0.4488,84,152,0,1435.8
16.2833,0,48.0672,168,0.46217,85,152,0,1435.6
16.3,0,48.8412,146,0.47572,85,153,0,1435.6
16.3167,0,49.3092,146,0.48943,86,153,0,1435.6
