Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
11.9333,0,18.0036,56,0.0084,32,93,0,1373.6
11.95,0,19.548,75,0.01383,32,93,0,1373.6
11.9667,0,21.0276,75,0.01967,45,94,0,1373.6
11.9833,0,22.338,122,0.02587,49,96,0,1373.6
12,0,23.4792,114,0.0324,52,99,0,1373.8
12.0167,0,24.858,120,0.0393,56,100,0,1373.8
12.0333,0,25.7976,96,0.04647,54,103,0,1374
12.05,0,26.9388,125,0.05395,54,107,0,1374
12.0667,0,27.9144,115,0.06171,56,110,0,1374.2
12.0833,0,29.0232,130,0.06977,58,113,0,1374.2
12.1,0,30.0636,130,0.07812,61,116,0,1374.2
12.1167,0,31.2732,108,0.0868,63,119,0,1374.2
12.1333,0,32.0112,101,0.0957,65,121,0,1374.2
12.15,0,33.1524,117,0.10491,66,123,0,1374.2
12.1667,0,34.1964,101,0.1144,68,124,0,1374.2
12.1833,0,35.3052,145,0.12421,70,127,0,1374.2
12.2,0,36.2448,120,0.13429,72,128,0,1374.2
12.2167,0,37.2168,74,0.14463,74,130,0,1374.2
12.2333,0,37.9908,106,0.15517,76,131,0,1374.2
12.25,0,38.7972,79,0.16595,73,132,0,1374.2
12.2667,0,39.8052,90,0.177,70,133,0,1374.4
12.2833,0,40.5432,94,0.18827,71,135,0,1374.4
12.3,0,41.4504,90,0.19978,73,135,0,1374.4
12.3167,0,42.2568,72,0.21152,75,137,0,1374.2
12.3333,0,42.93,81,0.22344,76,138,0,1374.2
12.35,0,43.5996,61,0.23557,78,139,0,1374.2
12.3667,0,44.4744,66,0.24791,80,141,0,1374
12.3833,0,45.2124,82,0.26047,81,143,0,1374
12.4,0,46.188,89,0.2733,82,143,0,1374
12.4167,0,46.7568,79,0.28628,84,144,0,1374
12.4333,0,47.5992,68,0.29951,78,145,0,1374
12.45,0,48.204,97,0.31289,75,146,0,1374
12.4667,0,49.0752,98,0.32653,77,147,0,1373.8
12.4833,0,49.5108,95,0.34028,77,148,0,1374
12.5,0,50.454,87,0.3543,78,149,0,1374
12.5167,0,50.8212,81,0.36841,79,150,0,1374
12.5333,0,51.6276,69,0.38275,80,150,0,1374
12.55,0,52.1316,82,0.39723,81,151,0,1374.2
12.5667,0,52.6356,52,0.41186,82,151,0,1374.2
12.5833,0,53.3088,55,0.42666,83,151,0,1374.2
12.6,0,53.8128,58,0.44161,84,151,0,1374
12.6167,0,54.3492,60,0.45671,85,151,0,1374
12.6333,0,55.0872,76,0.47201,86,151,0,1374
12.65,0,55.2888,53,0.48737,87,152,0,1373.8
12.6667,0,55.5588,58,0.5028,87,152,0,1373.8
12.6833,0,56.4336,46,0.51848,88,153,0,1373.8
12.7,0,57.0024,72,0.53431,80,153,0,1373.8
12.7167,0,57.204,84,0.5502,79,154,0,1374
12.7333,0,57.9096,75,0.56629,80,154,0,1374
12.75,0,58.212,63,0.58246,81,154,0,1374
12.7667,0,58.6476,73,0.59875,82,154,0,1374
12.7833,0,59.2884,86,0.61522,83,155,0,1374
12.8,0,59.9256,80,0.63186,83,155,0,1373.8
12.8167,0,60.3612,79,0.64863,84,155,0,1373.8
12.8333,0,60.5988,79,0.66546,85,155,0,1373.8
12.85,0,61.1352,59,0.68245,85,156,0,1373.6
12.8667,0,61.74,45,0.6996,86,156,0,1373.6
12.8833,0,62.1756,64,0.71687,86,157,0,1373.6
12.9,0,62.4456,55,0.73421,87,157,0,1373.4
12.9167,0,62.6796,46,0.75164,87,157,0,1373.6
12.9333,0,63.1512,19,0.76917,88,157,0,1373.6
12.95,0,63.3852,22,0.78677,88,156,0,1373.8
12.9667,0,63.8892,36,0.80452,87,156,0,1373.8
12.9833,0,64.3932,73,0.82242,78,156,0,1373.6
13,0,64.6272,71,0.84036,79,156,0,1373.6
13.0167,0,65.1672,22,0.85846,79,155,0,1373.4
13.0333,0,65.4012,50,0.87665,80,155,0,1373.2
13.05,0,65.9376,49,0.89494,80,155,0,1373.2
13.0667,0,66.3408,49,0.91337,81,155,0,1373
13.0833,0,66.744,44,0.93191,81,155,0,1372.8
13.1,0,67.014,89,0.95053,82,154,0,1372.8
13.1167,0,67.5504,59,0.96931,82,154,0,1372.8
13.1333,0,68.1228,41,0.98821,83,154,0,1372.8
13.15,0,68.4252,49,1.00722,83,154,0,1372.8
13.1667,0,68.8608,47,1.02637,84,154,0,1372.8
13.1833,0,69.264,22,1.04559,84,154,0,1372.8
13.2,0,69.264,49,1.06483,85,154,0,1372.6
13.2167,0,69.5664,3,1.08415,85,154,0,1372.6
13.2333,0,69.8688,4,1.10356,85,154,0,1372.4
13.25,0,70.4736,64,1.12315,86,154,0,1372.2
13.2667,0,70.4736,17,1.14271,86,153,0,1372
13.2833,0,70.776,45,1.16237,86,154,0,1372.2
13.3,0,71.0784,81,1.18211,86,154,0,1372.2
13.3167,0,71.0784,66,1.20188,87,153,0,1372.2
13.3333,0,71.3808,77,1.22169,87,154,0,1372.4
13.35,0,71.784,73,1.24162,88,154,0,1372.4
13.3667,0,72.3204,48,1.26171,78,154,0,1372.4
13.3833,0,72.4896,94,1.28185,76,154,0,1372.2
13.4,0,72.4896,71,1.30201,76,155,0,1372.2
13.4167,0,72.9576,70,1.32225,76,155,0,1372.2
13.4333,0,73.2276,66,1.34259,77,155,0,1372.2
13.45,0,73.296,80,1.36295,77,155,0,1372
13.4667,0,73.9656,76,1.3835,77,156,0,1372
13.4833,0,73.9656,80,1.40404,78,156,0,1372.2
13.5,0,74.6028,57,1.42477,78,156,0,1372.2
13.5167,0,74.9736,72,1.44559,78,156,0,1372.2
13.5333,0,75.3084,12,1.46651,79,156,0,1372.2
13.55,0,75.6792,16,1.48756,79,157,0,1372.2
13.5667,0,76.014,49,1.50865,79,156,0,1372.2
13.5833,0,76.014,51,1.52977,80,156,0,1372.2
13.6,0,76.7196,65,1.5511,80,156,0,1372.2
13.6167,0,76.8204,64,1.57242,80,156,0,1372.2
13.6333,0,77.0904,60,1.59383,81,156,0,1372
13.65,0,77.4612,51,1.61537,81,156,0,1371.8
13.6667,0,77.8284,47,1.63697,81,156,0,1371.8
13.6833,0,78.1992,58,1.65869,82,156,0,1371.6
13.7,0,78.5664,94,1.68051,82,156,0,1371.4
13.7167,0,78.7356,90,1.70238,82,156,0,1371.4
13.7333,0,78.9372,64,1.72431,83,157,0,1371.2
13.75,0,79.038,0,1.74629,83,157,0,1371
13.7667,0,79.038,0,1.76822,83,157,0,1370.8
13.7833,0,79.308,0,1.79025,83,157,0,1370.8
13.8,0,79.308,0,1.81228,83,157,0,1370.6
13.8167,0,79.308,0,1.83431,84,157,0,1370.4
13.8333,0,79.9128,0,1.85651,84,157,0,1370.2
13.85,0,79.9128,20,1.87871,84,157,0,1370.2
13.8667,0,80.1792,28,1.90098,84,157,0,1370
13.8833,0,80.0784,5,1.92322,84,156,0,1369.8
13.9,0,80.4816,14,1.94558,84,156,0,1369.8
13.9167,0,80.8848,21,1.96805,85,156,0,1369.8
13.9333,0,80.784,31,1.99051,85,155,0,1369.6
13.95,0,81.0864,40,2.01301,85,155,0,1369.6
13.9667,0,81.0864,1,2.03554,85,155,0,1369.6
13.9833,0,81.3888,0,2.05814,85,155,0,1369.6
14,0,81.6912,0,2.08086,86,156,0,1369.6
14.0167,0,81.6912,0,2.10353,86,156,0,1369.6
14.0333,0,81.6912,0,2.12622,86,157,0,1369.8
14.05,0,81.9936,22,2.149,86,157,0,1369.6
14.0667,0,82.296,76,2.17186,86,158,0,1369.6
14.0833,0,82.9332,72,2.19489,87,159,0,1369.4
14.1,0,83.3364,62,2.21804,87,159,0,1369.2
14.1167,0,83.574,73,2.24126,87,160,0,1369
14.1333,0,83.8764,16,2.26456,86,160,0,1369
14.15,0,84.2112,80,2.28797,78,160,0,1369
14.1667,0,84.2112,79,2.31134,78,160,0,1368.8
14.1833,0,84.8484,57,2.33491,79,161,0,1368.8
14.2,0,84.8484,87,2.35848,79,161,0,1368.6
14.2167,0,85.1868,92,2.38214,79,161,0,1368.4
14.2333,0,85.8564,86,2.40599,80,161,0,1368.2
14.25,0,85.8564,97,2.42986,80,162,0,1368
14.2667,0,86.5296,74,2.4539,80,162,0,1367.8
14.2833,0,86.8644,89,2.47801,81,161,0,1367.6
14.3,0,87.2352,68,2.50224,81,162,0,1367.4
14.3167,0,87.57,90,2.52656,81,162,0,1367.4
14.3333,0,87.9408,83,2.55099,82,162,0,1367
14.35,0,88.2756,126,2.57551,82,162,0,1367
14.3667,0,88.9812,110,2.60023,83,163,0,1366.8
14.3833,0,88.9812,79,2.62495,83,163,0,1366.8
14.4,0,89.352,52,2.64977,83,164,0,1366.6
14.4167,0,89.7192,33,2.67469,83,165,0,1366.6
14.4333,0,90.09,69,2.69971,84,165,0,1366.2
14.45,0,90.4608,77,2.72484,84,165,0,1366
14.4667,0,90.6264,91,2.75001,84,166,0,1366
14.4833,0,90.828,100,2.77524,85,166,0,1366
14.5,0,91.2312,79,2.80061,85,166,0,1366
14.5167,0,91.2312,57,2.82593,85,166,0,1365.8
14.5333,0,92.0052,34,2.85149,85,167,0,1365.8
14.55,0,92.0052,49,2.87704,86,167,0,1365.8
14.5667,0,92.0052,74,2.9026,86,167,0,1365.8
14.5833,0,92.3724,26,2.92826,86,167,0,1365.6
14.6,0,92.9772,30,2.95409,86,167,0,1365.4
14.6167,0,93.1464,78,2.97996,87,167,0,1365.2
14.6333,0,93.7188,49,3.00599,87,167,0,1364.8
14.65,0,93.9528,30,3.03209,87,166,0,1364.6
14.6667,0,93.9528,13,3.05819,88,166,0,1364.6
14.6833,0,94.0536,3,3.08431,88,165,0,1364.4
14.7,0,94.356,0,3.11052,88,165,0,1364
14.7167,0,94.6908,0,3.13683,88,164,0,1363.6
14.7333,0,94.7592,0,3.16315,88,164,0,1363.4
14.75,0,95.1948,0,3.18959,89,162,0,1363
14.7667,0,95.364,0,3.21608,89,162,0,1362.8
14.7833,0,95.598,0,3.24264,89,161,0,1362.8
14.8,0,95.364,0,3.26913,89,160,0,1363
14.8167,0,95.598,21,3.29568,89,160,0,1363
14.8333,0,95.598,5,3.32226,89,159,0,1363
14.85,0,95.6988,13,3.34885,89,159,0,1362.8
14.8667,0,96.0336,13,3.3755,89,160,0,1362.8
14.8833,0,96.0336,15,3.40217,90,160,0,1362.4
14.9,0,96.4368,58,3.42896,90,160,0,1362.4
14.9167,0,96.7068,32,3.45583,90,160,0,1362.2
14.9333,0,96.7068,8,3.48269,90,160,0,1361.8
14.95,0,96.876,8,3.5096,91,160,0,1361.6
14.9667,0,97.38,10,3.53665,85,161,0,1361.4
14.9833,0,98.0856,44,3.56389,85,161,0,1361
15,0,98.0856,77,3.59114,86,161,0,1360.6
15.0167,0,98.0856,46,3.61838,86,161,0,1360.6
15.0333,0,98.622,63,3.64578,86,161,0,1360.6
15.05,0,98.622,75,3.67317,86,162,0,1360.4
15.0667,0,99.5292,27,3.70085,87,162,0,1360.2
15.0833,0,99.1584,28,3.72837,87,162,0,1360
15.1,0,99.5292,42,3.75601,87,163,0,1359.8
15.1167,0,99.9648,46,3.78378,87,163,0,1359.4
15.1333,0,99.864,55,3.81152,87,164,0,1359
15.15,0,99.9648,12,3.83932,87,164,0,1358.8
15.1667,0,100.235,12,3.86713,87,164,0,1358.4
15.1833,0,100.436,14,3.89503,88,164,0,1358.2
15.2,0,100.602,52,3.92298,88,164,0,1358
15.2167,0,100.904,45,3.95103,88,163,0,1358
15.2333,0,100.602,31,3.97895,88,164,0,1358
15.25,0,100.973,10,4.007,88,164,0,1358
15.2667,0,100.904,38,4.03503,88,164,0,1358
15.2833,0,101.344,27,4.06318,89,164,0,1358
15.3,0,101.344,27,4.09133,89,165,0,1358
15.3167,0,101.344,64,4.11948,89,165,0,1357.8
15.3333,0,101.848,73,4.14777,89,165,0,1357.6
15.35,0,102.114,65,4.17616,89,165,0,1357.6
15.3667,0,102.485,63,4.2046,89,165,0,1357.4
15.3833,0,102.485,56,4.23307,90,165,0,1357
