Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
0.0166667,0,20.2644,168,0.00563,41,97,0,1360.6
0.0333333,0,21.6252,168,0.01164,46,100,0,1360.4
0.05,0,22.8348,202,0.01798,49,100,0,1360.6
0.0666667,0,23.6736,172,0.02455,52,105,0,1360.8
0.0833333,0,24.498,172,0.03136,54,107,0,1361
0.1,0,25.38,176,0.03841,56,107,0,1361
0.116667,0,26.154,164,0.04567,59,108,0,1361
0.133333,0,27.162,156,0.05322,61,110,0,1361.2
0.15,0,27.3564,156,0.06082,62,111,0,1361
0.166667,0,28.566,162,0.06875,64,112,0,1360.8
0.183333,0,29.214,139,0.07687,66,113,0,1360.4
0.2,0,29.8908,137,0.08517,67,114,0,1360.6
0.216667,0,30.6,132,0.09367,68,114,0,1360.6
0.233333,0,31.3416,132,0.10238,70,114,0,1360.6
0.25,0,31.9896,124,0.11126,71,115,0,1361
0.266667,0,32.3892,127,0.12026,73,114,0,1360.6
0.283333,0,33.084,117,0.12945,74,115,0,1360.6
0.3,0,33.66,130,0.1388,75,115,0,1360.4
0.316667,0,34.4052,129,0.14836,77,116,0,1360.6
0.333333,0,34.8696,112,0.15804,79,116,0,1360.6
0.35,0,35.5104,114,0.16791,79,117,0,1360
0.366667,0,36.0072,118,0.17791,81,117,0,1360
0.383333,0,36.3456,122,0.18801,82,117,0,1360.4
0.4,0,37.0404,126,0.19829,83,117,0,1360.4
0.416667,0,37.5804,130,0.20873,84,117,0,1360.2
0.433333,0,38.1348,121,0.21933,86,117,0,1360.2
0.45,0,38.7072,144,0.23008,87,117,0,1360.2
0.466667,0,39.7008,265,0.24112,89,117,0,1360
0.483333,0,40.7448,273,0.25242,91,117,0,1360
0.5,0,41.6196,243,0.26399,93,118,0,1360
0.516667,0,42.534,274,0.2758,95,119,0,1360.2
0.533333,0,43.2468,250,0.28781,97,120,0,1360.2
0.55,0,43.9848,206,0.30003,99,122,0,1359.8
0.566667,0,44.6184,184,0.31243,100,123,0,1359.6
0.583333,0,45.27,186,0.325,101,124,0,1359.8
0.6,0,45.9432,198,0.33776,103,125,0,1359.8
0.616667,0,46.494,208,0.35068,104,126,0,1360
0.633333,0,47.2032,234,0.36379,106,129,0,1359.6
0.65,0,47.6388,199,0.37702,108,130,0,1359.6
0.666667,0,48.384,201,0.39046,109,131,0,1359.4
0.683333,0,48.8412,213,0.40403,110,132,0,1360.2
0.7,0,49.3092,181,0.41773,111,133,0,1359.6
0.716667,0,49.626,185,0.43151,112,134,0,1359.8
0.733333,0,50.2704,203,0.44548,107,135,0,1359.2
0.75,0,50.7636,204,0.45958,100,135,0,1359.8
0.766667,0,51.2676,198,0.47382,101,136,0,1359.6
0.783333,0,51.6096,189,0.48815,102,137,0,1360
0.8,0,52.1316,167,0.50265,103,137,0,1359.8
0.816667,0,52.6644,175,0.51726,104,137,0,1359.6
0.833333,0,52.8408,151,0.53194,104,138,0,1359
0.85,0,53.2656,141,0.5469,105,138,0,1359.2
0.866667,0,53.5752,168,0.56162,106,139,0,1359.2
0.883333,0,53.946,159,0.5766,106,139,0,1359.2
0.9,0,54.1368,157,0.59164,107,139,0,1359.2
0.916667,0,54.9036,180,0.60689,108,139,0,1359.4
0.933333,0,55.098,163,0.6222,108,140,0,1359
0.95,0,55.494,172,0.63761,109,140,0,1359
0.966667,0,55.6956,192,0.65308,110,140,0,1358.6
0.983333,0,56.0988,166,0.66867,110,140,0,1358.8
1,0,56.5056,156,0.68436,111,140,0,1358.6
1.01667,0,56.7144,139,0.70012,112,140,0,1358.6
1.03333,0,56.9232,166,0.71593,112,141,0,1358.4
1.05,0,57.5136,188,0.7319,107,141,0,1358.2
1.06667,0,57.9888,177,0.74801,102,140,0,1358.4
1.08333,0,58.4244,174,0.76424,102,141,0,1358.2
1.1,0,58.8708,183,0.78059,103,141,0,1358.6
1.11667,0,59.3208,178,0.79707,104,141,0,1358.4
1.13333,0,59.5512,151,0.81361,104,141,0,1358.4
1.15,0,60.012,181,0.83028,105,141,0,1358
1.16667,0,60.48,173,0.8471,106,142,0,1357.8
1.18333,0,60.9552,201,0.86402,107,142,0,1358
1.2,0,61.1964,164,0.88101,107,143,0,1358
1.21667,0,61.686,186,0.89815,108,143,0,1357.8
1.23333,0,61.9308,173,0.91535,109,144,0,1358
1.25,0,62.4312,162,0.93269,109,144,0,1358
1.26667,0,62.6004,165,0.95008,110,144,0,1357.8
1.28333,0,63.1944,166,0.96764,110,144,0,1357.4
1.3,0,63.1944,155,0.98519,111,144,0,1357.8
1.31667,0,63.7164,171,1.00289,111,144,0,1358
1.33333,0,63.9792,171,1.02066,112,145,0,1357.4
1.35,0,64.512,199,1.03887,113,145,0,1357
1.36667,0,64.512,177,1.0565,113,145,0,1356.8
1.38333,0,64.782,167,1.0745,108,144,0,1357
1.4,0,65.0556,223,1.09257,100,145,0,1356.8
1.41667,0,65.3292,195,1.11072,100,145,0,1357.2
1.43333,0,65.6064,193,1.12894,101,145,0,1357
1.45,0,65.8836,206,1.14724,101,145,0,1357
1.46667,0,65.8836,212,1.16556,101,146,0,1357.2
1.48333,0,66.4488,218,1.184,102,146,0,1357.4
1.5,0,66.7368,206,1.20254,102,146,0,1357.2
1.51667,0,67.0248,185,1.22116,103,146,0,1356.6
1.53333,0,67.122,181,1.2398,103,146,0,1356.8
1.55,0,67.6116,187,1.2586,104,146,0,1356.8
1.56667,0,67.9068,192,1.27744,104,147,0,1357
1.58333,0,67.9068,185,1.29631,104,147,0,1356.8
1.6,0,68.2056,182,1.31525,105,147,0,1357.2
1.61667,0,68.814,167,1.33437,105,146,0,1356.6
1.63333,0,68.814,158,1.35348,106,146,0,1356.6
1.65,0,69.4296,162,1.37277,106,146,0,1356
1.66667,0,69.7428,210,1.39214,107,146,0,1356.8
1.68333,0,70.0596,192,1.4116,107,146,0,1356.4
1.7,0,70.3764,175,1.43115,108,146,0,1356.2
1.71667,0,70.3764,192,1.4507,109,146,0,1355.4
1.73333,0,71.0208,194,1.47043,109,146,0,1355.4
1.75,0,71.0208,185,1.49016,109,146,0,1355.8
1.76667,0,71.3484,188,1.50998,110,146,0,1356
1.78333,0,71.6796,178,1.52989,110,147,0,1355.8
1.8,0,72.3492,175,1.54998,111,147,0,1355.6
1.81667,0,72.6912,157,1.57018,111,147,0,1355.6
1.83333,0,72.6912,178,1.59037,112,147,0,1355.6
1.85,0,73.0332,200,1.6108,112,146,0,1355.8
1.86667,0,73.3788,186,1.63104,113,147,0,1355.4
1.88333,0,73.728,206,1.65152,103,147,0,1355.4
1.9,0,73.962,207,1.67206,103,146,0,1355
1.91667,0,74.4372,246,1.69274,103,146,0,1355
1.93333,0,74.7972,218,1.71352,104,146,0,1354.8
1.95,0,75.1608,216,1.7344,104,147,0,1354.8
1.96667,0,75.6504,203,1.75541,105,147,0,1354.6
1.98333,0,75.6504,212,1.77642,105,147,0,1354.4
2,0,76.1436,201,1.79757,106,147,0,1354.2
2.01667,0,76.3956,201,1.8188,106,148,0,1354
2.03333,0,76.6476,208,1.84009,106,148,0,1354
2.05,0,76.9032,198,1.86145,107,148,0,1353.6
2.06667,0,77.1588,197,1.88288,107,148,0,1354
2.08333,0,77.4144,208,1.90439,108,148,0,1354.2
2.1,0,77.4144,175,1.92589,108,148,0,1354.2
2.11667,0,77.6736,168,1.94747,108,149,0,1353.6
2.13333,0,78.1956,202,1.96919,109,149,0,1353.2
2.15,0,78.1956,178,1.99091,109,149,0,1353.2
2.16667,0,78.1956,158,2.01263,109,149,0,1353.4
2.18333,0,78.5916,161,2.03446,109,149,0,1353.4
2.2,0,78.9948,147,2.0564,110,149,0,1352.8
2.21667,0,78.9948,167,2.07835,110,148,0,1352.4
2.23333,0,79.398,213,2.1004,110,148,0,1352.6
2.25,0,79.5348,211,2.12249,111,148,0,1353
2.26667,0,79.8084,207,2.14466,111,148,0,1353
2.28333,0,80.0856,200,2.16691,111,149,0,1353
2.3,0,80.2224,234,2.18919,112,148,0,1352.6
2.31667,0,80.64,201,2.21159,110,149,0,1352.4
2.33333,0,81.0612,202,2.23411,101,149,0,1352.4
2.35,0,81.4896,230,2.25675,101,149,0,1352.6
2.36667,0,81.774,211,2.27946,102,149,0,1352.6
2.38333,0,81.9216,224,2.30222,102,149,0,1352.4
2.4,0,82.3572,209,2.32509,102,150,0,1352
2.41667,0,82.7964,186,2.34809,103,150,0,1351.8
2.43333,0,83.2428,168,2.37122,103,150,0,1351.8
2.45,0,83.2428,209,2.39434,104,150,0,1351.8
2.46667,0,83.5416,209,2.41754,104,151,0,1351.4
2.48333,0,84.1464,186,2.44092,104,150,0,1351
2.5,0,84.1464,183,2.46429,105,150,0,1350.2
2.51667,0,84.4524,245,2.48775,105,150,0,1350.2
2.53333,0,84.762,206,2.5113,106,150,0,1350.2
2.55,0,85.0716,195,2.53493,106,150,0,1350
2.56667,0,85.5396,201,2.55869,106,150,0,1349.8
2.58333,0,85.698,201,2.58249,107,150,0,1349.6
2.6,0,86.3352,275,2.60648,107,151,0,1349.8
2.61667,0,86.3748,262,2.63047,107,151,0,1350.2
2.63333,0,86.6592,238,2.65454,108,151,0,1349.8
2.65,0,86.9832,184,2.6787,108,151,0,1349.2
2.66667,0,87.3108,213,2.70296,108,151,0,1349.2
2.68333,0,87.4728,244,2.72725,109,152,0,1349.2
2.7,0,87.6384,236,2.7516,109,152,0,1349
2.71667,0,87.9696,201,2.77603,109,152,0,1349
2.73333,0,88.3044,207,2.80056,110,152,0,1349.2
2.75,0,88.6428,262,2.82519,110,153,0,1348.2
2.76667,0,88.9812,220,2.8499,111,153,0,1348.2
2.78333,0,89.3232,205,2.87472,111,154,0,1347.6
2.8,0,89.6688,160,2.89962,111,154,0,1348.2
2.81667,0,89.6688,147,2.92453,112,154,0,1347.6
2.83333,0,90.018,159,2.94954,112,154,0,1347.6
2.85,0,90.018,164,2.97454,112,154,0,1347.2
2.86667,0,90.3672,165,2.99964,112,154,0,1347.4
2.88333,0,90.3672,176,3.02474,113,154,0,1347.2
2.9,0,91.0764,219,3.05004,113,154,0,1346.8
2.91667,0,91.0764,200,3.07534,113,154,0,1346.4
2.93333,0,91.4328,187,3.10074,114,154,0,1346.4
2.95,0,91.4328,168,3.12614,114,154,0,1346.4
