Minutes,"Torq (N-m)",Km/h,Watts,Km,Cadence,Hrate,ID,"Altitude (m)"
0.0166667,0,26.7948,267,0.00744,65,107,0,1473.4
0.0333333,0,28.2816,270,0.01529,68,112,0,1473.4
0.05,0,29.6964,269,0.02354,71,114,0,1473.4
0.0666667,0,30.546,273,0.03203,75,116,0,1473.4
0.0833333,0,32.1048,272,0.04095,77,117,0,1473.4
0.1,0,32.7924,290,0.05006,80,119,0,1473.4
0.116667,0,34.1568,288,0.05954,83,121,0,1473.4
0.133333,0,35.1648,284,0.06931,86,122,0,1473.4
0.15,0,36.3636,296,0.07941,88,124,0,1473.4
0.166667,0,37.7748,298,0.08991,91,125,0,1473.4
0.183333,0,38.8764,284,0.1007,93,126,0,1473.4
0.2,0,39.8916,278,0.11179,96,127,0,1473.4
0.216667,0,40.8024,272,0.12312,99,128,0,1473.4
0.233333,0,41.922,258,0.13476,100,129,0,1473.4
0.25,0,42.5916,223,0.14662,103,130,0,1473.4
0.266667,0,43.812,203,0.15876,103,131,0,1473.4
0.283333,0,44.5428,230,0.17114,94,132,0,1473.4
0.3,0,45.2988,258,0.18372,95,132,0,1473.4
0.316667,0,46.08,262,0.19652,97,133,0,1473.4
0.333333,0,47.0952,227,0.2096,98,134,0,1473.4
0.35,0,47.9412,242,0.22292,100,135,0,1473.4
0.366667,0,48.5928,261,0.23642,102,135,0,1473.4
0.383333,0,49.266,235,0.2501,103,136,0,1473.4
0.4,0,49.9572,228,0.26398,105,137,0,1473.4
0.416667,0,50.4288,233,0.27799,106,138,0,1473.4
0.433333,0,51.3972,264,0.29226,108,139,0,1473.4
0.45,0,51.8976,274,0.30668,109,140,0,1473.4
0.466667,0,52.578,258,0.32129,110,140,0,1473.4
0.483333,0,53.4528,241,0.33613,103,141,0,1473.4
0.5,0,53.9928,265,0.35113,101,142,0,1473.4
0.516667,0,54.918,283,0.36639,102,143,0,1473.4
0.533333,0,55.3932,278,0.38177,103,144,0,1473.4
0.55,0,56.07,269,0.39735,104,144,0,1473.4
0.566667,0,56.8656,276,0.41314,105,145,0,1473.4
0.583333,0,57.4776,290,0.42911,107,146,0,1473.4
0.6,0,58.1004,279,0.44525,108,147,0,1473.4
0.616667,0,58.7376,272,0.46157,109,148,0,1473.4
0.633333,0,59.0652,263,0.47805,110,148,0,1473.4
0.65,0,59.8356,277,0.49459,111,149,0,1473.4
0.666667,0,60.2856,310,0.51134,112,150,0,1473.4
0.683333,0,61.2072,320,0.52834,114,150,0,1473.4
0.7,0,61.6752,291,0.54547,115,151,0,1473.4
0.716667,0,62.3952,287,0.5628,115,152,0,1473.4
0.733333,0,63.1332,270,0.58034,114,152,0,1473.4
0.75,0,63.3816,293,0.59795,103,153,0,1473.4
0.766667,0,63.8892,313,0.61569,104,153,0,1473.4
0.783333,0,64.6596,292,0.63366,105,154,0,1473.4
0.8,0,65.1852,288,0.65176,105,154,0,1473.4
0.816667,0,65.7216,289,0.67002,106,155,0,1473.4
0.833333,0,66.2652,280,0.68843,107,155,0,1473.4
0.85,0,67.0968,296,0.70706,108,156,0,1473.4
0.866667,0,67.662,297,0.72586,109,156,0,1473.4
0.883333,0,68.094,278,0.74477,110,156,0,1473.4
0.9,0,68.7492,298,0.76387,111,157,0,1473.4
0.916667,0,69.1956,287,0.78309,112,157,0,1473.4
0.933333,0,70.0272,299,0.80254,113,157,0,1473.4
0.95,0,70.3332,303,0.8222,114,157,0,1473.4
0.966667,0,71.2692,309,0.84188,115,158,0,1473.4
0.983333,0,71.5896,316,0.86176,116,158,0,1473.4
1,0,71.9892,305,0.88176,117,158,0,1473.4
1.01667,0,72.8892,291,0.90201,118,158,0,1473.4
1.03333,0,73.476,293,0.92242,119,159,0,1473.4
1.05,0,73.8972,264,0.94294,113,158,0,1473.4
1.06667,0,74.2392,297,0.96363,106,158,0,1473.4
1.08333,0,74.5848,305,0.98428,107,159,0,1473.4
1.1,0,74.9844,311,1.00511,108,158,0,1473.4
1.11667,0,75.6396,306,1.02612,109,158,0,1473.4
1.13333,0,76.0896,308,1.04726,109,159,0,1473.4
1.15,0,76.6332,302,1.06855,110,159,0,1473.4
1.16667,0,76.9104,306,1.08991,110,160,0,1473.4
1.18333,0,77.1876,294,1.11135,111,160,0,1473.4
1.2,0,77.4684,285,1.13287,111,160,0,1473.4
1.21667,0,78.0336,288,1.15455,112,160,0,1473.4
1.23333,0,78.2244,312,1.17628,113,160,0,1473.4
1.25,0,78.8976,311,1.19819,113,160,0,1473.4
1.26667,0,79.1892,332,1.2203,114,160,0,1473.4
1.28333,0,79.7796,297,1.24235,114,161,0,1473.4
1.3,0,80.0784,306,1.26459,115,161,0,1473.4
1.31667,0,80.6832,305,1.287,115,161,0,1473.4
1.33333,0,80.9892,311,1.3095,116,161,0,1473.4
1.35,0,81.2988,246,1.33208,116,161,0,1473.4
1.36667,0,81.9216,281,1.35484,108,161,0,1473.4
1.38333,0,82.2348,292,1.37768,103,161,0,1473.4
1.4,0,82.872,317,1.4007,104,162,0,1473
1.41667,0,83.196,302,1.42381,105,162,0,1472.6
1.43333,0,83.8476,300,1.4471,105,162,0,1472.2
1.45,0,84.1788,289,1.47049,106,161,0,1471.8
1.46667,0,84.8448,303,1.49406,106,162,0,1471.4
1.48333,0,85.1832,301,1.51772,107,162,0,1471.4
1.5,0,85.5252,292,1.54147,107,162,0,1471.4
1.51667,0,85.8672,311,1.56533,108,162,0,1471.4
1.53333,0,86.562,306,1.58937,108,162,0,1471.4
1.55,0,86.9148,291,1.61351,109,162,0,1471.4
1.56667,0,87.3396,303,1.63778,109,162,0,1471.4
1.58333,0,87.6276,315,1.66221,110,162,0,1471.4
1.6,0,88.11,290,1.68659,111,162,0,1471.4
1.61667,0,88.7904,314,1.7113,111,162,0,1471.4
1.63333,0,89.0892,330,1.736,112,163,0,1471.4
1.65,0,89.46,265,1.76085,112,163,0,1471.4
1.66667,0,89.46,278,1.7857,112,163,0,1471.4
1.68333,0,89.838,279,1.81066,113,164,0,1471.4
1.7,0,90.216,296,1.83572,113,164,0,1471.4
1.71667,0,90.5976,288,1.86088,114,164,0,1471.4
1.73333,0,90.9072,270,1.88613,114,164,0,1471.4
1.75,0,91.3716,247,1.91152,115,164,0,1471.4
1.76667,0,91.3716,260,1.9369,115,165,0,1471.4
1.78333,0,91.764,275,1.96239,115,165,0,1471.4
1.8,0,91.764,226,1.98788,115,164,0,1471.4
1.81667,0,92.16,276,2.01348,105,164,0,1471.4
1.83333,0,92.4804,301,2.03917,105,163,0,1471.4
1.85,0,92.8008,296,2.06494,105,163,0,1471
1.86667,0,93.024,306,2.09078,106,163,0,1470.4
1.88333,0,93.7764,279,2.11683,106,164,0,1470
1.9,0,93.7764,300,2.14299,107,163,0,1469.6
1.91667,0,94.1904,287,2.16905,107,163,0,1469
1.93333,0,95.0256,306,2.19544,108,163,0,1469
1.95,0,95.0256,280,2.22184,108,163,0,1469
1.96667,0,95.4504,301,2.24835,108,163,0,1469
1.98333,0,95.8788,286,2.27498,109,163,0,1469
2,0,96.138,286,2.30169,109,163,0,1469
2.01667,0,96.4836,273,2.32849,109,164,0,1469
2.03333,0,96.8364,287,2.35539,110,164,0,1469
2.05,0,97.1856,298,2.38239,110,164,0,1469
