Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
7.76667,0,0,55,0,14,83,0,1355.6
7.78333,0,17.298,147,0.00481,14,84,0,1355.6
7.8,0,20.3904,147,0.01047,32,84,0,1355.6
7.81667,0,21.4308,194,0.01642,48,85,0,1355.8
7.83333,0,22.4388,170,0.02265,48,86,0,1355.8
7.85,0,23.6124,170,0.02921,53,88,0,1356
7.86667,0,24.9228,193,0.03614,58,90,0,1356
7.88333,0,26.0316,187,0.04337,60,93,0,1356.2
7.9,0,27.0756,209,0.05089,63,96,0,1356.2
7.91667,0,28.2168,234,0.05873,66,100,0,1356.2
7.93333,0,29.2896,228,0.06686,68,101,0,1356.2
7.95,0,30.2976,207,0.07528,70,105,0,1356.2
7.96667,0,31.3416,200,0.08399,72,107,0,1356.4
7.98333,0,32.2812,210,0.09295,75,110,0,1356.4
8,0,33.2892,239,0.1022,78,112,0,1356.6
8.01667,0,34.4628,238,0.11177,80,114,0,1356.6
8.03333,0,35.2692,252,0.12157,82,116,0,1356.6
8.05,0,36.378,230,0.13168,77,118,0,1356.6
8.06667,0,37.4868,222,0.14209,76,119,0,1356.6
8.08333,0,38.5632,263,0.1528,78,121,0,1356.6
8.1,0,39.8736,257,0.16387,81,123,0,1356.8
8.11667,0,40.914,249,0.17524,83,125,0,1356.8
8.13333,0,41.7204,237,0.18683,85,127,0,1356.8
8.15,0,42.7284,217,0.1987,87,130,0,1356.8
8.16667,0,43.398,231,0.21075,89,131,0,1356.8
8.18333,0,44.5068,231,0.22311,81,133,0,1356.8
8.2,0,45.2448,226,0.23568,82,135,0,1356.8
8.21667,0,46.2204,242,0.24852,84,138,0,1357
8.23333,0,46.8936,239,0.26155,86,140,0,1357
8.25,0,47.7324,220,0.27481,87,143,0,1357
8.26667,0,48.438,226,0.28826,89,145,0,1357
8.28333,0,49.176,222,0.30192,90,147,0,1357.2
8.3,0,49.8816,217,0.31579,91,149,0,1357.2
8.31667,0,50.5872,228,0.32983,93,151,0,1357.2
8.33333,0,51.3252,212,0.34409,94,153,0,1357.2
8.35,0,52.3008,219,0.35863,95,154,0,1357
8.36667,0,52.8372,231,0.37329,96,155,0,1356.8
8.38333,0,53.3412,220,0.38811,94,157,0,1356.8
8.4,0,54.0468,211,0.40312,86,158,0,1356.6
8.41667,0,54.72,177,0.41832,87,159,0,1356.6
8.43333,0,55.0872,171,0.43362,88,159,0,1356.4
8.45,0,55.8612,202,0.44914,89,160,0,1356.4
8.46667,0,56.2644,197,0.46477,90,160,0,1356.4
8.48333,0,56.736,230,0.48053,91,160,0,1356.2
8.5,0,57.2364,192,0.49643,91,160,0,1356.2
8.51667,0,57.8772,237,0.51251,92,160,0,1356.2
8.53333,0,58.482,229,0.52875,93,160,0,1356.2
8.55,0,58.9176,222,0.54512,94,160,0,1356.2
8.56667,0,59.5908,200,0.56167,95,160,0,1356.2
8.58333,0,59.9256,222,0.57832,96,160,0,1356.4
8.6,0,60.462,220,0.59511,96,160,0,1356.4
8.61667,0,61.1676,220,0.6121,97,160,0,1356.4
8.63333,0,61.6392,207,0.62924,95,161,0,1356.4
8.65,0,62.1072,237,0.64648,88,161,0,1356.6
8.66667,0,62.5788,237,0.66386,89,161,0,1356.4
8.68333,0,63.0828,236,0.68138,90,161,0,1356.4
8.7,0,63.5868,236,0.69905,90,161,0,1356.2
8.71667,0,64.3608,227,0.71692,91,161,0,1356
8.73333,0,64.8648,235,0.73494,92,161,0,1355.8
8.75,0,65.268,216,0.75307,93,162,0,1355.8
8.76667,0,65.9376,224,0.77139,93,162,0,1355.8
8.78333,0,66.2076,218,0.78978,94,162,0,1355.6
8.8,0,66.744,211,0.80832,95,162,0,1355.6
8.81667,0,67.3164,227,0.82702,96,162,0,1355.6
8.83333,0,67.8852,199,0.84587,96,162,0,1355.6
8.85,0,68.1552,172,0.8648,97,162,0,1355.6
8.86667,0,68.76,199,0.8839,93,162,0,1355.6
8.88333,0,69.3324,226,0.90316,86,162,0,1355.8
8.9,0,69.6348,210,0.92251,87,162,0,1355.8
8.91667,0,70.1028,206,0.94198,87,162,0,1355.8
8.93333,0,70.5744,223,0.96158,88,162,0,1355.8
8.95,0,70.8768,204,0.98127,88,162,0,1355.8
8.96667,0,71.28,224,1.00107,89,162,0,1355.8
8.98333,0,71.8164,225,1.02104,89,162,0,1355.8
9,0,72.2196,198,1.0411,90,161,0,1355.6
9.01667,0,72.4536,172,1.06121,90,161,0,1355.6
9.03333,0,72.9576,182,1.08147,91,160,0,1355.4
9.05,0,73.4616,224,1.10188,91,160,0,1355.4
9.06667,0,73.8,187,1.12238,92,160,0,1355.2
9.08333,0,73.8,208,1.14288,92,160,0,1355.2
9.1,0,73.9656,204,1.16342,92,160,0,1355.2
9.11667,0,74.4696,196,1.18411,93,160,0,1355.4
9.13333,0,74.4696,190,1.2048,93,160,0,1355.4
9.15,0,74.8404,182,1.22561,93,160,0,1355.4
9.16667,0,75.1752,175,1.24649,91,160,0,1355.4
9.18333,0,75.546,219,1.26745,81,159,0,1355.4
9.2,0,75.78,219,1.2885,81,159,0,1355.4
9.21667,0,75.8808,228,1.30958,81,159,0,1355.4
