GOTOES_CSV,timestamp,position_lat,position_long,altitude,heart_rate,cadence,distance,speed,power,compressed_speed_distance,grade,resistance,time_from_course,cycle_length,temperature,,,,speed_1s,cycles,total_cycles,,,,,,,,,compressed_accumulated_power,accumulated_power,left_right_balance,gps_accuracy,vertical_speed,calories,,,,,,vertical_oscillation,stance_time_percent,stance_time,activity_type,left_torque_effectiveness,right_torque_effectiveness,left_pedal_smoothness,right_pedal_smoothness,combined_pedal_smoothness,time128,stroke_type,zone,ball_speed,cadence256,fractional_cadence,total_hemoglobin_conc,total_hemoglobin_conc_min,total_hemoglobin_conc_max,saturated_hemoglobin_percent,saturated_hemoglobin_percent_min,saturated_hemoglobin_percent_max,,unknown61,device_index,,,,unknown66,left_pco,right_pco,left_power_phase,left_power_phase_peak,right_power_phase,right_power_phase_peak,enhanced_speed,,,,,enhanced_altitude,,,battery_soc,motor_power,vertical_ratio,stance_time_balance,step_length,,,,,,absolute_pressure,depth,next_stop_depth,next_stop_time,time_to_surface,ndl_time,cns_load,n2_load,,,,,,,,,,,,,,,,grit,flow,,ebike_travel_range,ebike_battery_level,ebike_assist_mode,ebike_assist_level_percent
,2024-04-21T01:46:43,44.9909081,7.5996955,246.4,,,0.00,0.000,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3732,,,,,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:46:44,44.9909082,7.5996954,246.4,,,0.00,0.000,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3732,,,,,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:48:53,44.9908680,7.5995886,245.6,,,0.00,12.798,65535,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3727,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:48:54,44.9908373,7.5995598,245.6,,,4.10,15.786,0,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3727,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:48:55,44.9908014,7.5995249,245.6,,,8.95,17.838,0,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3727,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:48:56,44.9907623,7.5994840,245.6,,35,14.35,20.120,162,,,,,,17,,,,,,,,,,,,,,,,162,174,,,,,,,,,,,,,0.0,0.0,,,61.5,,,,,,0.00,,,,,,,,3727,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:48:57,44.9907191,7.5994405,245.6,,35,20.25,21.197,180,,,,,,17,,,,,,,,,,,,,,,,162,174,,,,,,,,,,,,,0.0,0.0,,,65.5,,,,,,0.00,,,,,,,,3727,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:48:58,44.9906740,7.5993958,245.6,,40,26.38,22.237,180,,,,,,17,,,,,,,,,,,,,,,,522,183,,,,,,,,,,,,,0.0,0.0,,,58.5,,,,,,0.00,,,,,,,,3727,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:48:59,44.9906281,7.5993453,245.6,,41,32.84,23.378,178,,,,,,17,,,,,,,,,,,,,,,,700,176,,,,,,,,,,,,,0.0,0.0,,,64.5,,,,,,0.00,,,,,,,,3727,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:49:00,44.9905820,7.5992933,245.6,,42,39.41,23.512,186,,,,,,17,,,,,,,,,,,,,,,,886,179,,,,,,,,,,,,,0.0,0.0,,,60.5,,,,,,0.00,,,,,,,,3727,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:49:01,44.9905347,7.5992409,245.6,,42,46.09,23.951,185,,,,,,17,,,,,,,,,,,,,,,,886,179,,,,,,,,,,,,,0.0,0.0,,,60.5,,,,,,0.00,,,,,,,,3727,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:49:02,44.9904857,7.5991883,245.6,,43,52.93,24.318,185,,,,,,17,,,,,,,,,,,,,,,,1256,181,,,,,,,,,,,,,0.0,0.0,,,60.0,,,,,,0.00,,,,,,,,3727,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:49:03,44.9904353,7.5991346,245.6,,44,59.95,24.520,182,,,,,,17,,,,,,,,,,,,,,,,1438,174,,,,,,,,,,,,,0.0,0.0,,,71.0,,,,,,0.00,,,,,,,,3727,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:49:04,44.9903837,7.5990790,245.6,,45,67.17,25.225,198,,,,,,17,,,,,,,,,,,,,,,,1636,182,,,,,,,,,,,,,0.0,0.0,,,71.0,,,,,,0.00,,,,,,,,3727,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:49:05,44.9903326,7.5990211,245.8,,45,74.46,25.326,206,,,,,,17,,,,,,,,,,,,,,,,1636,182,,,,,,,,,,,,,0.0,0.0,,,58.0,,,,,,0.00,,,,,,,,3728,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:49:06,44.9902818,7.5989623,245.8,,46,81.77,25.866,206,,,,,,17,,,,,,,,,,,,,,,,2048,178,,,,,,,,,,,,,0.0,0.0,,,60.0,,,,,,0.00,,,,,,,,3728,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:49:07,44.9902305,7.5989025,245.8,,47,89.16,26.269,198,,,,,,17,,,,,,,,,,,,,,,,2246,179,,,,,,,,,,,,,0.0,0.0,,,58.5,,,,,,0.00,,,,,,,,3728,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:49:08,44.9901756,7.5988443,245.8,,47,96.80,26.402,197,,,,,,17,,,,,,,,,,,,,,,,2443,179,,,,,,,,,,,,,0.0,0.0,,,58.5,,,,,,0.00,,,,,,,,3728,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:49:09,44.9901212,7.5987845,246.0,,48,104.47,26.737,200,,,,,,17,,,,,,,,,,,,,,,,2643,176,,,,,,,,,,,,,0.0,0.0,,,62.0,,,,,,0.00,,,,,,,,3729,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:49:10,44.9900668,7.5987235,246.0,,49,112.19,27.076,207,,,,,,17,,,,,,,,,,,,,,,,2850,178,,,,,,,,,,,,,0.0,0.0,,,64.0,,,,,,0.00,,,,,,,,3729,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:49:11,44.9900129,7.5986595,246.2,,49,120.02,27.277,192,,,,,,17,,,,,,,,,,,,,,,,2850,178,,,,,,,,,,,,,0.0,0.0,,,61.5,,,,,,0.00,,,,,,,,3730,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:49:12,44.9899596,7.5985941,246.2,,49,127.88,27.479,192,,,,,,17,,,,,,,,,,,,,,,,3234,174,,,,,,,,,,,,,0.0,0.0,,,60.5,,,,,,0.00,,,,,,,,3730,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:49:13,44.9899049,7.5985297,246.2,,50,135.79,27.410,209,,,,,,17,,,,,,,,,,,,,,,,3443,178,,,,,,,,,,,,,0.0,0.0,,,60.5,,,,,,0.00,,,,,,,,3730,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:49:14,44.9898501,7.5984646,246.2,,50,143.76,27.814,197,,,,,,17,,,,,,,,,,,,,,,,3640,179,,,,,,,,,,,,,0.0,0.0,,,61.5,,,,,,0.00,,,,,,,,3730,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:49:15,44.9897936,7.5984007,246.2,,51,151.80,27.947,208,,,,,,17,,,,,,,,,,,,,,,,3848,178,,,,,,,,,,,,,0.0,0.0,,,60.5,,,,,,0.00,,,,,,,,3730,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T01:49:16,44.9897353,7.5983357,246.2,,52,160.07,28.552,208,,,,,,17,,,,,,,,,,,,,,,,4056,183,,,,,,,,,,,,,0.0,0.0,,,56.5,,,,,,0.00,,,,,,,,3730,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
