Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
0.0166667,0,25.5744,247,0.00711,62,105,0,1454.6
0.0333333,0,26.658,236,0.01451,65,107,0,1454.6
0.05,0,28.206,255,0.02235,69,109,0,1454.6
0.0666667,0,29.2104,255,0.03046,71,111,0,1454.6
0.0833333,0,30.3696,240,0.0389,74,112,0,1454.6
0.1,0,31.536,245,0.04766,77,113,0,1454.6
0.116667,0,32.7924,258,0.05677,80,114,0,1454.6
0.133333,0,33.9372,256,0.06619,81,116,0,1454.6
0.15,0,34.938,230,0.0759,85,116,0,1454.6
0.166667,0,35.6364,232,0.0858,87,117,0,1454.6
0.183333,0,36.612,222,0.09597,89,118,0,1454.6
0.2,0,37.7748,222,0.10646,91,118,0,1454.6
0.216667,0,38.7324,209,0.11722,93,119,0,1454.6
0.233333,0,39.5964,186,0.12822,95,120,0,1454.6
0.25,0,40.1904,198,0.13938,97,121,0,1454.6
0.266667,0,41.1192,190,0.1508,99,122,0,1454.6
0.283333,0,41.922,189,0.16245,100,123,0,1454.6
0.3,0,42.5916,178,0.17428,102,124,0,1454.6
0.316667,0,43.1064,225,0.18625,104,124,0,1454.6
0.333333,0,43.9956,218,0.19848,106,125,0,1454.6
0.35,0,44.73,215,0.2109,102,126,0,1454.6
0.366667,0,45.558,233,0.22356,96,127,0,1454.6
0.383333,0,46.4796,200,0.23647,97,128,0,1454.6
0.4,0,47.0952,216,0.24955,99,129,0,1454.6
0.416667,0,47.5128,216,0.26275,100,130,0,1454.6
0.433333,0,48.1572,206,0.27612,102,131,0,1454.6
0.45,0,48.816,196,0.28968,102,131,0,1454.6
0.466667,0,49.4928,226,0.30349,104,133,0,1454.6
0.483333,0,50.1912,216,0.31737,106,133,0,1454.6
0.5,0,50.7456,202,0.33147,107,134,0,1454.6
0.516667,0,51.5628,229,0.34579,108,135,0,1454.6
0.533333,0,52.1496,258,0.36028,110,136,0,1454.6
0.55,0,52.6644,289,0.37491,111,137,0,1454.6
0.566667,0,53.4528,280,0.38975,112,138,0,1454.6
0.583333,0,53.7228,241,0.40468,105,139,0,1454.6
0.6,0,54.5436,260,0.41983,101,140,0,1454.6
0.616667,0,55.1052,242,0.43514,103,140,0,1454.6
