timeStamp, Temperature, Pressure, Humidity, Wind_Speed, Wind_Direction 
2022/9/15 15:52:58, 12.94, 56.62, 861.85, 0.20, 0.00
2022/9/15 15:52:58, 12.94, 56.63, 861.87, 0.20, 271.42
2022/9/15 15:52:59, 12.91, 56.67, 861.86, 0.26, 271.42
2022/9/15 15:52:59, 12.91, 56.69, 861.86, 0.26, 271.44
2022/9/15 15:53:0, 12.91, 56.80, 861.83, 0.20, 271.46
2022/9/15 15:53:0, 12.91, 56.81, 861.85, 0.20, 271.46
2022/9/15 15:53:1, 12.89, 56.85, 861.85, 0.26, 271.42
2022/9/15 15:53:1, 12.89, 56.87, 861.84, 0.26, 271.44
2022/9/15 15:53:2, 12.88, 56.87, 861.88, 0.26, 271.44
2022/9/15 15:53:3, 12.88, 56.87, 861.87, 0.20, 271.46
2022/9/15 15:53:4, 12.87, 56.89, 861.88, 0.26, 271.44
2022/9/15 15:53:4, 12.87, 56.90, 861.87, 0.26, 271.44
2022/9/15 15:53:5, 12.85, 56.94, 861.85, 0.20, 271.46
2022/9/15 15:53:5, 12.84, 56.94, 861.88, 0.20, 271.46
2022/9/15 15:53:6, 12.84, 56.95, 861.86, 0.26, 271.46
2022/9/15 15:53:6, 12.81, 56.95, 861.85, 0.26, 271.46
2022/9/15 15:53:7, 12.79, 56.96, 861.89, 0.20, 271.46
2022/9/15 15:53:8, 12.79, 56.96, 861.87, 0.20, 271.48
2022/9/15 15:53:9, 12.79, 56.99, 861.88, 0.26, 271.42
2022/9/15 15:53:9, 12.78, 56.99, 861.86, 0.26, 271.46
2022/9/15 15:53:10, 12.79, 57.02, 861.89, 0.20, 271.44
2022/9/15 15:53:10, 12.78, 57.03, 861.90, 0.20, 271.42
2022/9/15 15:53:11, 12.75, 57.05, 861.85, 0.20, 271.46
2022/9/15 15:53:11, 12.75, 57.06, 861.88, 0.26, 271.46
2022/9/15 15:53:12, 12.74, 57.10, 861.85, 0.20, 271.42
2022/9/15 15:53:12, 12.74, 57.10, 861.87, 0.20, 271.44
2022/9/15 15:53:13, 12.73, 57.17, 861.93, 0.20, 271.42
2022/9/15 15:53:14, 12.73, 57.18, 861.88, 0.26, 271.44
2022/9/15 15:53:15, 12.73, 57.27, 861.87, 0.26, 271.46
2022/9/15 15:53:15, 12.72, 57.28, 861.83, 0.20, 271.46
2022/9/15 15:53:16, 12.74, 57.33, 861.88, 0.20, 271.46
2022/9/15 15:53:16, 12.75, 57.35, 861.85, 0.20, 271.44
2022/9/15 15:53:17, 12.76, 57.38, 861.90, 0.14, 271.40
2022/9/15 15:53:17, 12.75, 57.38, 861.87, 0.14, 271.46
2022/9/15 15:53:18, 12.78, 57.41, 861.88, 0.14, 271.44
2022/9/15 15:53:18, 12.78, 57.41, 861.87, 0.14, 271.44
2022/9/15 15:53:19, 12.75, 57.44, 861.86, 0.14, 271.42
2022/9/15 15:53:20, 12.75, 57.46, 861.85, 0.14, 271.48
2022/9/15 15:53:21, 12.75, 57.52, 861.87, 0.14, 271.44
2022/9/15 15:53:21, 12.75, 57.52, 861.86, 0.14, 271.46
2022/9/15 15:53:22, 12.76, 57.53, 861.89, 0.14, 271.46
2022/9/15 15:53:22, 12.75, 57.54, 861.86, 0.14, 271.42
2022/9/15 15:53:23, 12.77, 57.54, 861.87, 0.14, 271.44
