Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
0.0166667,0,0,0,0,0,108,0,1397.2
0.0333333,0,0,0,0,0,108,0,1397.2
0.05,0,0,0,0,0,108,0,1397.2
0.0666667,0,5.8176,0,0.0016,0,109,0,1397.2
0.0833333,0,13.9572,0,0.0055,0,109,0,1397.2
0.1,0,19.0908,122,0.0108,26,111,0,1397.2
0.116667,0,22.0896,243,0.0169,36,111,0,1397.2
0.133333,0,23.652,229,0.0235,50,109,0,1397.2
0.15,0,24.7464,206,0.0304,55,109,0,1397.2
0.166667,0,26.0748,211,0.0376,59,109,0,1397.2
0.183333,0,27.5544,239,0.0453,62,109,0,1397.2
0.2,0,28.8144,257,0.0533,65,109,0,1397.2
0.216667,0,29.862,240,0.0616,68,109,0,1397.2
0.233333,0,31.0788,230,0.0702,72,111,0,1397.2
0.25,0,31.9104,207,0.0791,74,115,0,1397.2
0.266667,0,32.994,171,0.0882,76,124,0,1397.2
0.283333,0,33.6168,177,0.0976,78,127,0,1397.2
0.3,0,34.7112,171,0.1072,81,128,0,1397.2
0.316667,0,35.5176,158,0.1171,83,128,0,1397.2
0.333333,0,36.486,178,0.1272,85,129,0,1397.2
0.35,0,36.99,160,0.1375,87,130,0,1397.2
0.366667,0,37.6416,167,0.1479,89,130,0,1397.2
0.383333,0,38.1816,170,0.1585,90,131,0,1397.2
0.4,0,39.1608,159,0.1694,92,131,0,1397.2
0.416667,0,39.7404,164,0.1805,93,132,0,1397.2
0.433333,0,40.3416,161,0.1917,95,132,0,1397.2
0.45,0,41.1192,144,0.2031,96,133,0,1397.2
0.466667,0,41.598,142,0.2146,98,133,0,1397.2
0.483333,0,42.0876,136,0.2263,99,133,0,1397.2
0.5,0,42.5016,156,0.2381,94,134,0,1397.2
0.516667,0,43.6356,198,0.2503,90,135,0,1397.2
0.533333,0,44.1756,193,0.2625,91,135,0,1397.2
0.55,0,44.9172,182,0.275,93,136,0,1397.2
0.566667,0,45.4932,172,0.2876,94,136,0,1397.2
0.583333,0,46.4796,189,0.3006,95,136,0,1397.2
0.6,0,46.89,175,0.3136,97,137,0,1397.2
0.616667,0,47.4444,171,0.3268,98,138,0,1397.2
0.633333,0,48.0132,184,0.3401,99,139,0,1397.2
0.65,0,48.5928,166,0.3536,100,139,0,1397.2
0.666667,0,49.266,159,0.3673,101,140,0,1397.2
0.683333,0,49.4928,195,0.381,102,141,0,1397.2
0.7,0,50.1912,189,0.395,103,141,0,1397.2
0.716667,0,50.5872,138,0.409,104,141,0,1397.2
0.733333,0,51.1524,210,0.4232,94,141,0,1397.2
0.75,0,51.8976,242,0.4377,95,142,0,1397.2
0.766667,0,52.6644,230,0.4523,96,142,0,1397.2
0.783333,0,53.4528,213,0.4671,97,142,0,1397.2
0.8,0,53.7228,211,0.482,98,143,0,1397.2
0.816667,0,54.5436,214,0.4972,100,143,0,1397.2
0.833333,0,55.1052,207,0.5125,101,143,0,1397.2
0.85,0,55.6812,202,0.528,102,144,0,1397.2
0.866667,0,56.07,218,0.5436,103,144,0,1397.2
0.883333,0,56.664,189,0.5593,104,144,0,1397.2
0.9,0,57.168,213,0.5752,105,145,0,1397.2
0.916667,0,57.7872,210,0.5912,106,145,0,1397.2
0.933333,0,58.1004,209,0.6074,107,145,0,1397.2
0.95,0,58.7376,199,0.6237,108,146,0,1397.2
0.966667,0,59.3928,241,0.6402,98,146,0,1397.2
0.983333,0,60.0588,256,0.6569,95,146,0,1397.2
1,0,60.7428,249,0.6737,97,147,0,1397.2
1.01667,0,61.6752,263,0.6909,98,147,0,1397.2
