Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
0.0166667,0,25.1532,232,0.00699,60,102,0,1469
0.0333333,0,26.3952,249,0.01432,63,105,0,1469
0.05,0,27.6228,235,0.02199,65,107,0,1469
0.0666667,0,28.8936,226,0.03002,68,108,0,1469
0.0833333,0,29.862,235,0.03831,72,110,0,1469
0.1,0,30.8988,252,0.0469,74,111,0,1469
0.116667,0,32.0076,273,0.05578,77,112,0,1469
0.133333,0,33.3036,260,0.06504,79,113,0,1469
0.15,0,34.2648,267,0.07455,82,114,0,1469
0.166667,0,35.5176,276,0.08442,85,114,0,1469
0.183333,0,36.738,242,0.09462,88,115,0,1469
0.2,0,37.6416,234,0.10508,90,116,0,1469
0.216667,0,38.5956,235,0.1158,92,117,0,1469
0.233333,0,39.4488,243,0.12676,94,117,0,1469
0.25,0,40.4928,255,0.13801,97,118,0,1469
0.266667,0,41.598,258,0.14956,100,118,0,1469
0.283333,0,42.5916,267,0.16139,102,121,0,1469
0.3,0,42.7608,275,0.17333,104,123,0,1469
0.316667,0,44.3592,256,0.18563,106,124,0,1469
0.333333,0,45.2988,233,0.19822,105,125,0,1469
0.35,0,45.882,259,0.21096,97,127,0,1469
0.366667,0,46.6848,247,0.2239,98,128,0,1469
0.383333,0,47.7252,245,0.23714,100,129,0,1469
0.4,0,48.3732,266,0.25058,102,130,0,1469
0.416667,0,49.0392,244,0.2642,104,132,0,1469
0.433333,0,49.9572,246,0.27808,105,133,0,1469
0.45,0,50.6664,227,0.29215,106,134,0,1469
0.466667,0,51.1524,220,0.3064,107,135,0,1469
0.483333,0,51.8976,252,0.32078,109,136,0,1469
0.5,0,52.578,272,0.33543,111,137,0,1469
0.516667,0,53.2764,266,0.35021,112,138,0,1469
0.533333,0,53.9928,260,0.36519,113,139,0,1469
0.55,0,54.7308,269,0.38082,115,141,0,1469
0.566667,0,55.6812,226,0.39587,114,142,0,1469
0.583333,0,56.07,265,0.41141,106,142,0,1469
0.6,0,56.5632,249,0.42713,105,143,0,1469
0.616667,0,57.2724,276,0.44304,106,144,0,1469
0.633333,0,57.8916,246,0.45912,107,145,0,1469
0.65,0,58.5252,247,0.47537,108,146,0,1469
0.666667,0,58.9536,259,0.49175,109,146,0,1469
0.683333,0,59.724,245,0.50834,110,147,0,1469
0.7,0,60.2856,262,0.52509,112,147,0,1469
0.716667,0,60.5124,266,0.54189,113,148,0,1469
0.733333,0,61.4412,294,0.55896,114,148,0,1469
0.75,0,61.794,272,0.57613,114,149,0,1469
0.766667,0,62.154,285,0.59339,115,149,0,1469
0.783333,0,62.64,268,0.61081,112,150,0,1469
0.8,0,63.3816,288,0.62842,102,150,0,1469
0.816667,0,63.8892,257,0.64618,103,150,0,1469
0.833333,0,64.6596,265,0.66414,104,151,0,1469
0.85,0,65.1852,263,0.68221,105,151,0,1469
0.866667,0,65.7216,288,0.70049,106,152,0,1469
0.883333,0,66.2652,285,0.71887,107,152,0,1469
