Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
20.9833,0,19.584,170,0.0211,36,91,0,1466.4
21,0,22.2372,166,0.02728,56,93,0,1466.4
21.0167,0,22.9104,141,0.03365,62,94,0,1466.6
21.0333,0,23.1768,86,0.04008,64,97,0,1466.6
21.05,0,23.814,66,0.0467,65,99,0,1466.6
21.0667,0,24.6888,143,0.05356,66,102,0,1466.6
21.0833,0,25.2612,131,0.06057,69,105,0,1466.6
21.1,0,25.866,97,0.06777,70,106,0,1467
21.1167,0,26.6364,128,0.07516,72,109,0,1467
21.1333,0,27.4428,148,0.08278,75,111,0,1467
21.15,0,28.2816,170,0.09064,77,114,0,1467
21.1667,0,29.2248,138,0.09876,73,115,0,1467
21.1833,0,29.862,156,0.10706,72,117,0,1467
21.2,0,30.5352,132,0.11553,74,119,0,1467
21.2167,0,31.2408,134,0.12421,75,121,0,1466.8
21.2333,0,31.9788,142,0.13309,76,121,0,1466.8
21.25,0,32.5476,118,0.14213,78,122,0,1466.8
21.2667,0,32.7492,70,0.15123,80,123,0,1466.8
21.2833,0,33.354,76,0.1605,80,124,0,1467
21.3,0,33.9948,108,0.16995,82,124,0,1467.2
21.3167,0,34.7652,124,0.1796,78,125,0,1467
21.3333,0,35.2044,110,0.18937,75,126,0,1467
21.35,0,35.8092,109,0.19932,76,127,0,1467
21.3667,0,36.648,145,0.2095,78,128,0,1467.2
21.3833,0,37.2852,158,0.21986,79,129,0,1467.2
21.4,0,37.9224,124,0.23039,81,130,0,1467
21.4167,0,38.4624,90,0.24107,82,132,0,1467
21.4333,0,39.168,137,0.25195,83,133,0,1466.8
21.45,0,39.6036,145,0.26296,85,134,0,1466.6
21.4667,0,40.2084,89,0.27412,86,135,0,1466.6
21.4833,0,40.8132,113,0.28546,87,136,0,1466.6
21.5,0,41.5836,185,0.29701,89,138,0,1466.6
21.5167,0,42.2244,163,0.30874,90,139,0,1466.6
21.5333,0,42.5592,106,0.32056,92,140,0,1466.6
21.55,0,43.0632,134,0.33253,93,141,0,1466.6
21.5667,0,43.5996,113,0.34465,94,142,0,1466.6
21.5833,0,44.1396,112,0.3569,95,143,0,1466.6
21.6,0,44.5068,135,0.36927,92,144,0,1466.4
21.6167,0,45.2448,156,0.38183,85,145,0,1466.6
21.6333,0,46.0188,163,0.39461,86,145,0,1466.4
