timeStamp, Temperature, Pressure, Humidity, Wind_Speed, Wind_Direction 
2022/9/15 14:8:2, 21.48, 44.39, 863.71, 0.00, 0.00
2022/9/15 14:8:2, 21.48, 44.39, 863.71, 0.00, 88.85
2022/9/15 14:8:3, 21.48, 44.38, 863.73, 0.00, 88.80
2022/9/15 14:8:3, 21.48, 44.38, 863.76, 0.00, 88.80
2022/9/15 14:8:4, 21.48, 44.36, 863.73, 0.00, 88.85
2022/9/15 14:8:4, 21.48, 44.36, 863.73, 0.00, 88.82
2022/9/15 14:8:5, 21.48, 44.37, 863.75, 0.00, 88.82
2022/9/15 14:8:5, 21.48, 44.37, 863.74, 0.00, 88.85
2022/9/15 14:8:6, 21.48, 44.38, 863.69, 0.00, 88.87
2022/9/15 14:8:7, 21.48, 44.39, 863.70, 0.00, 88.85
2022/9/15 14:8:8, 21.48, 44.40, 863.64, 0.00, 88.89
2022/9/15 14:8:8, 21.48, 44.41, 863.64, 0.00, 88.85
2022/9/15 14:8:9, 21.48, 44.42, 863.65, 0.00, 88.85
2022/9/15 14:8:9, 21.47, 44.42, 863.65, 0.00, 88.85
2022/9/15 14:8:10, 21.48, 44.43, 863.66, 0.00, 88.82
2022/9/15 14:8:10, 21.48, 44.44, 863.64, 0.00, 88.87
2022/9/15 14:8:11, 21.48, 44.49, 863.64, 0.00, 88.85
2022/9/15 14:8:11, 21.48, 44.50, 863.63, 0.00, 88.87
