TimeStamp, Temperature, Pressure, Humidity, Wind Speed,  Wind direction
 2021/10/23 9:43:24, 14.9, 59.35, 1001.52, 0.0, 189.0
 2021/10/23 9:43:25, 15.17, 59.31, 1001.57, 0.0, 189.0
 2021/10/23 9:43:26, 15.19, 59.28, 1001.51, 0.0, 191.0
 2021/10/23 9:43:27, 15.21, 59.28, 1001.52, 0.0, 190.0
 2021/10/23 9:43:28, 15.24, 59.29, 1001.54, 0.0, 189.0
 2021/10/23 9:43:29, 15.25, 59.27, 1001.51, 0.0, 188.0
 2021/10/23 9:43:30, 15.26, 59.25, 1001.52, 0.0, 190.0
 2021/10/23 9:43:31, 15.28, 59.23, 1001.52, 0.0, 190.0
 2021/10/23 9:43:32, 15.3, 59.22, 1001.54, 0.0, 191.0
 2021/10/23 9:43:33, 15.31, 59.18, 1001.54, 0.0, 190.0
 2021/10/23 9:43:34, 15.31, 59.13, 1001.53, 0.0, 190.0
 2021/10/23 9:43:35, 15.33, 59.1, 1001.52, 0.0, 189.0
 2021/10/23 9:43:36, 15.34, 59.08, 1001.51, 0.0, 191.0
 2021/10/23 9:43:37, 15.35, 59.06, 1001.52, 0.0, 191.0
 2021/10/23 9:43:38, 15.37, 59.06, 1001.53, 0.0, 189.0
 2021/10/23 9:43:39, 15.38, 59.09, 1001.56, 0.0, 191.0
 2021/10/23 9:43:40, 15.39, 59.06, 1001.5, 0.0, 189.0
 2021/10/23 9:43:41, 15.42, 59.06, 1001.55, 0.0, 189.0
 2021/10/23 9:43:42, 15.43, 59.02, 1001.52, 0.0, 192.0
 2021/10/23 9:43:43, 15.44, 58.9, 1001.54, 0.0, 190.0
 2021/10/23 9:43:44, 15.45, 58.81, 1001.52, 0.0, 188.0
 2021/10/23 9:43:45, 15.46, 58.76, 1001.53, 0.0, 190.0
 2021/10/23 9:43:46, 15.47, 58.71, 1001.53, 0.0, 191.0
 2021/10/23 9:43:47, 15.47, 58.66, 1001.54, 0.0, 188.0
 2021/10/23 9:43:48, 15.48, 58.6, 1001.54, 0.0, 190.0
 2021/10/23 9:43:49, 15.48, 58.57, 1001.54, 0.0, 192.0
 2021/10/23 9:43:50, 15.49, 58.55, 1001.55, 0.0, 190.0
 2021/10/23 9:43:51, 15.5, 58.55, 1001.55, 0.0, 190.0
 2021/10/23 9:44:33, 15.88, 57.93, 1001.47, 0.51, 188.0
 2021/10/23 9:44:34, 15.89, 57.91, 1001.46, 0.51, 189.0
 2021/10/23 9:44:35, 15.91, 57.89, 1001.46, 0.51, 188.0
 2021/10/23 9:44:36, 15.92, 57.83, 1001.49, 0.0, 189.0
 2021/10/23 9:44:37, 15.92, 57.74, 1001.47, 0.0, 189.0
 2021/10/23 9:44:38, 15.92, 57.7, 1001.48, 0.0, 188.0
 2021/10/23 9:44:39, 15.93, 57.7, 1001.48, 0.0, 188.0
 2021/10/23 9:44:40, 15.94, 57.71, 1001.47, 5.8, 189.0
 2021/10/23 9:44:41, 15.94, 57.75, 1001.48, 5.36, 188.0
 2021/10/23 9:44:42, 15.96, 57.82, 1001.51, 3.59, 189.0
 2021/10/23 9:44:43, 15.96, 57.86, 1001.45, 6.46, 188.0
 2021/10/23 9:44:44, 15.97, 57.91, 1001.46, 7.78, 187.0
 2021/10/23 9:44:45, 15.98, 57.9, 1001.48, 6.68, 187.0
 2021/10/23 9:44:46, 15.98, 57.73, 1001.46, 6.24, 189.0
 2021/10/23 9:44:47, 16.0, 57.67, 1001.47, 2.71, 188.0
 2021/10/23 9:44:48, 16.01, 57.63, 1001.48, 2.71, 189.0
 2021/10/23 9:44:49, 16.02, 57.5, 1001.45, 2.71, 110.0
 2021/10/23 9:44:50, 16.02, 57.36, 1001.48, 2.71, 148.0
 2021/10/23 9:44:51, 16.04, 57.27, 1001.46, 2.49, 148.0
 2021/10/23 9:44:52, 16.06, 57.22, 1001.5, 2.49, 148.0
 2021/10/23 9:44:53, 16.07, 57.21, 1001.49, 0.0, 149.0
 2021/10/23 9:44:54, 16.06, 57.15, 1001.48, 0.0, 82.0
 2021/10/23 9:44:55, 16.07, 57.09, 1001.45, 0.0, 27.0
 2021/10/23 9:44:56, 16.07, 57.06, 1001.48, 0.0, 66.0
 2021/10/23 9:44:57, 16.07, 57.05, 1001.46, 0.0, 145.0
 2021/10/23 9:44:58, 16.08, 57.07, 1001.49, 0.0, 151.0
 2021/10/23 9:44:59, 16.08, 57.08, 1001.48, 0.0, 150.0
