timeStamp, Temperature, Pressure, Humidity, Wind_Speed, Wind_Direction
2022/9/15 15:52:59, 12.91, 56.67, 861.86, 0.26, 271.42
2022/9/15 15:53:0, 12.91, 56.8, 861.83, 0.2, 271.46
2022/9/15 15:53:1, 12.89, 56.85, 861.85, 0.26, 271.42
2022/9/15 15:53:2, 12.88, 56.87, 861.88, 0.26, 271.44
2022/9/15 15:53:3, 12.88, 56.87, 861.87, 0.2, 271.46
2022/9/15 15:53:4, 12.87, 56.89, 861.88, 0.26, 271.44
2022/9/15 15:53:5, 12.85, 56.94, 861.85, 0.2, 271.46
2022/9/15 15:53:6, 12.84, 56.95, 861.86, 0.26, 271.46
2022/9/15 15:53:7, 12.79, 56.96, 861.89, 0.2, 271.46
2022/9/15 15:53:8, 12.79, 56.96, 861.87, 0.2, 271.48
2022/9/15 15:53:9, 12.79, 56.99, 861.88, 0.26, 271.42
2022/9/15 15:53:10, 12.79, 57.02, 861.89, 0.2, 271.44
2022/9/15 15:53:11, 12.75, 57.05, 861.85, 0.2, 271.46
2022/9/15 15:53:12, 12.74, 57.1, 861.85, 0.2, 271.42
2022/9/15 15:53:13, 12.73, 57.17, 861.93, 0.2, 271.42
2022/9/15 15:53:14, 12.73, 57.18, 861.88, 0.26, 271.44
2022/9/15 15:53:15, 12.73, 57.27, 861.87, 0.26, 271.46
2022/9/15 15:53:16, 12.74, 57.33, 861.88, 0.2, 271.46
2022/9/15 15:53:17, 12.76, 57.38, 861.9, 0.14, 271.4
2022/9/15 15:53:18, 12.78, 57.41, 861.88, 0.14, 271.44
2022/9/15 15:53:19, 12.75, 57.44, 861.86, 0.14, 271.42
2022/9/15 15:53:20, 12.75, 57.46, 861.85, 0.14, 271.48
2022/9/15 15:53:21, 12.75, 57.52, 861.87, 0.14, 271.44
2022/9/15 15:53:22, 12.76, 57.53, 861.89, 0.14, 271.46
2022/9/15 15:53:23, 12.77, 57.54, 861.87, 0.14, 271.44
2022/9/15 15:53:24, 12.77, 57.56, 861.91, 0.14, 271.42
2022/9/15 15:53:25, 12.76, 57.56, 861.91, 0.14, 271.46
2022/9/15 15:53:26, 12.74, 57.59, 861.88, 0.14, 271.44
2022/9/15 15:53:27, 12.77, 57.61, 861.9, 0.14, 271.35
2022/9/15 15:53:28, 12.79, 57.66, 861.88, 0.14, 271.42
2022/9/15 15:53:29, 12.79, 57.7, 861.92, 0.14, 271.44
2022/9/15 15:53:30, 12.78, 57.73, 861.88, 0.14, 271.42
2022/9/15 15:53:31, 12.79, 57.74, 861.89, 0.14, 271.42
2022/9/15 15:53:32, 12.8, 57.77, 861.89, 0.14, 271.46
2022/9/15 15:53:33, 12.81, 57.79, 861.89, 0.14, 271.42
2022/9/15 15:53:34, 12.82, 57.8, 861.93, 0.14, 271.44
2022/9/15 15:53:35, 12.82, 57.81, 861.9, 0.14, 271.44
2022/9/15 15:53:36, 12.85, 57.82, 861.88, 0.14, 271.4
2022/9/15 15:53:37, 12.85, 57.83, 861.88, 0.14, 271.4
2022/9/15 15:53:38, 12.86, 57.82, 861.89, 0.14, 271.46
2022/9/15 15:53:39, 12.88, 57.84, 861.88, 0.14, 271.46
2022/9/15 15:53:40, 12.87, 57.82, 861.86, 0.14, 271.48
2022/9/15 15:53:41, 12.88, 57.81, 861.89, 0.14, 271.42
2022/9/15 15:53:42, 12.88, 57.81, 861.88, 0.14, 271.42
2022/9/15 15:53:43, 12.86, 57.75, 861.88, 0.14, 271.46
2022/9/15 15:53:44, 12.86, 57.7, 861.87, 0.14, 271.4
2022/9/15 15:53:45, 12.85, 57.67, 861.89, 0.14, 271.44
2022/9/15 15:53:46, 12.81, 57.65, 861.87, 0.14, 271.4
2022/9/15 15:53:47, 12.82, 57.66, 861.9, 0.14, 271.42
2022/9/15 15:53:48, 12.82, 57.66, 861.88, 0.14, 271.44
2022/9/15 15:53:49, 12.81, 57.68, 861.88, 0.14, 271.4
2022/9/15 15:53:50, 12.82, 57.71, 861.88, 0.14, 271.44
2022/9/15 15:53:51, 12.82, 57.71, 861.87, 0.14, 271.44
2022/9/15 15:53:52, 12.79, 57.7, 861.89, 0.14, 271.46
2022/9/15 15:53:53, 12.79, 57.71, 861.9, 0.14, 271.42
2022/9/15 15:53:54, 12.78, 57.7, 861.9, 0.14, 271.46
2022/9/15 15:53:55, 12.75, 57.71, 861.87, 0.14, 271.46
2022/9/15 15:53:56, 12.76, 57.74, 861.89, 0.14, 271.44
2022/9/15 15:53:57, 12.76, 57.75, 861.88, 0.14, 271.44
2022/9/15 15:53:58, 12.73, 57.77, 861.87, 0.14, 271.42
2022/9/15 15:53:59, 12.73, 57.78, 861.89, 0.14, 271.42
2022/9/15 15:54:0, 12.73, 57.8, 861.89, 0.14, 271.42
2022/9/15 15:54:1, 12.73, 57.84, 861.89, 0.14, 271.4
2022/9/15 15:54:2, 12.72, 57.88, 861.9, 0.14, 271.44
2022/9/15 15:54:3, 12.66, 57.88, 861.88, 0.14, 271.44
2022/9/15 15:54:4, 12.66, 57.91, 861.88, 0.14, 271.4
