timeStamp, Temperature, Pressure, Humidity, Wind_Speed, Wind_Direction 
2022/9/16 15:12:51, 21.55, 30.92, 861.49, 0.00, 0.00
2022/9/16 15:12:52, 21.55, 30.93, 861.51, 0.00, 228.79
2022/9/16 15:12:53, 21.56, 31.02, 861.53, 0.00, 228.76
2022/9/16 15:12:53, 21.56, 31.02, 861.53, 0.00, 228.74
2022/9/16 15:12:54, 21.56, 30.97, 861.53, 0.00, 228.79
2022/9/16 15:12:54, 21.57, 30.95, 861.53, 0.00, 228.74
2022/9/16 15:12:55, 21.56, 30.87, 861.52, 0.00, 228.74
2022/9/16 15:12:55, 21.56, 30.85, 861.50, 0.00, 228.76
2022/9/16 15:12:56, 21.56, 30.77, 861.52, 0.00, 228.76
2022/9/16 15:12:56, 21.56, 30.75, 861.51, 0.00, 228.79
2022/9/16 15:12:57, 21.55, 30.68, 861.49, 0.00, 228.74
2022/9/16 15:12:58, 21.56, 30.67, 861.50, 0.00, 228.81
2022/9/16 15:12:59, 21.56, 30.66, 861.48, 0.00, 228.79
2022/9/16 15:12:59, 21.56, 30.67, 861.50, 0.00, 228.76
2022/9/16 15:13:0, 21.56, 30.67, 861.49, 0.00, 228.74
2022/9/16 15:13:0, 21.56, 30.67, 861.50, 0.00, 228.72
2022/9/16 15:13:1, 21.56, 30.72, 861.50, 0.00, 228.76
2022/9/16 15:13:1, 21.57, 30.72, 861.52, 0.00, 228.76
2022/9/16 15:13:2, 21.56, 30.81, 861.51, 0.00, 228.79
2022/9/16 15:13:3, 21.56, 30.88, 861.52, 0.00, 228.70
2022/9/16 15:13:4, 21.56, 31.00, 861.52, 0.00, 228.74
2022/9/16 15:13:4, 21.56, 30.96, 861.52, 0.00, 228.79
2022/9/16 15:13:5, 21.57, 30.88, 861.53, 0.00, 228.74
2022/9/16 15:13:5, 21.57, 30.87, 861.54, 0.00, 228.76
2022/9/16 15:13:6, 21.57, 30.86, 861.50, 0.00, 228.74
2022/9/16 15:13:6, 21.57, 30.86, 861.52, 0.00, 228.70
2022/9/16 15:13:7, 21.57, 30.87, 861.50, 0.00, 228.74
2022/9/16 15:13:8, 21.57, 30.87, 861.52, 0.00, 228.79
2022/9/16 15:13:8, 21.58, 30.85, 861.52, 0.00, 228.68
2022/9/16 15:13:9, 21.58, 30.85, 861.53, 0.00, 228.72
2022/9/16 15:13:10, 21.58, 30.85, 861.53, 0.00, 228.70
2022/9/16 15:13:10, 21.57, 30.85, 861.50, 0.00, 228.79
2022/9/16 15:13:11, 21.58, 30.84, 861.51, 0.00, 228.76
2022/9/16 15:13:11, 21.58, 30.85, 861.52, 0.00, 228.74
2022/9/16 15:13:12, 21.57, 30.84, 861.51, 0.00, 228.79
2022/9/16 15:13:12, 21.58, 30.83, 861.51, 0.00, 228.81
2022/9/16 15:13:13, 21.57, 30.81, 861.51, 0.00, 228.74
2022/9/16 15:13:14, 21.58, 30.81, 861.53, 0.00, 228.76
2022/9/16 15:13:15, 21.58, 30.81, 861.51, 0.00, 228.79
2022/9/16 15:13:15, 21.58, 30.80, 861.52, 0.00, 228.74
2022/9/16 15:13:16, 21.58, 30.73, 861.50, 0.00, 228.81
2022/9/16 15:13:16, 21.57, 30.70, 861.50, 0.00, 228.79
2022/9/16 15:13:17, 21.58, 30.68, 861.52, 0.00, 228.79
2022/9/16 15:13:17, 21.57, 30.68, 861.50, 0.00, 228.74
